 	nous	venons	de	couper	les	lianes	nommées	kwakwango	pour	construire	la	cuisine	</S>
a66	0.10195	0.0903274	0.120158	0.142156	0.153434	0.16129	0.105704	0.0490386	0.0287226	0.0191103	0.0101368	0.00848779	0.00948453
a87	0.21543	0.166191	0.372966	0.115458	0.0257465	0.0126629	0.00688778	0.00494985	0.0118569	0.01608	0.0148132	0.0154233	0.0215348
a23	0.290379	0.1817	0.229355	0.0609033	0.0383172	0.0331575	0.0340076	0.0187057	0.021289	0.0222021	0.0201078	0.0197205	0.0301552
a71	0.161564	0.18077	0.138237	0.0437407	0.0216852	0.019896	0.0249393	0.033076	0.0638944	0.0802621	0.0838734	0.0632783	0.0847827
a24	0.29188	0.357489	0.133482	0.0459351	0.0199096	0.0147764	0.0166667	0.0124835	0.0191271	0.0216646	0.0195983	0.0190583	0.0279291
a62	0.276092	0.266915	0.126548	0.0925181	0.0557042	0.0451696	0.0352957	0.0205548	0.017699	0.0154973	0.0157937	0.0151021	0.017111
a12	0.16934	0.171401	0.156678	0.17337	0.136335	0.0876166	0.0501433	0.0213074	0.0124992	0.00628506	0.00618025	0.00491991	0.00392421
a56	0.116092	0.129454	0.195353	0.189842	0.151344	0.0845625	0.0549317	0.0309278	0.0186876	0.00945852	0.00794187	0.00643147	0.00497292
a44	0.100117	0.112572	0.177871	0.179063	0.145186	0.0790957	0.0633802	0.046517	0.0321546	0.0213722	0.0164428	0.0143663	0.0118633
a93	0.068793	0.0670582	0.154555	0.170118	0.159028	0.0988286	0.0846904	0.0647726	0.0441538	0.0300787	0.0208531	0.019693	0.0173775
a56	0.0752376	0.0620031	0.151931	0.149137	0.142316	0.105182	0.0991741	0.0761411	0.0526169	0.0330004	0.0188632	0.0177389	0.0166582
a90	0.0356509	0.0277416	0.113405	0.137785	0.143198	0.112394	0.110542	0.0970627	0.0778034	0.0546441	0.0327908	0.0297057	0.027277
a4	0.0165266	0.0118446	0.0461909	0.0789308	0.121254	0.118972	0.132805	0.127031	0.113067	0.0866378	0.0557623	0.0483841	0.0425934
a90	0.0180791	0.0129186	0.0398074	0.0740004	0.123841	0.135016	0.135987	0.117854	0.106403	0.0863645	0.0592013	0.0487578	0.0417695
a92	0.0109923	0.00745517	0.021575	0.0502236	0.109991	0.138328	0.142062	0.125123	0.118957	0.0975804	0.0705975	0.0569679	0.0501475
a85	0.00334224	0.00176325	0.00788033	0.0247746	0.0730531	0.0982471	0.101379	0.122764	0.13437	0.129029	0.111907	0.100231	0.0912604
a47	0.00266478	0.00177639	0.0103615	0.0368165	0.113349	0.136556	0.115892	0.108249	0.105456	0.0894682	0.0891554	0.0945434	0.0957108
a36	0.0018187	0.00113446	0.0065724	0.0175458	0.0526386	0.103938	0.146507	0.148589	0.14841	0.095334	0.0881578	0.0871159	0.102238
