 	ils	ont	un	procès	devant	le	sous-préfet	</S>
a66	0.243967	0.383905	0.255907	0.0864458	0.0198197	0.00465939	0.00330664	0.00198982
a87	0.442546	0.361053	0.124014	0.0380884	0.0161378	0.00805459	0.00500616	0.00510061
a23	0.393858	0.272854	0.149984	0.0947335	0.0423486	0.0174604	0.0103236	0.018437
a54	0.400849	0.191971	0.096802	0.0948928	0.104373	0.0599744	0.0261797	0.0249583
a47	0.234549	0.276299	0.219329	0.170799	0.0702655	0.0166207	0.00615074	0.00598722
a85	0.226515	0.31759	0.251437	0.146512	0.0444612	0.00797466	0.0030124	0.00249709
a6	0.219277	0.329047	0.260094	0.141737	0.0329522	0.00982887	0.00470816	0.00235547
a5	0.214935	0.319141	0.251343	0.156611	0.0353772	0.0133105	0.00624806	0.00303306
a61	0.221989	0.238752	0.182033	0.187843	0.0865434	0.0387554	0.0270064	0.0170773
a62	0.24497	0.278393	0.182129	0.10361	0.047984	0.0432842	0.0549764	0.0446535
a96	0.148467	0.224941	0.2278	0.147064	0.0621184	0.0534179	0.069392	0.066799
a98	0.0808946	0.133585	0.198342	0.165362	0.0910989	0.0889753	0.120683	0.121059
a85	0.0234501	0.0373167	0.0690828	0.0865645	0.118959	0.189751	0.237616	0.23726
a92	0.0169162	0.0305647	0.0489731	0.0629209	0.0787551	0.137847	0.294597	0.329426
a75	0.0144118	0.022339	0.0426279	0.0578671	0.0771926	0.13458	0.326079	0.324903
a79	0.00813701	0.0125377	0.0321115	0.0555134	0.084519	0.145629	0.321823	0.339729
a98	0.00688122	0.0122546	0.0381414	0.0854439	0.126018	0.148677	0.264047	0.318537
a15	0.00269993	0.00505148	0.0167553	0.0463958	0.10517	0.162235	0.328084	0.333608
a7	0.000221658	0.000378056	0.0013977	0.00691197	0.0325078	0.0985865	0.346297	0.513699
a90	9.12851e-05	0.000141492	0.000452332	0.0026473	0.0212218	0.0948641	0.366828	0.513753
a79	0.000116354	0.000166341	0.000511275	0.00242237	0.0191937	0.0938185	0.29296	0.590811
a15	3.73476e-05	6.71829e-05	0.000212129	0.00105501	0.00882577	0.0678106	0.29214	0.629852
a7	9.80962e-05	0.000144477	0.000355083	0.00178572	0.0129331	0.0669523	0.30033	0.617402
a26	0.000159926	0.000198816	0.000389604	0.00144674	0.00789208	0.0527014	0.340235	0.596976
a57	0.0261074	0.0178496	0.0207197	0.0287577	0.0353308	0.0661345	0.214852	0.590248
a87	0.220881	0.129292	0.0798103	0.059249	0.0605155	0.0652781	0.118876	0.266098
a23	0.180829	0.0996992	0.0692639	0.0568931	0.0841576	0.122687	0.183703	0.202768
a97	0.00862235	0.00399605	0.00286698	0.00424262	0.0204668	0.120586	0.281483	0.557736
</S>	0.00241929	0.00170664	0.00190237	0.00405385	0.0201411	0.0984133	0.311623	0.559741
