 	un	enfant	avide	n'	a	pas	peur	du	feu	</S>
a66	0.253493	0.143003	0.0936485	0.100645	0.117678	0.117207	0.0805787	0.0424674	0.0289232	0.0223575
a87	0.222083	0.138378	0.103631	0.0820692	0.0805176	0.0700428	0.0577431	0.0662262	0.0861423	0.0931672
a23	0.31887	0.228941	0.17448	0.100951	0.0699237	0.0345236	0.0175428	0.0147889	0.0175294	0.0224494
a97	0.281122	0.191427	0.181054	0.111241	0.0830891	0.0481583	0.030395	0.0257933	0.0238128	0.0239081
a79	0.216969	0.169371	0.178255	0.115987	0.0885719	0.0590006	0.0448381	0.0448532	0.042323	0.0398317
a37	0.306458	0.186325	0.141917	0.0743484	0.0587288	0.0474655	0.0443805	0.0489518	0.0463219	0.0451031
a18	0.263827	0.19224	0.144098	0.0848947	0.0705061	0.0578745	0.0552722	0.0517158	0.0442904	0.0352805
a88	0.251853	0.196656	0.182787	0.100485	0.0731694	0.049363	0.0411027	0.0374325	0.0350955	0.0320556
a70	0.207519	0.187491	0.196546	0.123441	0.0890234	0.0558509	0.0406729	0.0337632	0.0327915	0.0329011
a66	0.156354	0.172042	0.197898	0.141877	0.101464	0.0628692	0.0437572	0.0379652	0.0405165	0.0452573
a38	0.110417	0.130979	0.182244	0.162312	0.123817	0.0774012	0.049293	0.0459237	0.053085	0.0645273
a47	0.0841759	0.113592	0.173682	0.178765	0.136786	0.0818131	0.0495957	0.0478339	0.057586	0.0761701
a96	0.0692609	0.0939344	0.146558	0.171762	0.142495	0.0915202	0.0577137	0.058175	0.0724218	0.0961589
a54	0.0656755	0.0822214	0.120666	0.158337	0.14642	0.106072	0.0690407	0.0647131	0.0806869	0.106167
a36	0.0274236	0.0355552	0.050099	0.0889719	0.113522	0.134341	0.12742	0.11983	0.132364	0.170474
a2	0.0413592	0.0475451	0.0585818	0.073296	0.0815835	0.101471	0.0912292	0.0999551	0.15035	0.254629
a57	0.040727	0.041684	0.0498405	0.0556952	0.0616242	0.0761139	0.0808427	0.108798	0.174379	0.310295
a40	0.0602852	0.052785	0.0525258	0.058204	0.0664878	0.0817919	0.0887058	0.113965	0.162727	0.262522
a36	0.0313513	0.0257466	0.0307957	0.0381752	0.0489524	0.0788153	0.116011	0.14659	0.188284	0.295279
a26	0.0109674	0.00950663	0.0131182	0.0197036	0.0283527	0.0575202	0.107834	0.16359	0.224448	0.364959
a18	0.0120753	0.0091857	0.00996353	0.011517	0.015007	0.0287717	0.0661521	0.158161	0.273953	0.415214
a62	0.017834	0.0115923	0.0114471	0.0130952	0.0181309	0.0361888	0.0816305	0.171798	0.268006	0.370278
a94	0.0125229	0.00837352	0.00910237	0.0110794	0.0168284	0.0361309	0.0891146	0.198362	0.284264	0.334222
a13	0.00544965	0.00374116	0.00436569	0.00551915	0.00872501	0.0204449	0.0578562	0.168019	0.303994	0.421885
a53	0.0107636	0.00727887	0.00753534	0.0086977	0.0122205	0.0247317	0.0559151	0.138446	0.280704	0.453707
a7	0.0016078	0.00118529	0.00152293	0.00234555	0.00373829	0.00921403	0.0288018	0.120948	0.299766	0.53087
a40	0.00131364	0.000944684	0.00114698	0.0017047	0.00280109	0.00698612	0.0206934	0.0889882	0.27108	0.604341
a7	0.0013322	0.00104311	0.00128166	0.0020845	0.00317645	0.00788029	0.0233568	0.0958239	0.270013	0.594008
a2	0.000592982	0.000436153	0.000511239	0.000773337	0.00128472	0.00363555	0.0123283	0.0609328	0.233058	0.686447
a57	0.0418757	0.0317674	0.0308387	0.0310356	0.034275	0.0527698	0.0819205	0.133636	0.204751	0.357131
a87	0.159761	0.0933089	0.0640011	0.0549012	0.0525002	0.0629287	0.0699288	0.0932836	0.136298	0.213089
a23	0.171096	0.0985125	0.060902	0.0504121	0.0449377	0.0520817	0.0584378	0.0918458	0.148634	0.22314
a87	0.164208	0.0975906	0.0622971	0.0524725	0.053037	0.0599359	0.0732101	0.110284	0.14702	0.179944
</S>	0.046417	0.0316612	0.0217258	0.0222164	0.0261686	0.0407978	0.0674859	0.136273	0.240279	0.366975
