 	toute	ma	famille	habite	à	brazaville	</S>
a66	0.273402	0.242267	0.173219	0.124809	0.091695	0.0636495	0.0309575
a87	0.26835	0.230703	0.188238	0.135049	0.102297	0.0525877	0.0227753
a23	0.436543	0.322891	0.156412	0.0469974	0.0175685	0.0109988	0.00858969
a30	0.40793	0.275562	0.147816	0.0674568	0.0359258	0.0301298	0.0351796
a57	0.382279	0.242711	0.127457	0.0680759	0.0492748	0.0615772	0.0686257
a30	0.27062	0.208906	0.14715	0.0959194	0.0757125	0.100093	0.101599
a44	0.211312	0.196316	0.158644	0.129471	0.114916	0.110479	0.0788617
a54	0.111334	0.149807	0.192304	0.20505	0.174466	0.110143	0.0568962
a47	0.111619	0.156854	0.202782	0.205993	0.165546	0.104345	0.0528609
a7	0.0837645	0.126957	0.170871	0.205545	0.19091	0.128534	0.0934192
a44	0.0788762	0.104774	0.133846	0.188399	0.186616	0.15997	0.147518
a15	0.11717	0.122208	0.115871	0.138334	0.138811	0.172392	0.195214
a69	0.0608825	0.0757704	0.105882	0.162461	0.20637	0.205202	0.183432
a53	0.0442127	0.0452052	0.0608698	0.113427	0.178424	0.256708	0.301154
a69	0.0648567	0.0665195	0.078398	0.129848	0.164146	0.227026	0.269205
a58	0.0331109	0.0321273	0.0415355	0.0885169	0.161921	0.286089	0.3567
a53	0.00608146	0.00473581	0.00689262	0.0201573	0.0556032	0.234608	0.671921
a44	0.00685969	0.00577638	0.00839869	0.0226081	0.0593396	0.240322	0.656696
a79	0.00347522	0.00277373	0.00480879	0.0148577	0.0443655	0.201748	0.727971
a44	0.00167113	0.00133041	0.0025413	0.009618	0.0325513	0.166387	0.785901
a11	0.00234677	0.0019561	0.00411041	0.0128613	0.0344679	0.147557	0.796701
a18	0.00458248	0.00383657	0.00758741	0.0181334	0.0404616	0.169595	0.755803
a82	0.0258835	0.0180545	0.0254959	0.0465561	0.0771263	0.224833	0.582051
a87	0.301489	0.142611	0.109447	0.090607	0.0823309	0.102966	0.170548
</S>	0.380911	0.21567	0.148413	0.0766422	0.0500855	0.0571723	0.0711062
