 	les	moineaux	s'	accouplent	</S>
a66	0.457244	0.218437	0.123261	0.116544	0.0845137
a87	0.168022	0.129878	0.190547	0.260599	0.250955
a23	0.487831	0.18689	0.122478	0.104638	0.0981634
a87	0.550223	0.155292	0.110863	0.0830462	0.100575
a23	0.529831	0.165218	0.119092	0.0858876	0.0999717
a87	0.511473	0.197951	0.139287	0.0731982	0.0780912
a97	0.414428	0.191166	0.173401	0.106078	0.114927
a83	0.34873	0.188659	0.197225	0.129383	0.136003
a0	0.388449	0.269084	0.189557	0.0771383	0.0757715
a32	0.327674	0.266825	0.215978	0.104565	0.0849585
a11	0.338054	0.262261	0.193313	0.107591	0.09878
a90	0.300464	0.239217	0.195435	0.128707	0.136178
a69	0.256606	0.206536	0.189283	0.153123	0.194452
a4	0.236721	0.199444	0.198444	0.165295	0.200097
a94	0.182489	0.175764	0.20949	0.208448	0.223809
a96	0.155277	0.162896	0.201018	0.211888	0.268921
a88	0.074432	0.0975639	0.166141	0.246364	0.415499
a70	0.038103	0.0615512	0.130528	0.252952	0.516866
a0	0.0254989	0.0492855	0.13398	0.258214	0.533022
a75	0.0121006	0.0258973	0.0985146	0.227139	0.636349
a14	0.0268981	0.0489276	0.120711	0.20969	0.593774
a7	0.0234345	0.0391127	0.101346	0.194458	0.641649
a26	0.00280066	0.0072448	0.0579958	0.16855	0.763409
a11	0.00545781	0.00899335	0.0596056	0.186594	0.739349
a24	0.0191385	0.0230901	0.0851718	0.204579	0.66802
a36	0.0224217	0.0270972	0.083226	0.198064	0.669191
a27	0.0233279	0.0277614	0.0818655	0.209801	0.657245
a30	0.0494099	0.0477514	0.113483	0.242602	0.546755
a82	0.103161	0.0871551	0.138317	0.226869	0.444498
a30	0.0761159	0.0866956	0.133137	0.237142	0.466909
a82	0.0837379	0.0972394	0.145771	0.238509	0.434743
a38	0.0798344	0.105367	0.154479	0.220718	0.439601
a27	0.110138	0.131345	0.175615	0.207898	0.375004
</S>	0.120154	0.138231	0.177661	0.205105	0.358849
