 	ils	font	une	botte	avec	la	paille	de	riz	</S>
a23	0.135074	0.156711	0.218065	0.192744	0.140561	0.0678951	0.0238587	0.020144	0.0235904	0.0213569
a85	0.207669	0.138325	0.152005	0.0852513	0.0462684	0.0524412	0.0551236	0.0634156	0.0827551	0.116745
a87	0.273498	0.150848	0.152118	0.137733	0.0420474	0.0311762	0.0226961	0.0272479	0.0580375	0.104599
a23	0.389695	0.189714	0.120428	0.0908462	0.0281036	0.020364	0.0164521	0.0222427	0.0423333	0.0798216
a87	0.191374	0.0720295	0.054947	0.0571822	0.02013	0.0217996	0.0312322	0.0666999	0.169426	0.31518
a23	0.198836	0.112425	0.0985354	0.125291	0.0445287	0.0334271	0.0301202	0.0501403	0.121511	0.185185
a40	0.145187	0.0824562	0.0992795	0.143936	0.0570896	0.0473571	0.0379053	0.0592672	0.149839	0.177682
a30	0.116885	0.0842686	0.154173	0.189121	0.102901	0.0935055	0.078935	0.0705036	0.067631	0.042076
a26	0.160305	0.161861	0.173654	0.211624	0.117376	0.0809097	0.0430631	0.0260691	0.0145473	0.0105907
a30	0.161133	0.142906	0.130578	0.180103	0.132646	0.0975445	0.0597237	0.0439358	0.0277321	0.0236967
a2	0.107787	0.145598	0.12593	0.180373	0.154441	0.102882	0.0626464	0.0484901	0.037317	0.0345364
a38	0.0559833	0.0701361	0.0809108	0.119872	0.129227	0.0932118	0.0746467	0.0874577	0.128804	0.15975
a14	0.0580641	0.0711425	0.0835881	0.135188	0.142354	0.0968821	0.0756299	0.0887067	0.116534	0.13191
a35	0.106317	0.138837	0.137003	0.221704	0.167082	0.112383	0.0523405	0.0302076	0.0181037	0.0160229
a30	0.0955402	0.1193	0.123532	0.208844	0.172687	0.122434	0.0609094	0.0396651	0.0291617	0.027927
a14	0.0981699	0.126222	0.133424	0.203488	0.188933	0.131824	0.0524106	0.0285318	0.0188974	0.0180982
a44	0.0766871	0.093498	0.101666	0.160705	0.17169	0.158431	0.0924762	0.0583507	0.0441043	0.0423913
a26	0.0646669	0.102718	0.120915	0.185338	0.179542	0.135662	0.0714114	0.0494744	0.0430089	0.0472626
a11	0.026974	0.051409	0.0710199	0.122464	0.164618	0.15365	0.109877	0.0899762	0.0955954	0.114417
a35	0.02322	0.0459648	0.0588983	0.103968	0.162366	0.148136	0.108188	0.0962139	0.112588	0.140458
a24	0.0280816	0.0568292	0.0760828	0.168809	0.201223	0.153415	0.0964017	0.079689	0.0704623	0.0690067
a41	0.0164637	0.0209165	0.0222296	0.0615535	0.108229	0.120274	0.141213	0.164128	0.183363	0.16163
a14	0.0148664	0.019465	0.0212997	0.0693837	0.124902	0.129263	0.129596	0.139556	0.173741	0.177927
a35	0.0182064	0.0317758	0.0312394	0.0831235	0.11818	0.121762	0.119552	0.136215	0.170132	0.169813
a76	0.00997104	0.0165496	0.0170295	0.045523	0.0754121	0.0947631	0.112075	0.161058	0.230301	0.237317
a41	0.00923255	0.0152948	0.0189688	0.0538091	0.0844051	0.10624	0.11899	0.172075	0.206169	0.214816
a32	0.00320571	0.00549052	0.00658862	0.0268541	0.0508094	0.0679851	0.0909925	0.162163	0.291812	0.294098
a75	0.00312706	0.00358145	0.0035863	0.0128908	0.0263584	0.0382532	0.0547844	0.103643	0.302798	0.450978
a76	0.00398861	0.0060695	0.0077633	0.0267215	0.0485585	0.0711819	0.0882138	0.151263	0.294588	0.301652
a94	0.00210024	0.00257168	0.00406158	0.0158448	0.0340305	0.054523	0.0793831	0.137516	0.311817	0.358152
a58	0.00312448	0.0031679	0.00395012	0.0104725	0.0246491	0.0428657	0.0648673	0.117515	0.325112	0.404276
a82	0.00138622	0.00151225	0.00219984	0.00550009	0.0137883	0.030534	0.0543699	0.123284	0.310749	0.456677
a83	0.000784722	0.000846455	0.000861406	0.00137143	0.0053991	0.0148682	0.0367628	0.116264	0.311904	0.510938
a24	0.000652511	0.000548473	0.000637709	0.00114554	0.00492894	0.0145046	0.0382199	0.114809	0.324643	0.49991
a71	0.000373358	0.000295849	0.000393414	0.000946876	0.00312632	0.00891386	0.0266504	0.0997673	0.326444	0.533089
a93	0.00121648	0.000954385	0.00111579	0.00223064	0.00601297	0.0154128	0.0393437	0.108504	0.286267	0.538942
a70	0.000806411	0.000701147	0.00100541	0.00251988	0.0060767	0.0148448	0.0329628	0.105898	0.332842	0.502343
a99	0.000810756	0.000733533	0.001089	0.00251259	0.00617142	0.0133984	0.0266249	0.0760102	0.308256	0.564393
a9	0.00102449	0.000738529	0.00127753	0.00321676	0.00828761	0.0213969	0.0448183	0.116647	0.310438	0.492155
a99	0.00178079	0.00181495	0.00184303	0.00399496	0.00901611	0.0234606	0.055457	0.126509	0.278236	0.497888
a87	0.00155618	0.00116128	0.000962053	0.00266927	0.00607344	0.0112662	0.0269298	0.0886249	0.312454	0.548303
</S>	0.00258921	0.00214168	0.00179508	0.00501768	0.00992397	0.0180606	0.0368458	0.103158	0.289418	0.53105
