 	il	faut	que	tu	me	donnes	cinq	mille	francs	</S>
a84	0.0747522	0.0587902	0.0993834	0.171596	0.330505	0.197167	0.0370179	0.0215611	0.00621389	0.00301276
a87	0.2395	0.149174	0.137417	0.138834	0.165091	0.100555	0.0268393	0.0244317	0.0108052	0.00735273
a23	0.21887	0.161588	0.164611	0.170248	0.156832	0.0849856	0.0174838	0.00825725	0.00676824	0.0103569
a54	0.261313	0.179609	0.16312	0.148756	0.10079	0.0561845	0.0261764	0.0163943	0.0200793	0.0275776
a79	0.0866716	0.0740336	0.0822053	0.118457	0.203382	0.208685	0.108867	0.0656157	0.0278847	0.0241986
a7	0.0743552	0.0630489	0.0771311	0.112964	0.24703	0.248599	0.104226	0.0459509	0.0180459	0.00864939
a98	0.110248	0.100292	0.0793143	0.118227	0.21656	0.220074	0.103421	0.0315124	0.0118603	0.00849094
a15	0.0637641	0.0507994	0.0392163	0.0730427	0.177854	0.235139	0.216011	0.102377	0.0296188	0.0121783
a20	0.0688049	0.0598827	0.0458728	0.0788131	0.168743	0.234882	0.194706	0.100309	0.0331021	0.0148841
a98	0.0419376	0.0383883	0.0304309	0.0514041	0.115102	0.206949	0.315574	0.135407	0.0428011	0.0220067
a85	0.0521891	0.0486109	0.0439811	0.0623248	0.107587	0.155596	0.24873	0.171794	0.0704702	0.038717
a92	0.037209	0.0349193	0.0357029	0.0473189	0.0729393	0.0950331	0.216311	0.234134	0.133097	0.0933362
a98	0.0291086	0.0253674	0.0258102	0.0401996	0.0542651	0.0762416	0.200738	0.298421	0.157753	0.0920958
a15	0.0245237	0.0213573	0.0205402	0.03109	0.0449008	0.066598	0.182089	0.284855	0.189523	0.134523
a7	0.0165218	0.0136839	0.0114942	0.0181453	0.0286046	0.0503236	0.153176	0.313647	0.227682	0.166721
a90	0.00517567	0.00358058	0.00186709	0.001831	0.00225193	0.00599541	0.0319867	0.145627	0.275735	0.52595
a98	0.00698768	0.00492313	0.00286848	0.00225471	0.00232995	0.00516812	0.026245	0.116046	0.296227	0.536951
a15	0.00219001	0.00124741	0.000404012	0.00028477	0.000326088	0.00071309	0.00473031	0.0387486	0.244097	0.707259
a36	0.000983754	0.00056672	0.000142124	9.02372e-05	0.000118056	0.000266641	0.00282407	0.0237304	0.215704	0.755574
a98	0.00302196	0.00190478	0.000466694	0.000211109	0.000192333	0.000563372	0.00545929	0.0351213	0.184558	0.768501
a47	0.00304837	0.00173352	0.000445388	0.000298902	0.000475218	0.00139322	0.00530918	0.0206173	0.149247	0.817432
a36	0.00197543	0.00126392	0.000318403	0.000190035	0.00031416	0.00107471	0.00763376	0.0385993	0.182769	0.765861
a2	0.0392656	0.0290365	0.00973293	0.00580536	0.00449143	0.0093164	0.0427757	0.157877	0.224466	0.477233
a57	0.0802321	0.0574158	0.0323341	0.0408461	0.033198	0.0335946	0.0774731	0.117445	0.208089	0.319372
a10	0.268108	0.165736	0.0926011	0.0901671	0.0726207	0.0528882	0.0352341	0.049525	0.0617036	0.111416
a87	0.192235	0.125403	0.0771842	0.0802633	0.0727965	0.0636227	0.0527679	0.0875494	0.10435	0.143828
a23	0.128374	0.0918915	0.0572263	0.062508	0.0710865	0.0700175	0.0658176	0.106137	0.149047	0.197894
a87	0.0491145	0.035777	0.0180644	0.0164051	0.0153014	0.0145121	0.021446	0.0673587	0.211374	0.550647
</S>	0.0174219	0.0116745	0.00544497	0.00604867	0.00995937	0.0121339	0.049933	0.114743	0.255699	0.516941
