 	il	est	allé	au-devant	des	étrangers	</S>
a23	0.307045	0.276487	0.166619	0.0766637	0.06377	0.0434534	0.0659617
a85	0.28883	0.206705	0.177932	0.114638	0.08188	0.0569876	0.0730263
a87	0.251408	0.208991	0.1918	0.0889176	0.073324	0.0646082	0.120951
a23	0.246967	0.216298	0.223372	0.10409	0.0691366	0.0556969	0.0844399
a87	0.27818	0.167844	0.116922	0.0647997	0.0794181	0.106354	0.186482
a23	0.208603	0.156521	0.126048	0.0823735	0.107455	0.129068	0.189932
a79	0.161029	0.116595	0.112458	0.0748104	0.111865	0.163724	0.259518
a20	0.247899	0.192887	0.189805	0.100084	0.0940578	0.0761577	0.09911
a14	0.276444	0.254298	0.23988	0.11954	0.0664604	0.0259839	0.0173939
a26	0.272287	0.250488	0.227247	0.141267	0.0710378	0.0236087	0.0140647
a0	0.239773	0.237021	0.234586	0.156232	0.0828091	0.0291829	0.020396
a75	0.181887	0.209209	0.236427	0.185245	0.117274	0.0434008	0.0265579
a41	0.190452	0.235433	0.256518	0.139149	0.0868939	0.0513783	0.0401758
a24	0.190979	0.238093	0.242995	0.127888	0.0862829	0.0604896	0.0532728
a32	0.125044	0.154726	0.208668	0.156527	0.145096	0.111796	0.0981427
a25	0.117726	0.153263	0.226031	0.174344	0.152264	0.0940779	0.0822939
a87	0.0527247	0.0897378	0.197233	0.235276	0.227169	0.114235	0.0836244
a23	0.0828306	0.0835226	0.130025	0.127932	0.185571	0.189075	0.201043
a79	0.0634347	0.0643909	0.107032	0.129133	0.182266	0.198779	0.254964
a58	0.0739499	0.0831112	0.141374	0.120162	0.160701	0.185727	0.234974
a38	0.0930581	0.102801	0.135006	0.111531	0.158342	0.186379	0.212883
a90	0.0581393	0.070677	0.106876	0.109289	0.177006	0.215836	0.262177
a11	0.0536772	0.0660986	0.100597	0.113139	0.191568	0.226661	0.24826
a75	0.0365823	0.0391753	0.0602531	0.0703935	0.161976	0.288896	0.342724
a76	0.027114	0.0290508	0.0406179	0.0548349	0.148469	0.302055	0.397859
a94	0.0350868	0.0438801	0.059452	0.067	0.134859	0.265347	0.394375
a38	0.0200621	0.022881	0.0360411	0.0478515	0.124232	0.32435	0.424582
a73	0.0211002	0.0227531	0.0361828	0.0467722	0.106996	0.30172	0.464476
a44	0.0208643	0.0240219	0.0351811	0.0353303	0.0951019	0.306106	0.483395
a26	0.01883	0.0191623	0.0276933	0.0296311	0.0719634	0.269841	0.562878
a94	0.0143651	0.0128155	0.0169345	0.0193326	0.0493861	0.23234	0.654827
a13	0.0231204	0.0187295	0.0225726	0.0222676	0.0509106	0.210581	0.651819
a9	0.01914	0.0143123	0.01505	0.0157706	0.0405842	0.195721	0.699422
a87	0.0282866	0.0175003	0.0150311	0.0173773	0.051793	0.206822	0.66319
</S>	0.0416603	0.0191944	0.012848	0.01706	0.0646119	0.274255	0.57037
