 	ognama	est	en	train	de	lisser	le	manche	de	la	houe	</S>
a66	0.354775	0.269283	0.176102	0.0633089	0.0437564	0.0311164	0.0267568	0.01307	0.00934579	0.00565524	0.00363275	0.00319778
a87	0.342548	0.122109	0.063166	0.0374292	0.0476542	0.0603209	0.0843411	0.0597205	0.0563386	0.046876	0.0380355	0.0414615
a10	0.254008	0.123492	0.0653168	0.0353361	0.0423732	0.0695772	0.0875846	0.0735777	0.078175	0.0624378	0.0539509	0.0541715
a87	0.252471	0.143929	0.0747913	0.0492088	0.0648868	0.101879	0.085581	0.0592556	0.0535916	0.0412883	0.0359994	0.0371173
a97	0.205806	0.112457	0.0606846	0.043619	0.0560301	0.102373	0.100561	0.0872056	0.0804665	0.0582726	0.0484353	0.04409
a87	0.231416	0.124201	0.0669849	0.0480695	0.0509217	0.0897759	0.0879392	0.0830866	0.078339	0.056958	0.043771	0.038538
a97	0.235489	0.107663	0.0543055	0.0373103	0.04163	0.0827655	0.0873959	0.0884451	0.0894891	0.0688294	0.0570888	0.049588
a79	0.153633	0.0874191	0.0598524	0.0560919	0.0642802	0.117094	0.108218	0.104001	0.0951077	0.064029	0.0492715	0.0410025
a20	0.161482	0.142298	0.0950032	0.0643483	0.0630409	0.0603548	0.0723055	0.0634216	0.0766536	0.0786096	0.0588044	0.063678
a37	0.225739	0.175884	0.114399	0.0781989	0.0773539	0.0607357	0.0578378	0.0419179	0.0493892	0.0491629	0.0340968	0.0352849
a75	0.164489	0.148625	0.114095	0.0887411	0.0872316	0.0741393	0.0654323	0.0443352	0.0553739	0.0599169	0.0439974	0.0536226
a92	0.105751	0.109722	0.125011	0.117757	0.112996	0.0888084	0.0812393	0.050778	0.0547125	0.0534951	0.0443736	0.0553552
a79	0.132099	0.12726	0.127713	0.0999871	0.0851294	0.0606627	0.0719165	0.0593545	0.0631148	0.0631878	0.0502254	0.0593497
a90	0.205578	0.170472	0.13533	0.0811547	0.067169	0.0486107	0.0582214	0.0472611	0.0487732	0.0483423	0.0402927	0.0487948
a98	0.168747	0.162009	0.148085	0.0957871	0.0882756	0.0713636	0.0657251	0.0450365	0.0427639	0.0384364	0.0329474	0.0408233
a15	0.131026	0.128502	0.133312	0.0944003	0.0789757	0.0610994	0.0716722	0.0664436	0.0690467	0.0625621	0.0491463	0.0538137
a79	0.100494	0.105999	0.121008	0.0880353	0.0800271	0.0728301	0.085184	0.0817255	0.0815465	0.0701264	0.0546684	0.0583559
a90	0.0808042	0.0850173	0.100672	0.0785335	0.0772327	0.0814618	0.0879247	0.090237	0.0887546	0.0786881	0.0714008	0.0792733
a94	0.0653069	0.069416	0.0875673	0.0726714	0.0767723	0.0894214	0.0947523	0.100967	0.101099	0.0867182	0.0754578	0.0798505
a90	0.0316098	0.0373778	0.0670758	0.0724427	0.074098	0.0906704	0.0838293	0.105954	0.10702	0.10155	0.100007	0.128364
a69	0.0175604	0.0201257	0.0401479	0.0557689	0.0636838	0.0882328	0.0857647	0.12674	0.137413	0.129451	0.114585	0.120527
a58	0.00938417	0.0101278	0.0219414	0.0423561	0.0550684	0.0887052	0.0745267	0.124958	0.136798	0.138777	0.135441	0.161916
a54	0.00330864	0.00320919	0.00482317	0.00884119	0.0124079	0.0275151	0.0233069	0.0561912	0.0826849	0.142768	0.223336	0.411607
a47	0.00287195	0.00246129	0.00382369	0.00825292	0.0120305	0.0275692	0.022356	0.0666621	0.100753	0.169151	0.235531	0.348537
a37	0.00107058	0.000983685	0.00207614	0.00577218	0.00875341	0.0203709	0.0173143	0.0627816	0.0950972	0.168539	0.249888	0.367353
a5	0.001414	0.00116973	0.00187662	0.00400853	0.00579199	0.012886	0.0121241	0.0453293	0.0692064	0.141379	0.25402	0.450794
a18	0.00239606	0.001936	0.00296301	0.00557273	0.00701032	0.0119995	0.0116745	0.0403677	0.0597807	0.124699	0.263368	0.468233
a0	0.00175347	0.00120007	0.00193123	0.00406255	0.00645646	0.0129528	0.0164988	0.0401169	0.0662803	0.12707	0.257391	0.464287
a12	0.0013611	0.000820098	0.00143365	0.00367272	0.00643083	0.0153007	0.017667	0.044516	0.07619	0.137176	0.263228	0.432204
a18	0.0012291	0.00114643	0.00196543	0.00399428	0.0048191	0.00867611	0.00918817	0.0341883	0.0510457	0.116888	0.270432	0.496428
a71	0.000779687	0.000470171	0.000898518	0.00259979	0.00494136	0.0129228	0.0139506	0.0354785	0.0596219	0.11615	0.261513	0.490673
a9	0.00775483	0.00506607	0.00698155	0.015071	0.0251522	0.0546042	0.0324708	0.0618335	0.0868363	0.1181	0.220567	0.365562
a3	0.0688441	0.0348439	0.0274624	0.0264415	0.0317325	0.0588945	0.0620148	0.101243	0.13908	0.134866	0.155463	0.159114
a97	0.04264	0.0218785	0.0171235	0.0152366	0.0190978	0.0333274	0.0384568	0.0752019	0.111181	0.145345	0.226571	0.253941
a87	0.0290745	0.016366	0.0160969	0.0170568	0.0243373	0.0495895	0.0535224	0.0976926	0.130391	0.15119	0.205752	0.208931
a97	0.0192514	0.0120558	0.0145927	0.0171697	0.0271384	0.0589647	0.0613459	0.0980679	0.131918	0.149276	0.202818	0.207402
a87	0.0156332	0.0110105	0.0160384	0.0200789	0.0287411	0.0482423	0.0553535	0.0816879	0.106682	0.140857	0.207325	0.26835
</S>	0.0173132	0.0132065	0.019959	0.023408	0.0328118	0.0501431	0.0580463	0.0788566	0.0972676	0.127582	0.197097	0.284309
