 	elle	veut	des	boucles	d'	oreille	</S>
a23	0.267113	0.257079	0.23585	0.111945	0.0737011	0.0302426	0.0240694
a87	0.349694	0.206112	0.14664	0.135101	0.0549925	0.0464137	0.0610463
a23	0.334066	0.186318	0.0996394	0.0850394	0.0641513	0.0839706	0.146815
a87	0.37787	0.199283	0.0856692	0.0468874	0.0479981	0.0787077	0.163584
a23	0.318856	0.199905	0.106914	0.0654095	0.0642438	0.0890943	0.155578
a40	0.306474	0.211271	0.126449	0.0661825	0.060013	0.0835363	0.146073
a44	0.462982	0.185397	0.108973	0.106664	0.0562692	0.0473821	0.0323329
a38	0.437991	0.230129	0.151973	0.106873	0.0393048	0.0204582	0.0132704
a26	0.314281	0.239343	0.219144	0.125818	0.0496453	0.0292077	0.0225602
a35	0.222649	0.217961	0.251909	0.155921	0.0739039	0.0427758	0.03488
a14	0.198373	0.231427	0.259214	0.161555	0.0764722	0.0388638	0.034095
a2	0.176075	0.1988	0.232195	0.210822	0.119967	0.0369067	0.0252335
a38	0.055438	0.0857638	0.15363	0.180257	0.179381	0.1546	0.19093
a41	0.0602311	0.0961192	0.165847	0.196818	0.201979	0.13188	0.147125
a32	0.0682313	0.135522	0.225623	0.24594	0.18897	0.0709531	0.06476
a75	0.0440402	0.105062	0.190873	0.228879	0.216611	0.101947	0.112588
a35	0.0557705	0.118792	0.181025	0.229825	0.216949	0.105263	0.0923754
a24	0.0290944	0.0767261	0.133653	0.195117	0.2522	0.168642	0.144568
a41	0.0206441	0.0411577	0.0758891	0.133724	0.225293	0.253579	0.249713
a35	0.0170057	0.0303289	0.0570588	0.11709	0.244063	0.271082	0.263371
a14	0.0146512	0.0249171	0.044889	0.0832502	0.20569	0.272317	0.354285
a41	0.0181193	0.0245977	0.0377077	0.0794824	0.19146	0.279926	0.368707
a26	0.0107757	0.0150282	0.0253257	0.0688434	0.176732	0.316191	0.387104
a38	0.00666708	0.00788822	0.0121904	0.0259366	0.080514	0.228058	0.638746
a94	0.00266986	0.002923	0.00603306	0.01822	0.058879	0.214333	0.696942
a75	0.00243596	0.00270281	0.00548742	0.01745	0.0550512	0.21602	0.700853
a61	0.00285156	0.0036162	0.00937567	0.0272758	0.075651	0.262204	0.619026
a66	0.00322537	0.00433384	0.00932025	0.0199433	0.0590125	0.220532	0.683632
a9	0.00857756	0.00843921	0.0118451	0.0260846	0.0587505	0.200163	0.68614
a97	0.0116949	0.00883704	0.00892745	0.0170921	0.0489388	0.213665	0.690844
a87	0.00535527	0.00607139	0.00721802	0.0158107	0.0684901	0.267577	0.629478
</S>	0.0061547	0.00755502	0.0112384	0.0266483	0.0954878	0.274115	0.5788
