 	c'	est	une	très	belle	femme	</S>
a23	0.421183	0.246657	0.141065	0.0674699	0.0398039	0.0403371	0.0434839
a18	0.335579	0.205786	0.168296	0.108347	0.0582115	0.0532539	0.0705273
a43	0.276359	0.19343	0.140734	0.088762	0.0666181	0.0833495	0.150747
a41	0.434576	0.247901	0.156215	0.0824093	0.0345197	0.0218215	0.0225578
a27	0.369793	0.256854	0.190045	0.0878078	0.0361658	0.028142	0.0311923
a11	0.309102	0.22466	0.199059	0.121159	0.0528022	0.0414016	0.0518156
a90	0.207313	0.209442	0.244333	0.179562	0.0654271	0.0443853	0.0495384
a76	0.231464	0.259575	0.286384	0.133535	0.0351058	0.0247401	0.029197
a73	0.268288	0.261928	0.23348	0.105554	0.0463268	0.0393766	0.0450477
a41	0.266758	0.257613	0.237032	0.112168	0.0416077	0.036683	0.0481387
a25	0.178182	0.180521	0.186696	0.138482	0.0856859	0.0966754	0.133759
a12	0.118301	0.130025	0.143984	0.134009	0.110242	0.14035	0.223089
a24	0.105749	0.102073	0.120912	0.159684	0.159163	0.157782	0.194636
a94	0.0412666	0.0368139	0.0446251	0.0800834	0.160771	0.247245	0.389195
a66	0.0541756	0.0411375	0.0406931	0.0666566	0.16914	0.261508	0.366689
a13	0.0535875	0.036568	0.0315709	0.0470025	0.153114	0.276423	0.401735
a9	0.0557361	0.0349858	0.0292067	0.0412441	0.117976	0.265348	0.455503
a87	0.0357603	0.0230876	0.0194065	0.0281429	0.0985697	0.257287	0.537746
</S>	0.0163832	0.0146237	0.0176682	0.0318771	0.11535	0.275311	0.528788
