 	j'	ai	capturé	une	rainette	pendant	la	pêche	à	l'	écopée	</S>
a66	0.1065	0.0765553	0.0622151	0.0706181	0.0878754	0.18636	0.190024	0.119267	0.0476514	0.0232001	0.0154612	0.0142724
a87	0.280047	0.131871	0.111044	0.111385	0.084373	0.0726853	0.0571859	0.0505741	0.0372389	0.0273442	0.0176154	0.0186362
a23	0.365992	0.219101	0.167492	0.108049	0.0521355	0.0296789	0.0133907	0.0114377	0.0092796	0.00965146	0.00628637	0.00750496
a87	0.26647	0.254358	0.253033	0.153618	0.0367779	0.0150257	0.00457878	0.00305462	0.00236812	0.00259743	0.00306089	0.00505724
a23	0.205929	0.231091	0.295646	0.178964	0.0459739	0.0180248	0.00718418	0.0051815	0.00346825	0.00293558	0.00236926	0.00323222
a87	0.239451	0.242103	0.239192	0.160545	0.0483482	0.022885	0.00959843	0.00920641	0.00698673	0.00684187	0.00651832	0.00832444
a23	0.287066	0.230154	0.235037	0.141034	0.0448089	0.0221571	0.0117039	0.00971973	0.00527792	0.00416597	0.00374183	0.00513346
a87	0.284621	0.200882	0.168905	0.131354	0.0630351	0.0417671	0.0243125	0.0254121	0.0154079	0.0136447	0.014295	0.0163635
a23	0.321656	0.193078	0.172251	0.126341	0.0542974	0.0383834	0.0259105	0.0243392	0.0125561	0.00981836	0.00979224	0.011576
a18	0.2753	0.179633	0.169768	0.144603	0.0665108	0.0439418	0.0282381	0.0303037	0.0177506	0.0146337	0.0140105	0.0153063
a24	0.233358	0.165859	0.140489	0.122729	0.0747415	0.0704891	0.0525499	0.0495962	0.0319098	0.0265696	0.018792	0.0129178
a31	0.135207	0.152244	0.169684	0.157319	0.120921	0.0810436	0.0525132	0.0469038	0.0294727	0.0243338	0.017002	0.0133569
a88	0.0792162	0.110381	0.16319	0.193557	0.184926	0.109105	0.0538105	0.0391137	0.0231292	0.0186432	0.0134707	0.0114579
a62	0.0411074	0.0684274	0.123538	0.178045	0.206819	0.127742	0.0789699	0.0642666	0.0406068	0.0301233	0.0210579	0.0192966
a47	0.0448884	0.0507492	0.0894892	0.159043	0.215314	0.140619	0.0936358	0.0696315	0.0492699	0.0364713	0.0249257	0.025963
a34	0.0529339	0.0430805	0.0639065	0.119946	0.198639	0.162756	0.11945	0.0728276	0.0508748	0.043138	0.0322797	0.0401677
a56	0.0227433	0.0201059	0.0335779	0.0831757	0.174845	0.175495	0.166554	0.125711	0.0760677	0.048042	0.0341561	0.0395272
a75	0.0199707	0.0179023	0.026067	0.0524877	0.15134	0.203814	0.203027	0.138083	0.068536	0.04307	0.0357858	0.0399163
a92	0.0121381	0.0106544	0.0152301	0.023238	0.074817	0.164139	0.170574	0.143773	0.103928	0.0840819	0.0917332	0.105694
a37	0.011244	0.008061	0.0106704	0.0152612	0.0477406	0.134612	0.148267	0.130898	0.114018	0.101365	0.12446	0.153402
a47	0.0126102	0.00808002	0.010099	0.0126584	0.0432237	0.148633	0.166764	0.126185	0.103116	0.0936249	0.121384	0.153622
a88	0.0136573	0.00753984	0.00931068	0.00922246	0.0224976	0.0720376	0.0871806	0.0644295	0.0674608	0.0872846	0.199734	0.359645
a75	0.00648856	0.00397931	0.00428031	0.00394524	0.00883282	0.0307952	0.0444459	0.0464188	0.0670347	0.116379	0.251843	0.415557
a85	0.00159398	0.00105406	0.00140122	0.00160638	0.00282344	0.010368	0.0169289	0.0293302	0.0771569	0.141505	0.260351	0.45588
a6	0.00171883	0.00100558	0.00105995	0.000905631	0.0014527	0.00393282	0.00632887	0.0124583	0.0402445	0.100568	0.259636	0.570689
a36	0.00130863	0.000880595	0.00127725	0.00122148	0.00183355	0.00448896	0.00870635	0.0173208	0.0428702	0.0816229	0.239789	0.59868
a2	0.00370677	0.00244271	0.00199139	0.000798149	0.00118008	0.001547	0.00326573	0.00619855	0.01305	0.0450659	0.241853	0.678901
a57	0.0477348	0.0371	0.0288528	0.0178622	0.0207677	0.0208918	0.0212303	0.0184458	0.0249448	0.0545947	0.193088	0.514487
a87	0.10895	0.0576997	0.0420152	0.0343512	0.0458986	0.0566409	0.0867216	0.0624599	0.0458708	0.0581992	0.130712	0.270481
a23	0.172524	0.0910046	0.040136	0.0208147	0.023403	0.0342891	0.0643679	0.0737403	0.0875417	0.111514	0.135419	0.145247
a9	0.0746789	0.0425126	0.0217622	0.0113702	0.0146162	0.0178428	0.0317849	0.0468529	0.0725425	0.10641	0.20134	0.358288
a57	0.0121784	0.00638041	0.00422339	0.00309084	0.00529978	0.00722813	0.0143043	0.0325162	0.06844	0.117563	0.23978	0.488996
</S>	0.0188532	0.0116485	0.00755996	0.0043175	0.00458691	0.00614616	0.0114097	0.0266631	0.0654573	0.118509	0.234274	0.490575
