 	l'	homme	avala	de	travers	</S>
a23	0.153588	0.127723	0.221906	0.183106	0.147127	0.16655
a10	0.357989	0.216283	0.14268	0.103743	0.0823826	0.096922
a87	0.274576	0.246566	0.178646	0.113773	0.0811924	0.105247
a23	0.210719	0.212721	0.20306	0.151783	0.102024	0.119693
a44	0.365746	0.244203	0.155439	0.105818	0.0615941	0.0672006
a94	0.613177	0.248424	0.0657998	0.0343933	0.0177209	0.0204856
a53	0.510683	0.292161	0.106899	0.0472375	0.0225982	0.0204217
a69	0.364084	0.312288	0.17222	0.0805738	0.039901	0.030933
a58	0.295943	0.299911	0.195926	0.105603	0.0570462	0.0455718
a82	0.203091	0.24	0.200195	0.143139	0.101119	0.112456
a40	0.131063	0.182909	0.192218	0.153416	0.143807	0.196587
a73	0.164774	0.216061	0.223255	0.165672	0.116893	0.113345
a44	0.200992	0.250693	0.221324	0.151539	0.0954246	0.0800265
a90	0.135664	0.199933	0.234987	0.186849	0.125689	0.116877
a98	0.107111	0.159618	0.219385	0.203301	0.160293	0.150291
a25	0.121603	0.153829	0.195927	0.184998	0.160415	0.183228
a82	0.0899775	0.122334	0.194118	0.191935	0.17658	0.225055
a87	0.0426639	0.0710853	0.176714	0.208043	0.215154	0.28634
a79	0.0623448	0.0810638	0.142166	0.179193	0.208945	0.326288
a53	0.0938415	0.0662722	0.0668489	0.110431	0.160075	0.502531
a4	0.10457	0.0830663	0.0920064	0.144803	0.178554	0.397
a13	0.0559907	0.0565839	0.0733499	0.145474	0.21137	0.457231
a38	0.0453659	0.0464351	0.0618099	0.132364	0.221913	0.492112
a47	0.0356902	0.0380983	0.0528346	0.112251	0.231166	0.52996
a98	0.0398919	0.0365399	0.0433094	0.0912937	0.21327	0.575696
a71	0.0324297	0.0281209	0.0365153	0.0781469	0.188089	0.636698
a9	0.0246505	0.0239854	0.0293402	0.0615739	0.167555	0.692895
a87	0.0169144	0.0165189	0.0259445	0.0552097	0.16946	0.715953
</S>	0.0173866	0.0131225	0.0225161	0.0667087	0.191232	0.689034
