 	je	m'	en	vais	chercher	le	notable	car	on	a	besoin	de	lui	à	la	veillée	mortuaire	</S>
a66	0.174071	0.122366	0.0907717	0.0728738	0.0704256	0.0720085	0.090997	0.097805	0.0520549	0.0479103	0.0316721	0.0177071	0.0139666	0.0111837	0.0109806	0.0078949	0.00772896	0.00758269
a87	0.192431	0.144564	0.098015	0.0681123	0.0588557	0.0528921	0.0681206	0.0764438	0.0450523	0.0419389	0.0300191	0.0208262	0.017632	0.0165756	0.0161697	0.0174591	0.017903	0.0169891
a97	0.227715	0.158316	0.12001	0.0961594	0.0709136	0.0544846	0.0600641	0.0450919	0.0254837	0.0251392	0.022844	0.0176479	0.0168819	0.0148536	0.0146204	0.0104917	0.00923931	0.0100442
a87	0.153414	0.129817	0.128031	0.142496	0.0928358	0.0634452	0.0641988	0.0392706	0.0236457	0.0233271	0.0217547	0.0198179	0.0208502	0.0206424	0.0206018	0.0165554	0.0108505	0.00844596
a23	0.131394	0.107922	0.098656	0.107763	0.0733339	0.0560414	0.0644984	0.0444068	0.0337216	0.0343169	0.0326572	0.0323608	0.0370181	0.0393074	0.0419215	0.0328938	0.0182693	0.0135183
a83	0.150608	0.0913615	0.056349	0.0517419	0.0316465	0.0293391	0.0388753	0.0432812	0.0381056	0.0399891	0.03922	0.0439869	0.0465023	0.0524046	0.0531092	0.0797653	0.0553581	0.0583565
a50	0.151017	0.12461	0.0999081	0.104859	0.0645838	0.0436546	0.036023	0.038343	0.0395574	0.0408367	0.0387523	0.0370793	0.0336963	0.0351071	0.03622	0.0372048	0.0189829	0.0195649
a70	0.171921	0.192975	0.15461	0.139571	0.0666956	0.0389244	0.0280489	0.0289408	0.0295299	0.0278486	0.0259814	0.022504	0.0155455	0.0127063	0.0110325	0.0133285	0.00931264	0.0105237
a53	0.131189	0.166442	0.153001	0.151991	0.0813716	0.0533689	0.0392228	0.0352252	0.0327935	0.0297954	0.0270509	0.0233313	0.0162265	0.0130474	0.010673	0.0134169	0.0101737	0.0116791
a4	0.111364	0.146735	0.147752	0.144123	0.0841093	0.0629479	0.0475922	0.0387573	0.0350778	0.0328419	0.030159	0.0273316	0.0209747	0.0175826	0.0128876	0.0134058	0.0123449	0.0140136
a93	0.0776389	0.111296	0.132067	0.15389	0.095648	0.0725995	0.0557274	0.0443618	0.0378057	0.0349297	0.0318296	0.0289749	0.0235383	0.0204936	0.0156942	0.0184177	0.019639	0.025449
