 	ses	enfants	ont	bu	courage	</S>
a23	0.322949	0.173374	0.120146	0.126833	0.145923	0.110775
a38	0.318129	0.12894	0.112518	0.148391	0.13501	0.157012
a14	0.34111	0.232585	0.139983	0.137721	0.0770753	0.0715268
a35	0.371859	0.257409	0.148238	0.11256	0.064389	0.0455445
a14	0.376829	0.275596	0.160536	0.103823	0.0497301	0.033486
a73	0.352248	0.285419	0.169157	0.103852	0.0521321	0.0371918
a76	0.324873	0.261747	0.164769	0.119604	0.0725441	0.0564622
a73	0.309527	0.254121	0.177618	0.124136	0.0804516	0.0541462
a44	0.268266	0.245011	0.181958	0.137005	0.0962673	0.0714927
a26	0.191052	0.190518	0.173462	0.161205	0.144783	0.13898
a24	0.10043	0.128298	0.168697	0.195513	0.19981	0.207253
a35	0.0710053	0.0989812	0.148372	0.21505	0.239632	0.22696
a76	0.0537601	0.0766557	0.107963	0.186229	0.283049	0.292344
a94	0.0611763	0.0843219	0.109622	0.164948	0.270317	0.309614
a98	0.0221188	0.0315093	0.0494612	0.0914462	0.276642	0.528823
a75	0.0131687	0.0206669	0.0350072	0.0803224	0.273158	0.577677
a41	0.0325637	0.0482334	0.072068	0.124206	0.256744	0.466185
a94	0.0108795	0.016566	0.0281085	0.0679631	0.241548	0.634935
a38	0.011998	0.0159894	0.0260253	0.0693703	0.242317	0.6343
a9	0.0111531	0.0140126	0.0235459	0.0687943	0.228186	0.654308
a87	0.0119247	0.0143621	0.0236128	0.0791532	0.248441	0.622506
</S>	0.00902157	0.0101283	0.0159989	0.0610898	0.238373	0.665389
