 	ca	c'	est	mon	étang	</S>
a10	0.407647	0.262665	0.172752	0.104334	0.0384863	0.014115
a50	0.419413	0.264469	0.190258	0.0896829	0.0265939	0.00958393
a62	0.478781	0.251741	0.132751	0.0723511	0.0407137	0.0236628
a21	0.46818	0.262773	0.164468	0.0597432	0.0294125	0.0154231
a75	0.432639	0.299875	0.180643	0.0606643	0.0197576	0.00642022
a61	0.439272	0.272387	0.164936	0.0698315	0.0369248	0.0166485
a34	0.319431	0.288742	0.200759	0.10407	0.0595244	0.0274733
a93	0.29976	0.22261	0.187617	0.140906	0.0947035	0.0544026
a56	0.152439	0.160937	0.18667	0.192866	0.182715	0.124371
a75	0.129037	0.159038	0.196576	0.200985	0.178107	0.136257
a85	0.0969581	0.120786	0.173709	0.203989	0.203857	0.200702
a56	0.0326533	0.0506407	0.0985072	0.17748	0.291923	0.348795
a96	0.0229533	0.0458836	0.087026	0.166126	0.25044	0.427571
a75	0.00839895	0.0159165	0.0344152	0.0938897	0.239009	0.608371
a85	0.00783553	0.0130603	0.0298078	0.0824108	0.220129	0.646757
a2	0.00647787	0.0103994	0.0245607	0.0663298	0.194722	0.697511
a57	0.00216777	0.00476	0.00972422	0.0365775	0.155562	0.791209
a87	0.00845697	0.010916	0.0201449	0.0491916	0.174025	0.737266
a23	0.21546	0.123403	0.134151	0.146457	0.157437	0.223093
a97	0.0235245	0.0425955	0.069733	0.179726	0.288732	0.39569
</S>	0.0247383	0.0477365	0.0797001	0.153845	0.264541	0.42944
