 	les	beaux	parents	m'	avaient	humilié	en	public	</S>
a66	0.212486	0.223358	0.296708	0.16252	0.0698075	0.0166705	0.00897406	0.00584363	0.00363223
a87	0.288042	0.156305	0.119235	0.0933351	0.0695191	0.0357742	0.0500526	0.0954297	0.0923074
a10	0.199215	0.132705	0.113979	0.105278	0.064031	0.0429818	0.0625969	0.150072	0.129141
a87	0.277204	0.204891	0.156811	0.110893	0.0440303	0.0286702	0.037605	0.0731727	0.0667224
a97	0.261549	0.183426	0.133863	0.096642	0.0498149	0.0377285	0.0503453	0.094182	0.092449
a87	0.206795	0.148223	0.108614	0.0941771	0.0593879	0.0500739	0.0687823	0.140228	0.123719
a97	0.207619	0.150948	0.108241	0.0922865	0.0579769	0.0514108	0.0718295	0.137419	0.122269
a40	0.229208	0.168758	0.142649	0.1094	0.0635631	0.0593404	0.0629542	0.0956152	0.0685117
a73	0.289846	0.276843	0.247471	0.0891727	0.0347105	0.0164637	0.0156727	0.0186906	0.0111296
a7	0.310272	0.262626	0.258858	0.0893407	0.0274666	0.0135916	0.0131225	0.0143413	0.0103816
a40	0.274743	0.238534	0.263524	0.121519	0.0418116	0.0184745	0.0138471	0.0139949	0.0135525
a90	0.224658	0.1875	0.250105	0.130253	0.0753321	0.0335049	0.0300839	0.0349964	0.0335657
a25	0.169185	0.172156	0.279446	0.17934	0.105328	0.0315683	0.0207559	0.0219666	0.0202545
a98	0.127347	0.148938	0.275365	0.187043	0.124134	0.0433064	0.0292277	0.0334345	0.0312049
a79	0.102596	0.141765	0.232015	0.20543	0.153297	0.0597233	0.0355623	0.036902	0.0327095
a44	0.116243	0.161419	0.235965	0.186558	0.134425	0.0570961	0.0359784	0.0371896	0.0351265
a61	0.0948891	0.121637	0.206695	0.220448	0.158875	0.05937	0.0401653	0.0465499	0.0513714
a31	0.056821	0.0759234	0.159641	0.212334	0.198999	0.095897	0.0627847	0.0646776	0.0729218
a43	0.0239494	0.0274679	0.0811186	0.148174	0.192589	0.162973	0.124641	0.115484	0.123604
a75	0.0173759	0.0171941	0.0488838	0.114779	0.158444	0.183275	0.151853	0.14657	0.161625
a92	0.00839925	0.0108894	0.0271693	0.0835358	0.118478	0.142947	0.165452	0.208446	0.234683
a56	0.00916335	0.0115819	0.0271898	0.0741795	0.108177	0.150814	0.1678	0.206295	0.244801
a93	0.0154837	0.0140154	0.0267787	0.0698181	0.0990482	0.152484	0.173025	0.206646	0.242701
a96	0.0134723	0.0105829	0.0174384	0.0532439	0.0843213	0.157479	0.186305	0.214486	0.262671
a0	0.004144	0.00285005	0.00409502	0.0146341	0.0342756	0.125755	0.22628	0.279563	0.308404
a75	0.00186545	0.00131844	0.0015164	0.00534115	0.0156365	0.088324	0.225269	0.318383	0.342346
a85	0.000449973	0.000313859	0.000683257	0.00256498	0.00801338	0.0612253	0.175002	0.310884	0.440863
a47	0.000155944	0.000103565	0.000197427	0.000699231	0.00257333	0.0322877	0.137615	0.309572	0.516795
a36	0.000259771	0.000159305	0.000188307	0.000606208	0.00281427	0.0345589	0.13115	0.303278	0.526985
a6	0.000573166	0.000308136	0.000186538	0.000523177	0.00266886	0.0317949	0.112921	0.264804	0.586221
a36	0.000189666	0.000114924	0.000125826	0.000451278	0.00235274	0.0305837	0.114121	0.27928	0.572781
a37	0.000231604	0.000129931	0.000103532	0.00032327	0.00175636	0.0287657	0.102983	0.245319	0.620388
a26	0.000401931	0.000237687	0.000180457	0.000432142	0.00213907	0.0218835	0.074403	0.214234	0.686088
a82	0.00770318	0.00463308	0.00215322	0.00339446	0.0118008	0.0401231	0.075841	0.203109	0.651242
a97	0.062174	0.0271511	0.0132731	0.0148526	0.0225079	0.0396029	0.0744006	0.211565	0.534473
a87	0.108378	0.0510026	0.0282761	0.0294828	0.0438846	0.0665909	0.11468	0.229244	0.328462
a97	0.0511119	0.023682	0.0122842	0.0143525	0.0276931	0.0682428	0.147361	0.30078	0.354492
</S>	0.027231	0.0133084	0.00779371	0.0101565	0.0166973	0.0455346	0.120925	0.332092	0.426262
