 	il	ne	parle	plus	qu'	en	français	</S>
a66	0.297226	0.301016	0.204164	0.0833106	0.0658621	0.0309528	0.0131102	0.00435829
a87	0.572574	0.210196	0.081145	0.041728	0.0418066	0.0314432	0.0119099	0.00919775
a23	0.369033	0.218098	0.124014	0.0775276	0.0734737	0.0588212	0.038739	0.0402925
a53	0.247013	0.142678	0.133339	0.0950396	0.143159	0.136048	0.0635916	0.0391321
a15	0.390819	0.222565	0.135256	0.0664211	0.0810289	0.0621561	0.0248759	0.0168777
a79	0.352235	0.260283	0.157224	0.079857	0.0767985	0.0515837	0.0140041	0.0080142
a37	0.2458	0.230362	0.169337	0.113381	0.113576	0.0841026	0.0303241	0.0131172
a21	0.166761	0.1714	0.183609	0.133948	0.154145	0.115252	0.0499485	0.0249368
a92	0.199945	0.202683	0.181292	0.127017	0.123756	0.091366	0.0476198	0.0263205
a56	0.125205	0.15622	0.170413	0.136945	0.159217	0.134033	0.0728252	0.0451415
a21	0.126664	0.170849	0.18879	0.147555	0.14047	0.109611	0.0697001	0.0463604
a85	0.14751	0.181466	0.182464	0.135821	0.110935	0.0853016	0.0911651	0.0653377
a6	0.0410463	0.0662219	0.0956553	0.0876858	0.111715	0.119389	0.190723	0.287563
a37	0.0620575	0.0977181	0.157455	0.138768	0.131041	0.114154	0.129802	0.169004
a98	0.0557059	0.100954	0.163502	0.151628	0.122923	0.107151	0.115546	0.182591
a85	0.0243327	0.0454476	0.0976421	0.101991	0.108003	0.109864	0.187321	0.325398
a92	0.0165538	0.030538	0.0680191	0.0774467	0.0961372	0.103969	0.189327	0.418009
a37	0.017386	0.0364292	0.0920104	0.104205	0.104167	0.10877	0.143556	0.393477
a93	0.0109032	0.0230326	0.0861915	0.114107	0.113999	0.120799	0.141786	0.389181
a56	0.00883975	0.0163089	0.0560082	0.0787433	0.0898575	0.109842	0.165423	0.474977
a34	0.00883908	0.0141103	0.0463142	0.0715615	0.0783399	0.0975392	0.156709	0.526587
a75	0.00666372	0.00873225	0.0269438	0.0463341	0.0555274	0.0766811	0.157202	0.621916
a92	0.00192977	0.00254731	0.0110613	0.0233952	0.0360834	0.057887	0.167851	0.699245
a75	0.00131991	0.0018381	0.00932137	0.0203098	0.0330984	0.0555266	0.152969	0.725617
a61	0.00139858	0.00189488	0.00898521	0.0185267	0.0262729	0.043257	0.136656	0.763009
a66	0.0013563	0.00172579	0.0057629	0.0117897	0.017276	0.0293684	0.0772889	0.855432
a93	0.000287972	0.000366886	0.000880143	0.00215525	0.00521275	0.0130441	0.0973069	0.880746
a4	0.000131185	0.00017146	0.000812915	0.00247414	0.00559247	0.0128682	0.0677496	0.9102
a13	0.0004013	0.000540287	0.00160336	0.00414112	0.00720023	0.0152393	0.0800828	0.890792
a9	0.000730515	0.00104616	0.00255929	0.00676661	0.0123872	0.0322688	0.143933	0.800309
a99	0.00475944	0.00481919	0.00667039	0.0137896	0.0195581	0.0607029	0.24285	0.646851
a87	0.00559	0.00557304	0.00716946	0.0133778	0.0211069	0.058483	0.233271	0.655429
a23	0.130543	0.0866852	0.0560093	0.0607712	0.0621428	0.110847	0.198888	0.294113
a87	0.0270791	0.0150997	0.0118062	0.0212666	0.0275011	0.0658782	0.179938	0.651431
</S>	0.00341627	0.00219542	0.00231808	0.00404249	0.00705815	0.0207221	0.089904	0.870344
