 	notre	mère	a	mis	la	hotte	au	dos	</S>
a15	0.272756	0.170027	0.110378	0.0915492	0.107777	0.116196	0.0719118	0.0350244	0.0243804
a66	0.39218	0.174093	0.100781	0.0720055	0.100063	0.0715905	0.0464195	0.0267728	0.0160953
a87	0.536181	0.237109	0.0999569	0.0527455	0.0313983	0.0147184	0.00799939	0.00859548	0.0112963
a23	0.401692	0.25657	0.143863	0.0878002	0.0484412	0.0204051	0.01311	0.0137056	0.0144133
a30	0.306429	0.153303	0.112795	0.0846422	0.0877219	0.0458338	0.0412302	0.0661359	0.101909
a53	0.228756	0.18941	0.159884	0.112078	0.0993933	0.0511699	0.0429501	0.0561856	0.0601721
a15	0.241601	0.206905	0.194819	0.119507	0.105998	0.0575408	0.0281923	0.0249103	0.0205254
a0	0.114626	0.134796	0.180514	0.155325	0.163554	0.109316	0.0646753	0.045073	0.0321198
a75	0.0892805	0.116938	0.197159	0.191095	0.188879	0.0775801	0.0436463	0.047604	0.0478182
a85	0.0882042	0.100302	0.163125	0.169747	0.1805	0.132902	0.0799407	0.0454027	0.0398756
a37	0.077895	0.0859897	0.134247	0.144387	0.154889	0.1324	0.0947678	0.0787118	0.0967128
a36	0.14311	0.153659	0.194356	0.186442	0.149641	0.071724	0.0301583	0.0250514	0.0458574
a75	0.109105	0.116383	0.147528	0.181441	0.182909	0.10267	0.048395	0.0407218	0.0708476
a85	0.0462042	0.054644	0.0949474	0.152185	0.159831	0.145215	0.108319	0.0998351	0.138819
a92	0.0270658	0.0341993	0.0581731	0.098852	0.112353	0.123705	0.112977	0.146901	0.285774
a25	0.021107	0.0244429	0.0490123	0.121835	0.173689	0.191807	0.130471	0.121531	0.166105
a79	0.0107483	0.0132612	0.0258222	0.0733139	0.100318	0.140724	0.138394	0.154169	0.343249
a90	0.0065949	0.00767108	0.0139107	0.0379792	0.0723624	0.158418	0.188685	0.208954	0.305425
a76	0.00419509	0.00520784	0.0100111	0.0246609	0.051695	0.15321	0.18547	0.230201	0.335349
a69	0.0021983	0.00282692	0.00504442	0.011406	0.0205685	0.0731548	0.114875	0.237696	0.53223
a53	0.000600349	0.00067665	0.00108508	0.0027878	0.00609034	0.0309415	0.0799639	0.330556	0.547298
a69	0.000703285	0.000788974	0.00115159	0.00247257	0.0043469	0.0209671	0.0665141	0.379027	0.524029
a58	0.000575525	0.000656066	0.000933962	0.00187588	0.00351438	0.0176265	0.0570935	0.332198	0.585527
a82	0.000795138	0.000688269	0.00068732	0.000885809	0.00156092	0.010565	0.0496674	0.282796	0.652354
a87	0.0844042	0.0554369	0.0464091	0.0375792	0.0307306	0.0679257	0.0907057	0.198082	0.388726
a23	0.319563	0.174111	0.108895	0.0745116	0.0829412	0.0835702	0.053875	0.0517393	0.0507926
a87	0.105908	0.0561805	0.0344466	0.0305403	0.0363648	0.0637584	0.123313	0.282677	0.266811
</S>	0.0157798	0.00859732	0.006466	0.00628893	0.00818507	0.0268245	0.0807036	0.337643	0.509512
