 	la	femme	allaite	son	enfant	</S>
a23	0.34347	0.199836	0.193423	0.127095	0.081144	0.0550315
a79	0.336925	0.260907	0.18215	0.0860781	0.0707042	0.0632356
a53	0.27907	0.253858	0.290889	0.0901976	0.0467331	0.0392522
a35	0.390708	0.311894	0.231699	0.0371894	0.0176039	0.0109049
a26	0.312653	0.318052	0.280906	0.053191	0.0221326	0.0130664
a35	0.257114	0.285894	0.263402	0.105238	0.05336	0.0349918
a94	0.253604	0.287958	0.261926	0.122137	0.0488528	0.025523
a76	0.22961	0.258276	0.268211	0.143343	0.0646203	0.0359401
a35	0.254472	0.250549	0.244811	0.136027	0.0718895	0.0422515
a30	0.195238	0.197158	0.241693	0.173659	0.114483	0.0777696
a57	0.11623	0.143479	0.217669	0.22291	0.171654	0.128057
a38	0.0330235	0.060975	0.14959	0.264981	0.260595	0.230835
a41	0.0494466	0.0820999	0.194166	0.248655	0.228939	0.196693
a14	0.0427247	0.0613138	0.124776	0.19731	0.265248	0.308628
a35	0.0335045	0.046393	0.107923	0.226841	0.294147	0.29119
a94	0.0159691	0.0217303	0.0550377	0.148191	0.317635	0.441437
a20	0.00891332	0.0124194	0.0383126	0.118613	0.312327	0.509415
a14	0.0111765	0.0158254	0.0426189	0.130509	0.315216	0.484654
a35	0.0123371	0.0203914	0.0505318	0.132849	0.301774	0.482116
a14	0.00923753	0.0142577	0.0358463	0.0898452	0.272518	0.578295
a66	0.00742127	0.0118898	0.0318706	0.0787641	0.273094	0.59696
a38	0.0076063	0.0113369	0.0251657	0.076731	0.258576	0.620584
a41	0.0101635	0.016311	0.0354717	0.0848509	0.259594	0.593608
a94	0.00743664	0.0162388	0.0375	0.085851	0.254536	0.598437
a25	0.00736448	0.0132762	0.0324593	0.0830949	0.253081	0.610724
a87	0.0121128	0.0219203	0.0526763	0.119514	0.271491	0.522285
</S>	0.0111297	0.0170988	0.0353343	0.116947	0.269718	0.549773
