 	l'	épouse	de	mon	oncle	est	inféconde	</S>
a87	0.360952	0.208671	0.119779	0.1038	0.090449	0.0546146	0.0372321	0.0245019
a23	0.445002	0.175663	0.0916297	0.061775	0.0591855	0.0600148	0.0402526	0.0664779
a54	0.193117	0.133853	0.132544	0.149674	0.111339	0.0903325	0.0752713	0.113869
a47	0.3604	0.297617	0.190635	0.0793351	0.0254995	0.0163225	0.0165958	0.0135954
a43	0.207236	0.265926	0.258516	0.168195	0.0524768	0.0218479	0.0128281	0.0129736
a75	0.154541	0.23825	0.261572	0.210083	0.0864711	0.0253247	0.0129235	0.0108339
a85	0.194888	0.246591	0.246873	0.169372	0.0706675	0.0328114	0.0200919	0.0187055
a94	0.170997	0.197313	0.229549	0.198562	0.0956001	0.0465451	0.0316213	0.0298128
a90	0.120921	0.163264	0.21914	0.250412	0.150355	0.0471755	0.0248823	0.0238488
a25	0.103455	0.127107	0.169865	0.213433	0.167657	0.0908364	0.0650108	0.0626357
a56	0.0789679	0.0926974	0.125764	0.185605	0.182733	0.129111	0.114401	0.0907206
a75	0.0945531	0.101476	0.114057	0.16869	0.225887	0.141804	0.0891021	0.0644315
a25	0.0791021	0.0720834	0.0700742	0.0832548	0.146248	0.16276	0.214192	0.172285
a56	0.0801191	0.0718688	0.0667778	0.0786987	0.147882	0.179212	0.205612	0.16983
a98	0.0524934	0.0459559	0.0456053	0.059965	0.165897	0.24638	0.229093	0.15461
a92	0.0263601	0.0233901	0.0253656	0.0340614	0.106542	0.196511	0.312831	0.274939
a94	0.0306444	0.0260358	0.0289889	0.0363173	0.0972526	0.182091	0.305904	0.292766
a75	0.0174356	0.0151651	0.0174531	0.0267722	0.0747722	0.185562	0.349819	0.31302
a85	0.0259857	0.0202856	0.0226137	0.0299882	0.0787834	0.137578	0.283928	0.400838
a18	0.0243882	0.0190787	0.0209062	0.0255702	0.0558481	0.114546	0.289454	0.450208
a21	0.00678744	0.00572128	0.00650624	0.0108202	0.0390176	0.0811427	0.265592	0.584413
a56	0.0218928	0.0180705	0.0200994	0.0269023	0.0596218	0.114529	0.31901	0.419874
a96	0.00713749	0.00505438	0.0057839	0.0108443	0.0385431	0.10109	0.300878	0.530668
a93	0.00634455	0.00411134	0.00400727	0.00700915	0.0261973	0.0728415	0.213308	0.666181
a35	0.00575157	0.0035031	0.0033693	0.0061237	0.0213709	0.0612372	0.191445	0.707199
a13	0.00129745	0.000758326	0.000850131	0.00182294	0.00758757	0.029802	0.16388	0.794002
a20	0.00360801	0.00176638	0.00169234	0.00271991	0.00791579	0.0276281	0.149931	0.804739
a7	0.00187475	0.00109167	0.00140332	0.0027665	0.00924636	0.031572	0.191641	0.760405
a57	0.00093497	0.000558945	0.000744225	0.00141317	0.0044111	0.0195843	0.170089	0.802264
a87	0.0331144	0.0161479	0.0122672	0.0129385	0.0196052	0.0587377	0.290624	0.556565
a23	0.154127	0.0927425	0.0598309	0.0426627	0.0372824	0.0826017	0.211506	0.319247
a87	0.086274	0.0515002	0.0327358	0.0282246	0.0301598	0.0955385	0.238439	0.437129
a23	0.0219245	0.0134036	0.0108616	0.0116715	0.0198309	0.064301	0.223864	0.634143
a9	0.0269934	0.017546	0.0149112	0.0153526	0.0244421	0.0851363	0.237742	0.577876
a27	0.0187552	0.011783	0.0122186	0.0175197	0.038976	0.095092	0.24378	0.561875
</S>	0.0374432	0.0246037	0.0239585	0.0308855	0.0545252	0.11804	0.255137	0.455407
