 	ils	m'	ont	donner	tort	</S>
a66	0.438038	0.214072	0.102299	0.0803465	0.0897809	0.0754641
a87	0.423337	0.275068	0.132815	0.104065	0.0423544	0.0223616
a23	0.500746	0.255359	0.0940302	0.0650062	0.0421986	0.0426599
a40	0.284252	0.19994	0.12105	0.138154	0.125239	0.131365
a6	0.472442	0.264201	0.113308	0.0738161	0.0398411	0.0363919
a61	0.274392	0.322134	0.208037	0.108069	0.0510936	0.0362744
a66	0.28656	0.367119	0.186943	0.101405	0.0354349	0.0225378
a34	0.171659	0.283638	0.25532	0.171077	0.066441	0.0518655
a75	0.180793	0.248062	0.228663	0.1917	0.0894058	0.0613756
a12	0.117879	0.171601	0.184021	0.218687	0.175728	0.132084
a21	0.06858	0.082755	0.13935	0.21737	0.229701	0.262244
a75	0.0393475	0.0392051	0.0813297	0.149353	0.291437	0.399328
a37	0.00957054	0.01423	0.0460796	0.118388	0.327837	0.483895
a43	0.00545149	0.00477922	0.0140184	0.0415143	0.220861	0.713376
a11	0.0031044	0.00279984	0.00684555	0.0206747	0.154115	0.812461
a90	0.0163953	0.0158846	0.0270731	0.0480784	0.199777	0.692792
a58	0.00902703	0.0103575	0.0218718	0.0436352	0.209887	0.705222
a82	0.0301735	0.0286034	0.0449528	0.0678066	0.198832	0.629632
a3	0.273615	0.128684	0.0981497	0.105294	0.156433	0.237824
a87	0.325578	0.173045	0.114218	0.0931076	0.12325	0.170802
a23	0.284947	0.171392	0.12031	0.098434	0.139725	0.185192
a87	0.173148	0.102645	0.0900863	0.0985904	0.176183	0.359349
</S>	0.0569182	0.0418696	0.0505172	0.0713662	0.188377	0.590952
