 	tu	peux	aller	le	déposer	au-dehors	</S>
a23	0.368142	0.216781	0.153026	0.0869174	0.10598	0.0453491	0.0238047
a99	0.37958	0.134147	0.0966853	0.103356	0.13155	0.089414	0.065268
a54	0.224293	0.139925	0.103012	0.12208	0.164669	0.139211	0.106811
a94	0.388548	0.194557	0.155802	0.119921	0.0991781	0.028924	0.013071
a76	0.266297	0.171411	0.159138	0.202421	0.170798	0.0223297	0.00760567
a94	0.156698	0.160058	0.186317	0.235065	0.222088	0.0292818	0.0104915
a75	0.140891	0.181616	0.240373	0.237828	0.169357	0.0206751	0.00926027
a41	0.134389	0.208493	0.214093	0.211492	0.184834	0.03241	0.0142893
a94	0.116214	0.192102	0.211103	0.234428	0.193445	0.0362136	0.0164945
a76	0.0883723	0.170828	0.204545	0.24328	0.21335	0.0544213	0.0252037
a25	0.0847444	0.178307	0.203657	0.230683	0.19675	0.0639511	0.0419073
a90	0.083121	0.162636	0.195292	0.209561	0.185733	0.106428	0.0572281
a44	0.0991555	0.152404	0.185809	0.209932	0.179348	0.109147	0.0642038
a90	0.0852959	0.106513	0.119561	0.136064	0.167637	0.231969	0.152962
a25	0.0958291	0.115225	0.115841	0.127868	0.160467	0.220491	0.16428
a92	0.0623515	0.0766254	0.0826196	0.102766	0.155404	0.300143	0.22009
a24	0.0950179	0.0970905	0.103609	0.0953536	0.107324	0.220584	0.281021
a21	0.0341755	0.0426113	0.0488797	0.0643995	0.105582	0.309212	0.39514
a85	0.051054	0.0520835	0.056819	0.0679967	0.083606	0.27964	0.4088
a41	0.0747208	0.077515	0.0669164	0.0626392	0.0886723	0.23482	0.394716
a90	0.0352335	0.035686	0.03756	0.0384292	0.0625773	0.277994	0.51252
a94	0.0432478	0.0441138	0.0496086	0.0473726	0.0580698	0.248798	0.508789
a66	0.0175823	0.0170625	0.0221347	0.0302651	0.0464017	0.243112	0.623442
a24	0.0206411	0.0115531	0.0143215	0.0167691	0.02642	0.211364	0.698931
a21	0.031767	0.0156359	0.0175548	0.0195792	0.0344582	0.230938	0.650067
a47	0.0265257	0.0182167	0.0186688	0.0231366	0.0505852	0.240964	0.621903
a83	0.02097	0.0164243	0.0170389	0.0227309	0.0490233	0.229262	0.644551
a9	0.0119861	0.00780331	0.00845065	0.0124225	0.0280091	0.231634	0.699694
a87	0.0271415	0.0173543	0.0207016	0.030109	0.0697166	0.228341	0.606636
</S>	0.0727944	0.0343368	0.0281456	0.0316452	0.0492468	0.219553	0.564278
