 	cet	enfant	atteint	la	cible	avec	sa	lance	</S>
a66	0.50083	0.270783	0.0692624	0.0519365	0.0392573	0.0205683	0.0159371	0.0154493	0.0159768
a87	0.715524	0.149781	0.0265722	0.0217197	0.0168647	0.0110452	0.0128828	0.0197396	0.0258715
a23	0.473494	0.146877	0.0669514	0.0609415	0.0568198	0.046527	0.0419761	0.0512582	0.0551545
a54	0.253672	0.0824198	0.0574724	0.0717099	0.0830413	0.0848038	0.0893205	0.117081	0.160479
a6	0.362388	0.198231	0.107756	0.0954246	0.0843077	0.0521398	0.0346947	0.0331335	0.0319251
a92	0.224342	0.21565	0.160596	0.11383	0.0793479	0.059812	0.0463743	0.0503841	0.0496639
a79	0.187607	0.226867	0.203942	0.130357	0.0774981	0.0477684	0.038989	0.041153	0.0458182
a98	0.134275	0.226105	0.247477	0.141047	0.0676634	0.0469201	0.0408907	0.0424353	0.053187
a47	0.121871	0.20811	0.261825	0.144622	0.0744052	0.0507787	0.0437862	0.0423082	0.0522942
a37	0.123119	0.206695	0.252935	0.147833	0.0778665	0.0501968	0.0424782	0.0432107	0.0556654
a47	0.161997	0.193597	0.227482	0.148175	0.0741015	0.0462859	0.041734	0.0450768	0.0615502
a98	0.0614231	0.111371	0.190704	0.175562	0.118701	0.0837024	0.0739139	0.0757317	0.10889
a79	0.0310605	0.0746485	0.158994	0.157049	0.128046	0.116733	0.106727	0.101419	0.125324
a37	0.0302304	0.0691648	0.178642	0.184499	0.155344	0.111559	0.0879428	0.080745	0.101873
a93	0.0246475	0.0353797	0.0814513	0.102544	0.115549	0.146588	0.14395	0.14949	0.2004
a70	0.0130601	0.0150079	0.0391552	0.0758572	0.130875	0.185011	0.173658	0.160705	0.206671
a93	0.00870938	0.0100448	0.0206824	0.0447967	0.101201	0.193309	0.204862	0.188859	0.227536
a34	0.00458542	0.00542298	0.0117716	0.0272686	0.0716609	0.171456	0.221264	0.226535	0.260035
a93	0.00451147	0.00501383	0.00971074	0.0194746	0.0470077	0.139815	0.223611	0.258545	0.292311
a70	0.00152187	0.00187015	0.00359809	0.00725065	0.0223267	0.0887332	0.192186	0.290989	0.391524
a96	0.000956302	0.00133227	0.00302211	0.0058096	0.0139572	0.0424474	0.129382	0.27549	0.527603
a62	0.000692512	0.00110485	0.00308684	0.00635684	0.0160569	0.0452941	0.136331	0.276479	0.514598
a88	0.00127583	0.00205957	0.00437472	0.00749824	0.0175357	0.0441809	0.136308	0.279659	0.507108
a71	0.000609386	0.00114239	0.00355673	0.00727011	0.0183636	0.0434448	0.122535	0.263549	0.539529
a9	0.00286943	0.00447569	0.00962504	0.01634	0.0401909	0.0902349	0.186406	0.264117	0.385741
a53	0.0194129	0.0263276	0.0351267	0.0426701	0.0766257	0.136887	0.193558	0.213309	0.256083
a94	0.000872869	0.00167391	0.00427197	0.00744009	0.0210568	0.0615638	0.144096	0.282569	0.476455
a4	0.00176856	0.00337064	0.0106773	0.0199566	0.0476548	0.10343	0.179947	0.25842	0.374776
a57	0.00123313	0.00256007	0.00914604	0.0180072	0.0454722	0.0978616	0.174086	0.260216	0.391417
a3	0.00589736	0.00658908	0.0120443	0.019764	0.0387031	0.0906999	0.1541	0.242495	0.429707
a87	0.132796	0.0603263	0.0454713	0.0494472	0.0661091	0.105708	0.140597	0.180245	0.2193
a23	0.300212	0.15148	0.0637098	0.0526678	0.0584804	0.0702991	0.0906434	0.106297	0.106211
a87	0.103088	0.04094	0.0312512	0.0289196	0.0392561	0.0805508	0.139975	0.229849	0.306171
</S>	0.0124701	0.00785127	0.0131709	0.0170048	0.0290711	0.0857716	0.170636	0.281373	0.38265
