 	cet	enfant	est	en	train	de	serrer	la	corde	qui	attache	son	pantalon	à	la	taille	</S>
a66	0.188455	0.175315	0.142365	0.114016	0.086456	0.0734466	0.0367339	0.0199749	0.0208815	0.0236214	0.0275851	0.0220704	0.0176506	0.0153442	0.012938	0.0119254	0.0112211
a87	0.377755	0.184277	0.0919229	0.0639436	0.0437203	0.0364565	0.0151626	0.0113427	0.00937377	0.0114884	0.0120898	0.0122051	0.0114817	0.0178243	0.023607	0.0376603	0.0396889
a10	0.301548	0.179699	0.115477	0.0913969	0.0621573	0.0455746	0.0143588	0.0113784	0.0145499	0.0211663	0.0211308	0.0202793	0.0164255	0.0166548	0.0181192	0.0240134	0.0260704
a87	0.340065	0.183527	0.111128	0.0800567	0.0415395	0.025688	0.00746786	0.00582067	0.00816353	0.014216	0.0172016	0.0237565	0.0209933	0.0271685	0.0270115	0.0327584	0.0334383
a23	0.300739	0.174875	0.114693	0.087112	0.0496599	0.0348919	0.0112639	0.00757769	0.00967589	0.0165743	0.0211798	0.0278349	0.0227343	0.0291061	0.0283466	0.032353	0.0313829
a40	0.226069	0.0705551	0.0383814	0.0263953	0.0190485	0.0136211	0.00674262	0.0134777	0.0207903	0.0318544	0.0404479	0.0509575	0.0521534	0.0774455	0.0866254	0.108929	0.116506
a37	0.313088	0.141313	0.103865	0.0701108	0.0537209	0.0458628	0.0232347	0.0186079	0.0155321	0.0143603	0.0178419	0.0236751	0.0246967	0.0298841	0.0337163	0.0360138	0.0344769
a79	0.173335	0.118753	0.0991866	0.0978692	0.112864	0.128935	0.0782127	0.0324902	0.0240073	0.0129665	0.0120545	0.010808	0.0107623	0.0130447	0.019433	0.0264174	0.0288613
a69	0.0944151	0.0968229	0.0897309	0.10131	0.142337	0.176021	0.137814	0.0528626	0.0370726	0.0160416	0.0107828	0.00748835	0.00644297	0.00585691	0.00758896	0.00833536	0.00907723
a90	0.0350609	0.0449787	0.0550608	0.0759087	0.123994	0.15928	0.170824	0.105036	0.0834548	0.0396705	0.0262704	0.0139661	0.0122973	0.00976712	0.0120101	0.0143765	0.0180442
a92	0.0269191	0.034285	0.0444425	0.0719407	0.121783	0.147386	0.1658	0.113478	0.100562	0.0510322	0.032588	0.0169124	0.0156682	0.01191	0.012995	0.0144296	0.0178688
