 	les	policiers	sont	à	la	recherche	du	voleur	</S>
a15	0.266844	0.229257	0.184138	0.118217	0.0784952	0.0538711	0.032931	0.020791	0.0154566
a66	0.196011	0.190676	0.237361	0.178855	0.102116	0.0483957	0.020131	0.0139389	0.0125158
a87	0.381546	0.2537	0.14208	0.0760164	0.0465478	0.0377106	0.0241048	0.0189105	0.0193837
a23	0.303368	0.243214	0.173913	0.115707	0.0599876	0.0362879	0.025991	0.0207954	0.0207365
a40	0.241941	0.250467	0.190199	0.105007	0.0562821	0.0361974	0.0375414	0.0376254	0.0447392
a7	0.227561	0.280447	0.216418	0.104596	0.0532034	0.0388003	0.0275019	0.0263221	0.0251518
a44	0.18261	0.281126	0.281055	0.128392	0.0574207	0.033268	0.0171867	0.0112873	0.00765409
a93	0.120027	0.207247	0.262768	0.173158	0.109143	0.0585208	0.0306986	0.0212363	0.0172017
a94	0.123315	0.180734	0.245772	0.19375	0.122369	0.0637794	0.0310071	0.0211239	0.0181495
a76	0.104932	0.12837	0.190657	0.165	0.150638	0.112501	0.0616613	0.0454915	0.0407502
a25	0.0640888	0.08329	0.152151	0.160529	0.14755	0.138731	0.0971323	0.0785005	0.0780264
a94	0.0548027	0.0774533	0.129833	0.13768	0.131201	0.145315	0.113862	0.10106	0.108793
a98	0.0500209	0.0593172	0.0674452	0.0585	0.0587015	0.0876352	0.130928	0.193382	0.29407
a85	0.0616213	0.0743191	0.095627	0.107662	0.113604	0.152152	0.131334	0.129306	0.134376
a5	0.0291964	0.0313113	0.0407045	0.0622363	0.0972994	0.200229	0.202912	0.173356	0.162755
a21	0.0368692	0.030712	0.0307136	0.04298	0.0692315	0.151272	0.214576	0.211222	0.212423
a12	0.0100303	0.00712723	0.00762837	0.0134221	0.0306828	0.0998695	0.233811	0.283691	0.313737
a75	0.00669028	0.00462951	0.00379545	0.00593255	0.0123321	0.0405079	0.123374	0.287152	0.515586
a92	0.00353411	0.0029791	0.00253451	0.005191	0.0119069	0.0402568	0.128066	0.293357	0.512175
a56	0.00140585	0.00112337	0.000975089	0.00235133	0.00665182	0.0276548	0.106603	0.285259	0.567976
a93	0.00292907	0.00233246	0.00160106	0.0032697	0.00721005	0.0261006	0.0843579	0.263183	0.609017
a94	0.00235523	0.00205011	0.00133236	0.00255456	0.00628065	0.0277465	0.0979208	0.28848	0.571279
a66	0.00348549	0.00309277	0.00281144	0.00714851	0.0181854	0.0570748	0.124427	0.252041	0.531734
a9	0.0124474	0.00866467	0.0108955	0.0288342	0.0467729	0.0859554	0.120119	0.197187	0.489125
a10	0.266464	0.143794	0.108421	0.102828	0.0763	0.0675335	0.0560781	0.0695424	0.109039
a87	0.221613	0.157332	0.130815	0.128703	0.112546	0.0927809	0.055733	0.0472602	0.0532183
a23	0.188859	0.149752	0.129512	0.126981	0.117486	0.105277	0.0625204	0.0566378	0.0629739
a87	0.0659489	0.0354068	0.0245714	0.0297398	0.0449354	0.0778117	0.113144	0.224366	0.384076
</S>	0.0104491	0.00508609	0.00383236	0.00655794	0.0166261	0.0539478	0.136657	0.284512	0.482332
