 	il	a	arrêté	le	voleur	</S>
a23	0.397214	0.227447	0.150105	0.107312	0.0663637	0.0515585
a87	0.430961	0.212306	0.134392	0.0979914	0.0722758	0.0520729
a23	0.268733	0.221804	0.204768	0.136916	0.0893417	0.0784384
a79	0.29948	0.21409	0.185729	0.13399	0.0988779	0.0678333
a20	0.390072	0.24812	0.173332	0.0855444	0.0610948	0.0418371
a73	0.377825	0.343591	0.198126	0.0505533	0.0209829	0.00892184
a35	0.326806	0.335316	0.224005	0.0704264	0.0295727	0.0138741
a24	0.364267	0.312276	0.194429	0.0719004	0.0365354	0.0205927
a32	0.279886	0.236819	0.180556	0.126847	0.0998771	0.0760145
a25	0.156244	0.172283	0.184633	0.173896	0.165054	0.147889
a38	0.0897529	0.10331	0.13894	0.178594	0.250386	0.239017
a32	0.0732974	0.0822285	0.115141	0.17248	0.272486	0.284367
a41	0.054608	0.0579073	0.0903743	0.169264	0.281708	0.346138
a73	0.020006	0.0190884	0.0360015	0.130654	0.314193	0.480057
a35	0.0135548	0.01404	0.026082	0.0869082	0.301777	0.557638
a76	0.0199395	0.0155877	0.0277333	0.0859692	0.25224	0.598531
a90	0.0179977	0.0164682	0.0335281	0.11022	0.267595	0.554191
a4	0.00666473	0.00895775	0.024905	0.0877064	0.260505	0.611261
a13	0.00598113	0.00602029	0.0145684	0.0532923	0.255598	0.66454
a3	0.0107649	0.0168613	0.0470392	0.115427	0.254516	0.555391
a87	0.0149785	0.020854	0.0461411	0.121536	0.248945	0.547546
</S>	0.0355342	0.0384978	0.0697984	0.151356	0.261437	0.443377
