 	le	blaireau	a	creusé	un	terrier	près	d'	une	tombe	</S>
a15	0.21529	0.227132	0.204811	0.213902	0.0582791	0.0355273	0.0201564	0.00763419	0.00425167	0.00525589	0.00776142
a66	0.343591	0.232068	0.117555	0.121124	0.0784507	0.0217784	0.0247744	0.0173222	0.0147409	0.0140315	0.0145625
a87	0.443896	0.267478	0.138872	0.086367	0.0207611	0.00492008	0.00308165	0.00234919	0.00401021	0.0112787	0.0169862
a23	0.410488	0.300937	0.157621	0.0898406	0.0136329	0.00535713	0.00506985	0.00333284	0.00311616	0.00483313	0.00577179
a79	0.382871	0.3059	0.156171	0.0763035	0.0151642	0.00507511	0.00415444	0.00460151	0.0080016	0.0178796	0.0238786
a53	0.266456	0.195808	0.12287	0.0818212	0.0403895	0.0262416	0.032632	0.0329273	0.0382423	0.0676538	0.094958
a44	0.099972	0.0605555	0.0744354	0.253507	0.215285	0.0866673	0.0518005	0.0369742	0.0310877	0.0455488	0.0441669
a75	0.0646038	0.0472055	0.0587371	0.262907	0.348945	0.0941149	0.0518624	0.0261323	0.0174794	0.0133263	0.0146866
a5	0.0315328	0.0310606	0.0436293	0.259585	0.391595	0.0972316	0.0798564	0.0314276	0.0137994	0.00881863	0.011464
a43	0.054685	0.0480662	0.0574108	0.179489	0.326869	0.128451	0.0925225	0.0412109	0.0225573	0.0196567	0.0290813
a12	0.0557084	0.0463804	0.0613029	0.14376	0.348266	0.153767	0.0868723	0.0326337	0.0187828	0.0200987	0.032428
a96	0.0330694	0.0308784	0.0412455	0.106455	0.247926	0.208435	0.150419	0.0464423	0.0291356	0.0409283	0.065066
a62	0.0221831	0.0229867	0.0290772	0.0702527	0.196088	0.218205	0.174238	0.0551095	0.0389263	0.0651568	0.107777
a88	0.0211664	0.0208437	0.0267312	0.0624677	0.157209	0.268671	0.226967	0.0640895	0.0355214	0.0474279	0.068905
a4	0.022225	0.0258539	0.0261122	0.0340587	0.0690572	0.192063	0.21507	0.112602	0.072621	0.100039	0.130297
a93	0.0202906	0.0205915	0.0216402	0.0340352	0.0641007	0.18377	0.187794	0.104189	0.0716934	0.125446	0.16645
a44	0.0160578	0.0136811	0.0147628	0.0274836	0.0492841	0.133053	0.160003	0.0978716	0.079369	0.169661	0.238774
a37	0.0152978	0.0155299	0.0147565	0.0213084	0.0344391	0.0684872	0.0894962	0.122238	0.116807	0.20247	0.29917
a90	0.0118624	0.0121697	0.0101533	0.0123567	0.0172895	0.0276711	0.0310524	0.0690262	0.108581	0.274143	0.425695
a15	0.00251392	0.00214361	0.00201494	0.00335801	0.00421539	0.01129	0.0232648	0.0490473	0.104888	0.351651	0.445614
a25	0.000314461	0.000358913	0.000323671	0.000647268	0.00128762	0.0029277	0.00660236	0.0206397	0.078697	0.37743	0.510771
a69	0.000322946	0.000328172	0.000298272	0.000443986	0.000844234	0.00184791	0.00367649	0.0152985	0.0838373	0.383156	0.509946
a75	0.000405673	0.000324458	0.00033808	0.00073085	0.00127386	0.00262699	0.00365364	0.0118135	0.0776052	0.385323	0.515905
a21	0.000332995	0.000300376	0.000328389	0.000787823	0.00154206	0.00348435	0.00656955	0.0180812	0.0934894	0.312977	0.562107
a75	0.000547316	0.000344379	0.000409122	0.000890289	0.00219851	0.00300581	0.00677787	0.0225241	0.103276	0.340235	0.519792
a85	0.000549484	0.000446395	0.000477028	0.00107312	0.00325897	0.00480947	0.0095169	0.025042	0.102543	0.301713	0.55057
a47	0.00025135	0.000160796	0.000196898	0.000522726	0.00316561	0.00497123	0.0108487	0.0271475	0.0973611	0.300964	0.55441
a37	0.000484811	0.000346996	0.000373715	0.000845435	0.00353836	0.00478773	0.0139401	0.0366653	0.118929	0.330078	0.49001
a44	0.00301534	0.00214667	0.00221212	0.00380783	0.00906238	0.00709151	0.0135158	0.0290227	0.0935283	0.312213	0.524384
a54	0.00311489	0.00229446	0.00254094	0.00486273	0.0153662	0.0122169	0.0194736	0.0366802	0.0991122	0.30437	0.499968
a7	0.000692674	0.00058092	0.000732298	0.00172924	0.00643426	0.00587815	0.0128228	0.027283	0.0971316	0.288101	0.558614
a84	0.00445506	0.00311914	0.00316074	0.00478684	0.00984107	0.0056925	0.0120522	0.0327929	0.114106	0.352137	0.457856
a57	0.1734	0.0754897	0.0694191	0.118327	0.137773	0.0932768	0.0473682	0.0426009	0.0497492	0.0812658	0.111331
a87	0.410108	0.179927	0.0994546	0.0726174	0.061457	0.0452393	0.0203217	0.0157076	0.0180832	0.0356408	0.0414442
a23	0.380039	0.204963	0.137374	0.0836001	0.051802	0.0259882	0.0153474	0.0124749	0.0170938	0.03162	0.0396985
a87	0.163768	0.0787726	0.0508914	0.0375054	0.036745	0.0263533	0.0265674	0.0321861	0.0874334	0.20181	0.257968
</S>	0.0298665	0.015073	0.00957859	0.00720314	0.0149323	0.00873421	0.0107468	0.0145498	0.0604287	0.286959	0.541928
