 	regarde	ce	chien	qui	croque	l'	os	</S>
a66	0.32321	0.285121	0.215126	0.110005	0.0345346	0.0144305	0.00964017	0.00793256
a87	0.588292	0.187945	0.08194	0.0412059	0.0312035	0.0176773	0.0229426	0.0287933
a97	0.324545	0.204712	0.140472	0.134383	0.0767183	0.0310337	0.0356489	0.0524865
a87	0.302926	0.263253	0.191059	0.148764	0.0365494	0.0150611	0.0181803	0.0242076
a10	0.291735	0.211696	0.176824	0.1584	0.0560759	0.0265507	0.0339526	0.0447661
a87	0.316945	0.245443	0.176774	0.133364	0.0509839	0.0180006	0.0243878	0.0341012
a97	0.315136	0.204273	0.161358	0.134596	0.0769912	0.0222887	0.0342562	0.0511009
a23	0.259142	0.204296	0.16647	0.134975	0.0860014	0.0303082	0.0478665	0.0709415
a54	0.232433	0.15016	0.129611	0.177067	0.175793	0.0367849	0.0370749	0.0610754
a47	0.386922	0.191371	0.0989236	0.0774382	0.0786929	0.0429496	0.0505044	0.0731986
a37	0.32752	0.257641	0.168017	0.113334	0.0511108	0.0202343	0.0248616	0.037281
a98	0.271176	0.262197	0.189741	0.140219	0.0728566	0.023448	0.0187122	0.0216502
a85	0.298772	0.283683	0.193966	0.102067	0.03941	0.0256843	0.0275921	0.0288259
a37	0.317919	0.275042	0.198802	0.0830903	0.0287837	0.0291415	0.0348855	0.0323358
a21	0.144608	0.199447	0.26225	0.203507	0.0897263	0.0464839	0.0296134	0.0243645
a92	0.15466	0.190102	0.246177	0.16564	0.0961451	0.0665725	0.0472143	0.0334902
a56	0.0634132	0.145585	0.232557	0.166421	0.0890688	0.0952299	0.111906	0.0958191
a90	0.0562854	0.0977831	0.18237	0.157845	0.139045	0.134786	0.130418	0.101469
a92	0.0313259	0.0575255	0.126907	0.134052	0.157793	0.182308	0.175035	0.135053
a75	0.0169049	0.0307133	0.0820544	0.0931814	0.135087	0.195817	0.236832	0.20941
a85	0.0073493	0.0153886	0.063417	0.0850219	0.129554	0.188277	0.256752	0.254241
a15	0.00501703	0.0113061	0.0444234	0.0456318	0.0848004	0.173815	0.304843	0.330164
a7	0.00106222	0.00246102	0.0132538	0.0278201	0.0901277	0.204519	0.324402	0.336354
a44	0.00041009	0.000696803	0.00303886	0.00909973	0.0567729	0.20508	0.320972	0.40393
a93	0.000380848	0.000431615	0.00130375	0.00426942	0.0394083	0.191126	0.334496	0.428584
a56	0.000449604	0.000572375	0.0015839	0.00387395	0.0297585	0.146688	0.333429	0.483645
a47	0.000309506	0.000399441	0.00102012	0.0022596	0.0184738	0.123	0.322548	0.53199
a88	0.000514596	0.000772616	0.00224901	0.00550817	0.0382549	0.175863	0.308508	0.468329
a24	9.19071e-05	0.000162324	0.000616873	0.00183581	0.0167934	0.138935	0.286031	0.555533
a9	0.000132417	0.000149381	0.000531805	0.0021256	0.0207353	0.145015	0.265151	0.566159
a3	0.00329762	0.00248289	0.00431396	0.0112913	0.0666824	0.222725	0.251237	0.43797
a97	0.0245772	0.0155369	0.016169	0.024446	0.0799437	0.228414	0.233047	0.377866
a99	0.0205634	0.0161873	0.0207447	0.0323817	0.0958967	0.250132	0.235752	0.328342
a97	0.0112064	0.00856208	0.012138	0.01816	0.0512893	0.171006	0.263164	0.464474
a87	0.0198796	0.0319351	0.0590003	0.0684132	0.069951	0.129277	0.207232	0.414312
a97	0.0269573	0.0413874	0.0643394	0.0661165	0.0688235	0.124193	0.206475	0.401708
a87	0.0593545	0.0738459	0.0811445	0.0764575	0.0732509	0.110666	0.180203	0.345078
a97	0.105092	0.105251	0.0991632	0.0841933	0.068566	0.0917611	0.160173	0.2858
a87	0.0827465	0.0992451	0.102235	0.0881998	0.066893	0.0957394	0.169785	0.295156
</S>	0.0670325	0.0798139	0.0881527	0.0800272	0.073125	0.109626	0.188126	0.314096
