 	ce	jeune	garçon	est	respectueux	</S>
a66	0.424958	0.316508	0.147177	0.0559605	0.0351712	0.0202256
a87	0.623038	0.27619	0.0663229	0.0187659	0.00924666	0.00643656
a23	0.686924	0.243589	0.0427747	0.014104	0.00537958	0.00722892
a30	0.602691	0.163811	0.0563037	0.0462636	0.0397849	0.0911462
a53	0.485028	0.170154	0.0999436	0.0831086	0.0631108	0.098655
a20	0.339752	0.269642	0.205993	0.100135	0.048904	0.0355742
a47	0.279585	0.267969	0.245066	0.13733	0.0464833	0.0235661
a6	0.107884	0.162024	0.364271	0.255441	0.069615	0.0407654
a5	0.134329	0.166789	0.331067	0.24791	0.0767686	0.0431362
a12	0.170713	0.181075	0.26994	0.24402	0.0877381	0.0465144
a96	0.118893	0.152766	0.273614	0.273722	0.118536	0.0624699
a37	0.106069	0.132918	0.255858	0.246241	0.161136	0.0977783
a98	0.0660329	0.0745204	0.162873	0.258117	0.260813	0.177644
a15	0.039108	0.0498605	0.155115	0.218721	0.260942	0.276253
a98	0.0378477	0.0379113	0.104328	0.203824	0.311337	0.304752
a15	0.0512021	0.0506336	0.128173	0.203579	0.273937	0.292476
a92	0.030236	0.0291411	0.0758582	0.163395	0.310097	0.391273
a85	0.0158511	0.013516	0.0337604	0.11901	0.337182	0.48068
a6	0.0156521	0.0122182	0.0284129	0.0770171	0.251194	0.615506
a36	0.00875009	0.00703427	0.0186585	0.0727584	0.299596	0.593203
a6	0.00550668	0.00407433	0.00588814	0.0176692	0.217878	0.748984
a37	0.0040073	0.00337591	0.00711	0.0219502	0.209042	0.754514
a98	0.00334062	0.00310916	0.0079746	0.0269908	0.185025	0.77356
a79	0.000913393	0.000869423	0.00262041	0.0122209	0.151034	0.832342
a98	0.000794488	0.000854657	0.00292069	0.0142667	0.164094	0.817069
a85	0.000257636	0.000272438	0.00107731	0.00714663	0.137436	0.85381
a6	0.00028004	0.000338404	0.00148351	0.00938497	0.145982	0.842531
a37	0.00129413	0.00162886	0.00504764	0.0208691	0.171001	0.80016
a26	0.00299046	0.00434916	0.0116397	0.0353649	0.207577	0.738079
a82	0.0344062	0.0401421	0.0530566	0.0855348	0.235249	0.551611
a87	0.209827	0.111179	0.0810381	0.104653	0.187331	0.305971
a23	0.515906	0.203953	0.0782094	0.0476364	0.0597961	0.0944992
a87	0.288018	0.14267	0.0560675	0.0682098	0.137262	0.307773
a97	0.0337472	0.0187723	0.0141881	0.0426632	0.218723	0.671906
</S>	0.0622912	0.0501173	0.0354852	0.0670498	0.203278	0.581779
