 	ses	cheveux	sont	brillants	</S>
a23	0.395012	0.24476	0.140576	0.101082	0.118571
a20	0.441501	0.222854	0.123687	0.116015	0.095943
a30	0.236584	0.157996	0.151675	0.199225	0.25452
a0	0.429288	0.316169	0.126038	0.0789279	0.0495765
a11	0.324528	0.318793	0.152486	0.11766	0.0865333
a94	0.301578	0.284648	0.174892	0.13206	0.106821
a35	0.362983	0.270731	0.179124	0.103391	0.083772
a41	0.333598	0.241577	0.196407	0.125376	0.103042
a32	0.195319	0.160689	0.201234	0.213084	0.229674
a24	0.0406326	0.0507203	0.136976	0.311616	0.460055
a25	0.0423147	0.0502692	0.112642	0.308556	0.486218
a10	0.0254443	0.0333449	0.0966695	0.328337	0.516204
a26	0.0168346	0.0234146	0.0810301	0.314258	0.564463
a41	0.0156797	0.0170109	0.0564293	0.311925	0.598955
a35	0.00569798	0.0100782	0.0451695	0.309884	0.62917
a41	0.00714465	0.0130758	0.0484705	0.287289	0.64402
a35	0.00918858	0.0154547	0.0562594	0.282702	0.636396
a41	0.0118781	0.0184229	0.0622015	0.280366	0.627131
a27	0.0108668	0.0182935	0.0691197	0.286264	0.615456
a25	0.0454324	0.0476486	0.0901816	0.258264	0.558474
a87	0.0659064	0.0718385	0.108579	0.259446	0.49423
</S>	0.0422266	0.0577963	0.109335	0.281934	0.508708
