 	aujourd'	hui	le	ciel	est	plein	de	nuages	</S>
a66	0.280736	0.171291	0.127389	0.0986121	0.11419	0.0993147	0.0554903	0.0330456	0.0199312
a97	0.198793	0.142761	0.0991221	0.129657	0.137825	0.143031	0.071204	0.0496423	0.0279648
a82	0.313987	0.252213	0.142016	0.113987	0.0665071	0.0484746	0.0229077	0.0219768	0.0179313
a38	0.273385	0.230888	0.161147	0.139417	0.0652477	0.0497845	0.0292562	0.0283373	0.0225372
a98	0.310118	0.207744	0.159569	0.133278	0.0591457	0.047289	0.0309295	0.027822	0.0241046
a92	0.292241	0.24227	0.202359	0.119523	0.0526596	0.035094	0.0233284	0.0171117	0.0154129
a12	0.185745	0.207529	0.220687	0.166886	0.0871685	0.056091	0.0347585	0.0228033	0.0183321
a35	0.113259	0.149622	0.206773	0.255113	0.118866	0.0689505	0.0371801	0.0273478	0.0228888
a26	0.0980358	0.154365	0.213381	0.237459	0.125841	0.0694228	0.039196	0.0290959	0.0332026
a93	0.0687947	0.0913784	0.11915	0.134517	0.124046	0.122545	0.0906613	0.102891	0.146016
a21	0.0921091	0.131225	0.183337	0.197808	0.151218	0.0914143	0.0512846	0.0456342	0.05597
a24	0.0893396	0.10744	0.130847	0.17152	0.168379	0.133169	0.0759458	0.05807	0.0652898
a12	0.0358628	0.0377367	0.0558736	0.113475	0.172527	0.190268	0.1294	0.111456	0.153402
a98	0.0317951	0.0291503	0.0398736	0.078807	0.136276	0.206137	0.174139	0.139789	0.164033
a92	0.0289929	0.0246926	0.0312659	0.044624	0.093302	0.174873	0.190892	0.186195	0.225163
a21	0.0208166	0.0162029	0.0197872	0.0270809	0.0668143	0.155133	0.21551	0.221152	0.257503
a47	0.0190361	0.0153677	0.0180674	0.0262615	0.0517065	0.125749	0.209228	0.244015	0.29057
a31	0.0176617	0.0145172	0.0188242	0.0311381	0.0565031	0.127059	0.201151	0.24255	0.290595
a62	0.00437149	0.00391424	0.00508212	0.00984823	0.0233131	0.0702069	0.157548	0.28427	0.441446
a47	0.00289823	0.00270658	0.00343979	0.00706607	0.0171763	0.059841	0.134232	0.292636	0.480005
a21	0.00413104	0.00389112	0.00426461	0.00677824	0.0156778	0.0500475	0.10153	0.278142	0.535538
a5	0.00200842	0.00175478	0.00199101	0.00348378	0.00904064	0.0334009	0.0905149	0.26632	0.591486
a36	0.00161562	0.00136985	0.00146918	0.00228084	0.00806218	0.0315431	0.0763149	0.228158	0.649186
a27	0.00369444	0.00295323	0.00273732	0.00384096	0.014137	0.0464868	0.0948342	0.230656	0.60066
a82	0.0597438	0.0492142	0.041467	0.0438261	0.0710427	0.109371	0.12799	0.173828	0.323517
a87	0.174938	0.112836	0.0734834	0.0677477	0.0721677	0.087588	0.0986844	0.130983	0.181571
a23	0.183398	0.128512	0.0854499	0.0833169	0.0735153	0.0751054	0.0831901	0.124674	0.162838
a82	0.0455229	0.0334263	0.0207807	0.0183126	0.0320215	0.0550889	0.105335	0.220074	0.469439
a57	0.0312715	0.0217958	0.0140793	0.013955	0.0304099	0.0592708	0.108517	0.203045	0.517656
a38	0.0438497	0.0307761	0.0195027	0.0195354	0.0391641	0.0682364	0.111286	0.201032	0.466617
a99	0.0426222	0.0364796	0.0269667	0.0274785	0.0518438	0.0867768	0.133135	0.203576	0.391121
a87	0.0376798	0.0329749	0.023737	0.0240636	0.0487416	0.0861225	0.136151	0.208584	0.401946
</S>	0.0430825	0.0323808	0.0192566	0.0191575	0.0410804	0.0737281	0.12309	0.205794	0.442431
