 	je	suis	plus	fort	que	toi	</S>
a66	0.395378	0.176067	0.150099	0.131667	0.0768334	0.0423813	0.0275749
a87	0.343394	0.231838	0.192174	0.123934	0.0509397	0.032015	0.0257049
a23	0.523118	0.294552	0.101596	0.0342356	0.0164811	0.0148405	0.0151771
a87	0.496801	0.270345	0.0917587	0.0416656	0.0317332	0.0333466	0.0343498
a23	0.558922	0.283029	0.0802312	0.0276189	0.0171677	0.0161559	0.0168752
a13	0.517519	0.21254	0.0709114	0.0460707	0.0459773	0.0499188	0.0570635
a75	0.354436	0.196049	0.103806	0.100594	0.0963949	0.0776359	0.071083
a5	0.228949	0.235542	0.167172	0.140894	0.0995952	0.0713438	0.0565042
a12	0.148939	0.223845	0.201606	0.163843	0.109426	0.0863722	0.0659694
a18	0.139436	0.194658	0.199023	0.16259	0.116152	0.103111	0.0850295
a38	0.0727074	0.11432	0.175465	0.178265	0.137845	0.15087	0.170528
a75	0.0581731	0.0811015	0.143423	0.152321	0.153041	0.191179	0.220761
a56	0.0342476	0.0490095	0.118158	0.167906	0.182601	0.221275	0.226803
a96	0.0389799	0.0478801	0.119722	0.163931	0.163438	0.211894	0.254155
a75	0.019866	0.020121	0.0578982	0.11389	0.180102	0.264093	0.34403
a5	0.00717145	0.00861945	0.0293749	0.0782162	0.19325	0.310484	0.372884
a37	0.00664784	0.00543146	0.0143684	0.0384092	0.141295	0.318351	0.475496
a79	0.0028545	0.00202517	0.00552368	0.016167	0.0828596	0.282859	0.607711
a69	0.000731233	0.000480396	0.00162103	0.00692459	0.0555942	0.25949	0.675158
a53	0.000604618	0.000428509	0.00135809	0.0054477	0.0442285	0.227697	0.720236
a15	0.00101696	0.000751579	0.00203214	0.00654726	0.0432845	0.204246	0.742122
a7	0.00084009	0.000691434	0.00172246	0.00646895	0.0429396	0.197612	0.749725
a26	0.0032614	0.00270284	0.00531742	0.0129563	0.0507075	0.195125	0.72993
a82	0.200068	0.0739221	0.06432	0.0597948	0.087618	0.174544	0.339733
a87	0.349159	0.163629	0.0853979	0.0525045	0.0696735	0.103467	0.176169
a23	0.362659	0.202781	0.118366	0.0561762	0.0594254	0.0822856	0.118307
a87	0.264908	0.124171	0.0808531	0.0633218	0.0932296	0.152107	0.221409
a23	0.0493886	0.0364293	0.035664	0.0479323	0.120095	0.267749	0.442742
a87	0.0953716	0.0616219	0.0561482	0.0625878	0.122734	0.238369	0.363168
</S>	0.0567273	0.0487621	0.0521104	0.0623942	0.142592	0.26924	0.368174
