 	konga	m'	a	donné	dix	francs	</S>
a66	0.377949	0.192484	0.126734	0.127999	0.10341	0.0422129	0.0292121
a87	0.615363	0.227985	0.0723622	0.0461732	0.0204201	0.00826616	0.00943029
a23	0.428795	0.272482	0.112223	0.0680993	0.0485231	0.0303817	0.0394951
a30	0.320321	0.282873	0.147647	0.0872685	0.0437696	0.0389923	0.0791286
a93	0.33916	0.295514	0.150383	0.082653	0.042897	0.0322191	0.0571742
a98	0.343129	0.350855	0.162443	0.0851498	0.0258642	0.0159174	0.0166418
a47	0.276286	0.256425	0.182305	0.142158	0.0720742	0.0393208	0.0314317
a36	0.221438	0.265096	0.20911	0.170523	0.0630709	0.0372204	0.0335411
a85	0.145216	0.20333	0.211332	0.191048	0.103506	0.0679094	0.0776592
a6	0.103838	0.151712	0.184061	0.231449	0.165358	0.0919848	0.0715975
a92	0.122838	0.169714	0.215909	0.225522	0.123225	0.0755854	0.0672058
a34	0.0927591	0.160001	0.230988	0.231444	0.135863	0.0792332	0.0697121
a98	0.122771	0.140532	0.208978	0.218781	0.138822	0.0817875	0.0883282
a15	0.0448062	0.0739733	0.160946	0.209619	0.225873	0.149524	0.135259
a98	0.0319688	0.0369689	0.0866029	0.156093	0.238771	0.206152	0.243444
a85	0.020211	0.0250799	0.0652955	0.123853	0.246238	0.262567	0.256755
a6	0.0169411	0.0175583	0.0407189	0.0822791	0.204643	0.324689	0.313171
a36	0.0101488	0.0094193	0.0208012	0.0492747	0.149684	0.315553	0.44512
a54	0.00499283	0.00270989	0.00410121	0.0106337	0.0641278	0.246139	0.667296
a47	0.00323692	0.00210532	0.00353057	0.00928075	0.0640396	0.289328	0.628479
a36	0.00300225	0.00182436	0.00379573	0.0138179	0.0896072	0.265382	0.62257
a2	0.0546776	0.0208891	0.0269658	0.0468183	0.0896428	0.228245	0.532761
a57	0.183187	0.0790883	0.0686739	0.0661788	0.0797478	0.195726	0.327398
a87	0.422747	0.208024	0.099424	0.0660548	0.0485086	0.0597972	0.0954437
a23	0.340732	0.171245	0.113647	0.103813	0.1037	0.0784541	0.0884086
a99	0.110786	0.0546975	0.0317597	0.0441515	0.109556	0.262192	0.386857
a97	0.0329615	0.0240751	0.0260279	0.0574608	0.137191	0.293207	0.429077
</S>	0.0268479	0.024109	0.025561	0.0481091	0.114045	0.271853	0.489476
