 	qui	est	ce	qui	frotte	ma	marmite	contre	le	sol	</S>
a66	0.100992	0.0653592	0.0617913	0.0971928	0.138507	0.150949	0.185938	0.124924	0.0464962	0.0184352	0.00941373
a87	0.273229	0.124731	0.0919663	0.106575	0.0764085	0.0750771	0.083212	0.0648206	0.0371888	0.0374505	0.0293414
a23	0.397156	0.198062	0.141641	0.115235	0.0621409	0.0232612	0.0194767	0.0126105	0.00891366	0.00929985	0.0122024
a30	0.338121	0.184488	0.146967	0.135974	0.078959	0.0327888	0.0255494	0.0159133	0.0112962	0.0119742	0.0179695
a13	0.233034	0.151468	0.135151	0.14804	0.134168	0.057453	0.0565341	0.0293607	0.0176415	0.0171611	0.0199884
a57	0.224925	0.159899	0.132507	0.114624	0.0822654	0.03473	0.0673192	0.0537772	0.0439266	0.0434745	0.0425524
a13	0.196186	0.144805	0.126348	0.0972244	0.102081	0.0524401	0.0958544	0.085148	0.0483263	0.0282597	0.0233269
a70	0.11942	0.132849	0.119059	0.0951679	0.1027	0.0543818	0.0904271	0.0875313	0.0784754	0.0621238	0.0578657
a93	0.108561	0.159458	0.146576	0.123956	0.0930131	0.0579461	0.0629129	0.0586852	0.071102	0.0613012	0.0564887
a70	0.10842	0.151399	0.13625	0.120337	0.100916	0.0718597	0.0678218	0.0591696	0.0697385	0.0583985	0.0556906
a0	0.0801404	0.108263	0.106126	0.112936	0.124071	0.106766	0.0882248	0.0760053	0.075515	0.0617358	0.0602157
a93	0.0728619	0.0767964	0.0841541	0.105265	0.143845	0.103814	0.0817403	0.0729187	0.0796307	0.0824232	0.0965502
a56	0.0796492	0.0832512	0.0803348	0.0864105	0.109227	0.105738	0.103142	0.0929618	0.0939864	0.0788268	0.0864736
a92	0.0428244	0.0488164	0.0638937	0.101522	0.137444	0.143744	0.150347	0.123951	0.0828709	0.0489804	0.0556065
a56	0.0169106	0.0222579	0.0389924	0.091017	0.120086	0.140335	0.151534	0.138976	0.118459	0.0775377	0.0838937
a44	0.0266688	0.0311531	0.0506232	0.105102	0.155725	0.184423	0.180208	0.131927	0.0606586	0.0335184	0.0399921
a75	0.0166561	0.0181675	0.0289563	0.0686109	0.132991	0.180349	0.178258	0.15722	0.094954	0.0567558	0.0670826
a47	0.0120968	0.0124239	0.0188555	0.0506047	0.0870311	0.142211	0.125771	0.127186	0.119427	0.117511	0.186882
a36	0.0171037	0.0157483	0.0204575	0.0480727	0.0873867	0.140081	0.0976012	0.110842	0.112872	0.120081	0.229754
a2	0.0146995	0.0140695	0.0175976	0.0343955	0.121305	0.222939	0.171496	0.14922	0.0889221	0.0607905	0.104565
a15	0.0264411	0.0289322	0.038742	0.0533102	0.117637	0.195776	0.159208	0.155269	0.092243	0.0598594	0.072581
a79	0.050485	0.0337922	0.0379964	0.0472658	0.0837139	0.144581	0.143997	0.169389	0.119913	0.0764634	0.0924043
a7	0.00768048	0.00538709	0.00473965	0.00668484	0.0198351	0.0454874	0.0508927	0.0716775	0.120448	0.191735	0.475432
a43	0.00350039	0.00299685	0.00354191	0.00668348	0.023812	0.0615529	0.0584861	0.0729781	0.129004	0.233791	0.403653
a21	0.00238653	0.00233032	0.00297422	0.0052812	0.0209093	0.0577136	0.0533725	0.0759564	0.138423	0.275813	0.36484
a12	0.00190611	0.0017817	0.00246311	0.00464477	0.0113083	0.0257877	0.0260254	0.0404675	0.110844	0.29234	0.482432
a96	0.00174689	0.00169823	0.00226627	0.0038965	0.0077893	0.0183013	0.0162136	0.0284002	0.0907399	0.280192	0.548755
a34	0.000937147	0.00096215	0.00140823	0.00252922	0.00527981	0.0135488	0.0111636	0.0217959	0.0754978	0.256393	0.610484
a75	0.00075624	0.000785398	0.00118344	0.00214311	0.0044937	0.0105353	0.00831216	0.0171742	0.060555	0.22016	0.673901
a56	0.000808934	0.000629855	0.000663704	0.0010469	0.00216879	0.00507748	0.00383775	0.00935456	0.0477041	0.218916	0.709792
a93	0.000654636	0.000637363	0.000875195	0.00148981	0.00272083	0.00624696	0.00464472	0.0103995	0.0435989	0.183487	0.745245
a56	0.000284273	0.000283527	0.000361014	0.000605643	0.00128277	0.00375338	0.00346984	0.00882274	0.0391785	0.170717	0.771242
a34	0.000492695	0.00043021	0.00054794	0.000912232	0.00145935	0.00323493	0.00237898	0.00640454	0.031127	0.166555	0.786457
a75	0.000252658	0.00022764	0.000301639	0.00051258	0.000841823	0.00251404	0.00241934	0.00707551	0.0345379	0.176885	0.774432
a36	0.000271756	0.000237952	0.000236923	0.000323085	0.000468251	0.00137926	0.00120892	0.00415441	0.0285019	0.169006	0.794212
a26	0.00119998	0.000952643	0.000920136	0.0013661	0.00226391	0.00469253	0.00544436	0.0165258	0.0723495	0.253107	0.641179
a57	0.0708052	0.0453675	0.0313736	0.031516	0.0327535	0.0446835	0.0398842	0.0547258	0.0890598	0.180735	0.379096
a87	0.18098	0.0828734	0.0469196	0.0369546	0.0427039	0.0616947	0.0661842	0.071101	0.0805265	0.134177	0.195885
