 	ses	aisselles	sont	bien	vélues	</S>
a10	0.412505	0.208376	0.150801	0.103197	0.0810336	0.0440879
a9	0.116115	0.151271	0.234911	0.198125	0.192352	0.107226
a10	0.211126	0.20677	0.176708	0.104584	0.177793	0.123019
a83	0.297848	0.284375	0.178012	0.0761721	0.101011	0.0625823
a98	0.25744	0.238877	0.142273	0.0835316	0.118021	0.159857
a44	0.588552	0.218089	0.0774124	0.0397238	0.021899	0.0543234
a37	0.581315	0.271016	0.0688446	0.0266786	0.0164884	0.0356571
a98	0.516733	0.285699	0.0804416	0.0423129	0.0256972	0.049116
a79	0.358305	0.297628	0.120981	0.0888132	0.0569546	0.0773175
a98	0.400461	0.305795	0.124964	0.0778178	0.0406843	0.0502781
a25	0.291682	0.232609	0.131075	0.119214	0.0997671	0.125653
a85	0.22392	0.261374	0.157975	0.130228	0.102512	0.123991
a37	0.170003	0.168615	0.135046	0.134437	0.152859	0.239041
a75	0.217122	0.192453	0.197122	0.181887	0.105701	0.105716
a85	0.0957013	0.0675481	0.0862205	0.141452	0.224774	0.384303
a79	0.0579925	0.0461686	0.0671979	0.13057	0.253566	0.444505
a93	0.0286063	0.0256233	0.0460839	0.119299	0.284067	0.496321
a70	0.0323159	0.027213	0.0557894	0.152504	0.283226	0.448953
a30	0.00772562	0.00994916	0.0249096	0.0962654	0.31482	0.546331
a70	0.00117033	0.00143974	0.00594177	0.0473907	0.343601	0.600456
a83	0.0019104	0.00309116	0.0104142	0.0511785	0.308683	0.624723
a54	0.000815137	0.00143728	0.00624071	0.0413072	0.344996	0.605204
a7	0.000427849	0.000832183	0.00366293	0.0229627	0.268941	0.703174
a57	0.00030111	0.000472721	0.00246628	0.0194361	0.2695	0.707824
a87	0.00271814	0.00263106	0.00846716	0.0318312	0.419691	0.534661
a23	0.0253815	0.0176378	0.0325013	0.0954427	0.401379	0.427658
a3	0.0113888	0.00817268	0.016087	0.05856	0.299713	0.606078
a87	0.00734787	0.00963757	0.0238317	0.0649096	0.279951	0.614322
a10	0.0157563	0.015476	0.0323849	0.0785123	0.280998	0.576872
a97	0.0297542	0.0349343	0.0549656	0.108629	0.270305	0.501412
a3	0.0354556	0.0450821	0.0593218	0.103291	0.278121	0.478729
a10	0.055061	0.0569972	0.0700282	0.122155	0.214237	0.481522
</S>	0.0467631	0.0474096	0.0650682	0.119313	0.207378	0.514069
