 	mon	barrage	à	nasses	manque	de	tuyau	epongi	</S>
a85	0.0730452	0.0728233	0.142623	0.19864	0.2813	0.167627	0.0466793	0.0105308	0.0067321
a87	0.0771353	0.0472257	0.134568	0.135518	0.181409	0.176077	0.140491	0.0678713	0.0397036
a10	0.199605	0.123922	0.120935	0.10375	0.113979	0.0863056	0.0849058	0.0739421	0.0926564
a87	0.171214	0.104451	0.170377	0.15539	0.135362	0.071515	0.0732885	0.0623051	0.0560968
a23	0.155686	0.0903849	0.123422	0.112828	0.123462	0.0958275	0.117118	0.0991507	0.0821214
a87	0.133442	0.0958091	0.158963	0.117149	0.105395	0.0910446	0.106466	0.104652	0.0870795
a99	0.104604	0.0770833	0.115008	0.0977673	0.111409	0.0928323	0.133259	0.136552	0.131485
a54	0.0946634	0.0770056	0.100951	0.0805374	0.0675299	0.0730863	0.114226	0.164082	0.227918
a6	0.33608	0.22845	0.155398	0.0802512	0.0333505	0.0215757	0.028546	0.0558374	0.0605115
a37	0.337137	0.217979	0.149297	0.0938457	0.0517573	0.0372988	0.0320219	0.0449179	0.035746
a66	0.210947	0.183232	0.187965	0.154374	0.0913739	0.0528562	0.0453879	0.0442909	0.0295719
a75	0.180275	0.165603	0.198859	0.173735	0.121134	0.0701947	0.0402797	0.0296116	0.0203074
a47	0.148286	0.16646	0.177116	0.150002	0.130773	0.0952908	0.051957	0.0390988	0.0410163
a37	0.126825	0.168385	0.192661	0.195627	0.149869	0.0710205	0.0344608	0.0287172	0.0324352
a66	0.136199	0.167565	0.193221	0.211598	0.160854	0.0753158	0.0242244	0.0154894	0.0155321
a90	0.118047	0.15329	0.18325	0.208728	0.176178	0.0907853	0.0293402	0.0184032	0.021978
a70	0.0747679	0.12749	0.15432	0.216012	0.198557	0.120975	0.0418198	0.0286015	0.0374571
a62	0.0633956	0.0939479	0.104194	0.172495	0.23525	0.162364	0.0566873	0.0432155	0.0684512
a83	0.0753294	0.0944967	0.109333	0.158673	0.220761	0.179543	0.0660701	0.0381385	0.0576552
a9	0.0629029	0.0855179	0.0814095	0.116237	0.193759	0.209892	0.113313	0.0566237	0.0803459
a75	0.0141921	0.0210314	0.0206709	0.0401788	0.124965	0.234649	0.18384	0.132014	0.228459
a41	0.0604482	0.0895451	0.063628	0.0758994	0.102104	0.124174	0.0866792	0.119098	0.278424
a37	0.0469666	0.0687041	0.0489168	0.0528552	0.0687718	0.105844	0.130322	0.149825	0.327795
a75	0.0316603	0.0446428	0.0323482	0.037236	0.0599676	0.121358	0.178201	0.17482	0.319766
a37	0.0329801	0.0421001	0.0305448	0.0330993	0.0447367	0.0869767	0.133971	0.187277	0.408315
a61	0.0185637	0.0242156	0.0175082	0.0198949	0.0271059	0.0649466	0.161474	0.250518	0.415773
a31	0.021393	0.0256815	0.0177054	0.0180613	0.0210439	0.0489907	0.129036	0.288645	0.429444
a83	0.00698663	0.00904316	0.0061831	0.00759069	0.0106653	0.0275194	0.104937	0.33156	0.495515
a9	0.0014654	0.00197075	0.00151113	0.00230438	0.00441713	0.0144232	0.0772748	0.32916	0.567473
a93	0.00135183	0.00160767	0.00147689	0.00224631	0.00574809	0.0213455	0.0953287	0.287183	0.583712
a96	0.000588317	0.000623454	0.000467077	0.000624387	0.00136989	0.00556263	0.0421527	0.248979	0.699633
a83	0.000477176	0.000588572	0.000486639	0.00072943	0.00180489	0.0075031	0.0540589	0.256901	0.67745
a13	0.000625626	0.000795093	0.000615304	0.000939884	0.00248486	0.0106398	0.0612782	0.25188	0.670741
a99	0.00180779	0.00190554	0.00156312	0.00200806	0.00566109	0.0239953	0.104643	0.272446	0.58597
a97	0.00561475	0.00483128	0.00349625	0.00355679	0.00674457	0.0220982	0.0794744	0.22762	0.646564
a87	0.0460111	0.0325119	0.02729	0.0264516	0.0241854	0.0421854	0.12673	0.236671	0.437964
a23	0.0778735	0.0549409	0.0581132	0.057427	0.0799852	0.112698	0.162459	0.194377	0.202125
a97	0.0734502	0.03503	0.0230137	0.0196544	0.0264338	0.0519293	0.13124	0.258444	0.380805
</S>	0.0188703	0.0129769	0.0107494	0.0137312	0.0283598	0.0424942	0.0972723	0.277214	0.498332
