 	le	singe	n'	adopte	pas	le	fils	de	son	frère	</S>
a87	0.167903	0.102998	0.138515	0.167664	0.0960394	0.0894677	0.0572461	0.0352317	0.0405689	0.0513044	0.0530621
a23	0.186795	0.114409	0.136778	0.103892	0.0712401	0.0614852	0.047211	0.0451389	0.0529318	0.0813864	0.0987327
a10	0.129115	0.128879	0.186209	0.132194	0.0803473	0.0664441	0.045638	0.0453004	0.0498404	0.0636192	0.0724137
a11	0.253284	0.174513	0.161435	0.10336	0.0592382	0.042673	0.0291868	0.0314386	0.0351083	0.0504192	0.0593449
a24	0.48084	0.206043	0.125971	0.0734849	0.0361148	0.0210931	0.0109475	0.00750129	0.00716939	0.0117311	0.0191038
a41	0.570333	0.243943	0.106226	0.0379928	0.0151334	0.0100454	0.00475087	0.00296777	0.00253401	0.00261187	0.00346148
a35	0.298269	0.221969	0.169648	0.10519	0.0619405	0.0515856	0.0291689	0.020316	0.0163676	0.0127626	0.0127823
a98	0.277817	0.226742	0.18201	0.111038	0.0637878	0.0529225	0.0296624	0.0193253	0.0146503	0.0111999	0.010844
a14	0.245214	0.227899	0.18687	0.116217	0.0667794	0.0556522	0.0325774	0.0222403	0.0176451	0.0146329	0.0142732
a30	0.189428	0.189333	0.193354	0.145519	0.0871281	0.0765868	0.0440795	0.0270221	0.0196223	0.0144232	0.0135037
a40	0.127254	0.142072	0.178383	0.177336	0.115034	0.101575	0.0580178	0.0334963	0.0253701	0.0204197	0.0210432
a30	0.0958978	0.0998344	0.165396	0.179201	0.125461	0.116057	0.0756721	0.0508785	0.0385357	0.0270833	0.0259838
a14	0.0992836	0.0955691	0.145126	0.165371	0.129076	0.129784	0.0840806	0.055573	0.0424476	0.0285556	0.0251336
a35	0.125979	0.0903256	0.150518	0.184405	0.127186	0.119545	0.0671078	0.0421871	0.0350706	0.0286519	0.0290245
a26	0.130694	0.10044	0.136637	0.17312	0.116028	0.109212	0.0687148	0.0502362	0.0447927	0.0358908	0.0342344
a61	0.0755616	0.0648972	0.125155	0.188884	0.139872	0.135904	0.0784414	0.0548806	0.0489292	0.0430295	0.0444452
a75	0.0807373	0.0704255	0.10185	0.155491	0.137459	0.134846	0.0919131	0.0653231	0.0574075	0.050394	0.0541526
a76	0.0433252	0.0409435	0.0533703	0.101577	0.108587	0.112077	0.0893548	0.0872405	0.0990185	0.118018	0.146489
a90	0.0490212	0.047303	0.055429	0.083251	0.0942462	0.102224	0.0912171	0.0916689	0.105728	0.125339	0.154572
a38	0.0531836	0.0454968	0.0575414	0.108285	0.123374	0.139581	0.11259	0.090852	0.088566	0.083615	0.0969152
a75	0.039368	0.0283391	0.039698	0.0861392	0.104152	0.117656	0.106556	0.0959147	0.100603	0.11584	0.165734
a41	0.0238726	0.0199566	0.0268412	0.0573416	0.0736948	0.0822256	0.0820022	0.0949243	0.117842	0.173772	0.247527
a35	0.0265916	0.0211729	0.0307052	0.0695497	0.0884629	0.101592	0.100858	0.0911856	0.102045	0.147856	0.21998
a24	0.0232062	0.0177404	0.0235299	0.0465419	0.059246	0.0642296	0.0701927	0.0835637	0.112498	0.197647	0.301605
a41	0.019157	0.015113	0.021485	0.033495	0.0464918	0.0593214	0.0740142	0.0835564	0.108452	0.198042	0.340873
a35	0.0205698	0.0151518	0.0223744	0.0456209	0.0654219	0.0774918	0.0889233	0.0897009	0.10504	0.181214	0.288491
a2	0.0143893	0.0107223	0.0166506	0.0350961	0.0470398	0.0510539	0.0610895	0.0755476	0.104742	0.216117	0.367552
a57	0.0116262	0.00855035	0.0127603	0.0261228	0.0361433	0.046559	0.0590028	0.0881415	0.133471	0.235928	0.341694
a87	0.020682	0.0110924	0.0138257	0.0249872	0.0347523	0.0461164	0.0610771	0.0826665	0.122494	0.223679	0.358628
a23	0.0238216	0.0112915	0.0182763	0.0322129	0.0459002	0.0557835	0.0656217	0.0730558	0.10471	0.215358	0.353969
a26	0.012477	0.00673353	0.0154662	0.0302208	0.0448297	0.0451469	0.0509426	0.0560399	0.0778366	0.220518	0.439789
a24	0.00239383	0.00202802	0.00645801	0.0142608	0.0235728	0.0255608	0.0351805	0.0644578	0.106577	0.283628	0.435883
a41	0.00268189	0.00232215	0.00504107	0.0106423	0.0214613	0.0246518	0.0344992	0.058019	0.0890468	0.25049	0.501145
a35	0.00595968	0.00391388	0.00595878	0.0172426	0.0311067	0.0393901	0.0436395	0.0596764	0.0863484	0.22879	0.477974
a98	0.00689229	0.00523831	0.0074019	0.0201254	0.033531	0.0436444	0.0495719	0.061344	0.0792683	0.210801	0.482182
a14	0.00490183	0.00396414	0.00595393	0.01579	0.0293927	0.0382726	0.047253	0.0643374	0.0885984	0.224677	0.476859
a35	0.00847099	0.00763205	0.0121649	0.0331923	0.0497377	0.0572617	0.0662769	0.0767133	0.0920437	0.192483	0.404024
a76	0.00332419	0.00320377	0.00624484	0.0151643	0.0244499	0.0302072	0.0420785	0.0584742	0.084303	0.231011	0.501539
a35	0.00904713	0.0082615	0.0131237	0.0291235	0.0419942	0.0447309	0.0560846	0.0748393	0.0954998	0.195065	0.43223
a76	0.00241537	0.00248255	0.00546068	0.0128016	0.0196722	0.0222705	0.0296545	0.0470802	0.0790289	0.234584	0.544549
a56	0.01651	0.0137598	0.021004	0.0405488	0.0472778	0.0422891	0.0454115	0.0635374	0.0896201	0.19784	0.422202
a66	0.00277087	0.00208653	0.00425222	0.0087012	0.0131563	0.0139979	0.0167041	0.0287967	0.0597574	0.226751	0.623026
a11	0.00304548	0.00220031	0.00463055	0.0102854	0.0168699	0.0187922	0.0246833	0.0406827	0.0746053	0.22748	0.576725
a62	0.00379332	0.00244038	0.00478753	0.00872134	0.0141089	0.016348	0.0239772	0.0419121	0.0823143	0.247834	0.553763
a96	0.00404264	0.00340972	0.00615771	0.0101275	0.0151678	0.0171697	0.0236152	0.0404844	0.0804102	0.252459	0.546956
a24	0.00396429	0.00308883	0.00616046	0.0103904	0.0164049	0.0182311	0.0252867	0.0425237	0.0799881	0.242102	0.551859
a98	0.00745449	0.00549111	0.00911417	0.0126781	0.0167558	0.0167928	0.0208287	0.0331777	0.0692329	0.244751	0.563723
a25	0.00535037	0.00337744	0.00663863	0.0109643	0.0162084	0.0164436	0.0198113	0.0316158	0.0648023	0.23383	0.590958
a75	0.00325748	0.0018135	0.00333038	0.00670598	0.0111734	0.0126485	0.0173629	0.0315187	0.0682492	0.248858	0.595082
a98	0.0052971	0.00298831	0.00536598	0.0101194	0.0150625	0.0174992	0.0220748	0.0392382	0.0773079	0.244626	0.56042
a73	0.00452131	0.00273869	0.0046461	0.0108243	0.0156508	0.0172614	0.0221729	0.0411393	0.0799545	0.256293	0.544797
a84	0.00282707	0.00254228	0.00457736	0.00900133	0.0137078	0.0145697	0.020613	0.0436271	0.0798593	0.261284	0.547391
a57	0.00270461	0.00211355	0.00292234	0.0041039	0.00581844	0.00604036	0.0105943	0.0249615	0.0614379	0.292654	0.586649
a87	0.00788514	0.00337772	0.00456515	0.00526766	0.00854661	0.0097315	0.0227531	0.0546316	0.118203	0.315451	0.449587
a23	0.0200194	0.00719762	0.00870539	0.0126004	0.0201371	0.01803	0.0306834	0.0585912	0.105286	0.27031	0.44844
a87	0.0292845	0.0159106	0.0198755	0.0195694	0.0299169	0.0269506	0.046558	0.0784046	0.117459	0.240668	0.375404
</S>	0.035549	0.0134874	0.0180878	0.0251767	0.0363157	0.0298737	0.0415509	0.0669281	0.104418	0.23933	0.389284
