 	c'	est	aujourd'	hui	qu'	il	arrive	</S>
a10	0.24588	0.197215	0.102779	0.0965091	0.101365	0.0890799	0.0861985	0.0809733
a87	0.23282	0.158897	0.112281	0.0953478	0.101991	0.0931819	0.0996006	0.105881
a79	0.237871	0.136478	0.109936	0.0822711	0.0770029	0.0781547	0.114332	0.163953
a73	0.352036	0.249201	0.111749	0.0631186	0.0537234	0.049088	0.0524414	0.0686427
a69	0.447688	0.291551	0.120829	0.043134	0.027875	0.0210341	0.0211903	0.0266981
a76	0.416627	0.237352	0.143615	0.0663138	0.0445548	0.0299292	0.0300218	0.0315868
a73	0.298584	0.211218	0.17212	0.115884	0.084605	0.052201	0.0373243	0.0280637
a84	0.27937	0.211072	0.179293	0.128102	0.0900168	0.0502586	0.0344695	0.027418
a57	0.251956	0.168006	0.165821	0.126857	0.0999026	0.0755329	0.0560035	0.0559217
a10	0.157968	0.136503	0.146448	0.130883	0.115491	0.0962996	0.0943633	0.122045
a53	0.167489	0.13957	0.143129	0.12924	0.123207	0.10265	0.0928453	0.101869
a41	0.219378	0.158875	0.148408	0.121311	0.0965238	0.0865546	0.0821406	0.0868093
a18	0.212265	0.15869	0.135758	0.13027	0.111792	0.0962058	0.0827267	0.0722918
a38	0.139362	0.124624	0.135407	0.14916	0.140486	0.128068	0.103479	0.0794137
a24	0.115992	0.121742	0.148367	0.176147	0.156315	0.12318	0.0898032	0.068453
a38	0.0615705	0.0670413	0.0913582	0.134262	0.149363	0.178547	0.177824	0.140034
a20	0.0634842	0.0656307	0.0915563	0.155063	0.169599	0.180921	0.156489	0.117257
a76	0.0645072	0.0695446	0.0935388	0.147916	0.162644	0.177699	0.155445	0.128706
a69	0.0504473	0.0557171	0.0752876	0.122194	0.143967	0.186866	0.19223	0.173291
a58	0.0638003	0.0664842	0.080674	0.108799	0.120453	0.171679	0.202207	0.185903
a20	0.0260422	0.0246849	0.0346048	0.0578578	0.0749919	0.153658	0.271289	0.356872
a94	0.0398057	0.0374514	0.0550191	0.0824944	0.0953104	0.149374	0.229247	0.311297
a76	0.0223705	0.0199069	0.0312351	0.0501349	0.0641003	0.122628	0.254758	0.434866
a94	0.041385	0.0367132	0.0499768	0.0717671	0.0840882	0.129797	0.233877	0.352396
a75	0.0219879	0.0178527	0.0247814	0.0361903	0.0488838	0.102245	0.245452	0.502606
a98	0.0195785	0.0173328	0.0249696	0.0396382	0.0519148	0.104857	0.250534	0.491175
a73	0.0195257	0.016399	0.020078	0.0284162	0.0409605	0.0933491	0.252853	0.528418
a69	0.0222276	0.0167183	0.0182148	0.024712	0.0355091	0.0890234	0.23635	0.557245
a20	0.0245637	0.0193353	0.0258788	0.0398791	0.0540241	0.110325	0.246567	0.479428
a58	0.0203927	0.0162008	0.0189211	0.0275959	0.0413369	0.103104	0.266078	0.506371
a84	0.0135553	0.010783	0.0107515	0.0172387	0.0328546	0.103829	0.271804	0.539185
a87	0.0181757	0.0170137	0.0187633	0.0241063	0.0397651	0.097993	0.262519	0.521664
</S>	0.0606595	0.0555536	0.0616868	0.0693718	0.0785128	0.105126	0.193034	0.376055
