 	il	est	à	bangui	</S>
a23	0.342424	0.228783	0.195963	0.140163	0.092667
a87	0.315396	0.212501	0.208809	0.138746	0.124548
a23	0.283186	0.211347	0.212059	0.145979	0.147429
a30	0.317329	0.179083	0.176267	0.16698	0.160342
a53	0.282697	0.160245	0.153172	0.164999	0.238887
a20	0.478392	0.233566	0.147989	0.0808016	0.0592511
a41	0.435226	0.286333	0.168441	0.0685723	0.0414275
a66	0.430342	0.310409	0.164002	0.0610532	0.0341928
a38	0.366413	0.272596	0.185635	0.100616	0.0747404
a24	0.264301	0.244433	0.226454	0.146777	0.118034
a25	0.335362	0.262551	0.186888	0.128165	0.0870331
a87	0.146325	0.179056	0.211412	0.239655	0.223553
a79	0.05032	0.0691177	0.117041	0.237668	0.525853
a76	0.0355721	0.0546057	0.118652	0.279968	0.511202
a90	0.159062	0.151086	0.186475	0.253372	0.250005
a57	0.188294	0.123845	0.141511	0.242925	0.303426
a53	0.041471	0.0415573	0.08388	0.281724	0.551368
a76	0.0340194	0.0365363	0.0779271	0.265612	0.585905
a94	0.0295255	0.0333978	0.0828315	0.289254	0.564991
a98	0.00799777	0.00846856	0.0261344	0.204259	0.75314
a24	0.00570758	0.00667394	0.0267359	0.23387	0.727013
a9	0.00577794	0.00630332	0.0236329	0.194322	0.769964
a87	0.00541383	0.00691467	0.027259	0.190207	0.770205
a23	0.0173732	0.0196804	0.0427283	0.218213	0.702005
a87	0.0945223	0.0981617	0.122709	0.232345	0.452262
</S>	0.0262045	0.0413534	0.108466	0.305773	0.518203
