 	c'	est	son	arrière	grand-père	paternel	</S>
a85	0.366065	0.180412	0.114087	0.098896	0.108835	0.0806548	0.0510508
a87	0.371832	0.23041	0.162454	0.0976537	0.0488983	0.038879	0.0498728
a23	0.332034	0.306251	0.201143	0.0932238	0.0319615	0.0145735	0.0208131
a79	0.389934	0.293441	0.176513	0.0639453	0.0229629	0.0139859	0.0392182
a41	0.543114	0.280568	0.0932522	0.0399236	0.0202228	0.00946729	0.0134524
a18	0.386998	0.307709	0.178545	0.0848845	0.027422	0.00738748	0.00705459
a24	0.314728	0.311311	0.226745	0.0985581	0.0306472	0.00875565	0.0092558
a32	0.22744	0.26859	0.250677	0.146401	0.0703871	0.0195883	0.0169165
a25	0.129541	0.191625	0.240788	0.195319	0.143723	0.0528689	0.0461355
a38	0.0841237	0.116334	0.158569	0.198212	0.243038	0.100393	0.0993306
a73	0.0741471	0.0981456	0.123993	0.154849	0.278897	0.153481	0.116488
a30	0.0576412	0.078362	0.10851	0.157709	0.265652	0.166488	0.165638
a41	0.0627318	0.0899871	0.130969	0.1601	0.231859	0.165511	0.158842
a27	0.0357233	0.0365393	0.0464685	0.103801	0.268683	0.277416	0.231369
a84	0.0166524	0.017176	0.0223244	0.063546	0.188413	0.33515	0.356739
a75	0.0205308	0.0189962	0.0228989	0.0650818	0.183332	0.33943	0.349731
a30	0.0129895	0.00982673	0.00843892	0.0236317	0.182624	0.369984	0.392505
a73	0.0149675	0.00920017	0.00846257	0.0316196	0.15975	0.405546	0.370454
a20	0.0138503	0.00686726	0.00477704	0.0133125	0.120521	0.403376	0.437296
a84	0.0185413	0.00698797	0.00491802	0.0134452	0.0859919	0.379348	0.490768
a57	0.00495077	0.00262796	0.00214192	0.00463295	0.0300767	0.304705	0.650864
a87	0.00449037	0.00182852	0.00143016	0.00400262	0.0331155	0.396953	0.55818
a23	0.00725675	0.00331545	0.00384787	0.0150624	0.103749	0.383647	0.483121
a10	0.0237632	0.0144663	0.0275766	0.0883312	0.214681	0.354953	0.276228
</S>	0.00683773	0.00340303	0.00636038	0.0443072	0.157058	0.325668	0.456366
