 	le	chimpanzé	a	un	visage	qui	ressemble	à	celui	de	l'	homme	</S>
a66	0.357184	0.326843	0.0709191	0.0413465	0.0357939	0.0249683	0.0181666	0.0156987	0.0174363	0.0200535	0.0219447	0.0237483	0.0258976
a87	0.293171	0.124778	0.0282292	0.026996	0.056134	0.0715136	0.0735891	0.0672247	0.0558107	0.0492838	0.0502602	0.0520781	0.050932
a23	0.568351	0.22039	0.0841616	0.0306706	0.0133321	0.00919263	0.00875306	0.00878966	0.0098015	0.00783959	0.00945981	0.0128477	0.0164105
a30	0.360399	0.245606	0.08399	0.0414395	0.0339965	0.0346623	0.0322984	0.0311054	0.0258063	0.020974	0.0237232	0.0294009	0.0365981
a44	0.427851	0.221087	0.074708	0.0336935	0.0409898	0.0311075	0.0277709	0.0257396	0.0227817	0.0206832	0.0224852	0.0244046	0.0266978
a75	0.277395	0.267322	0.150218	0.0973479	0.0520227	0.0267147	0.0198786	0.0165825	0.0189838	0.0177654	0.0193921	0.0185975	0.0177796
a21	0.273197	0.256003	0.14178	0.125331	0.0693947	0.0353908	0.0228545	0.0151813	0.0148089	0.0126164	0.0124856	0.0108236	0.0101341
a12	0.119038	0.171138	0.203447	0.232245	0.139478	0.0503922	0.0244375	0.0126838	0.0123141	0.0105867	0.00954431	0.00768084	0.00701465
a31	0.0966642	0.0803383	0.137189	0.289904	0.192817	0.0687613	0.0363305	0.0202953	0.0170778	0.0163591	0.015611	0.0141766	0.014476
a21	0.0730464	0.0825065	0.111604	0.286987	0.24827	0.0783412	0.0346322	0.0170928	0.0137772	0.0132778	0.0128872	0.0131594	0.0144193
a12	0.0482389	0.0679138	0.0950836	0.253715	0.257794	0.115758	0.0544608	0.0246646	0.0169573	0.0151261	0.01476	0.0164095	0.0191179
a21	0.03702	0.0662124	0.08826	0.170986	0.198773	0.138936	0.0847138	0.0493523	0.0315707	0.0297826	0.0292794	0.0333914	0.0417224
a47	0.0302676	0.0544472	0.0732663	0.122052	0.173202	0.148719	0.105555	0.0683627	0.0446283	0.0404773	0.0394347	0.0439611	0.0556272
a75	0.0194294	0.0319391	0.0536342	0.077849	0.152337	0.130974	0.109319	0.0896417	0.0649917	0.0612512	0.0606258	0.0663604	0.0816465
a5	0.0065582	0.0117018	0.02782	0.0607254	0.101465	0.0993994	0.115917	0.126255	0.103394	0.100211	0.084168	0.0779684	0.0844164
a12	0.0119955	0.0158169	0.0335393	0.0459615	0.076196	0.0826555	0.0806836	0.102657	0.0981666	0.102081	0.0994769	0.110426	0.140344
a61	0.00634479	0.00704037	0.0148527	0.0191543	0.0301879	0.0383547	0.0545347	0.115701	0.137016	0.152614	0.13801	0.133494	0.152696
a12	0.00307613	0.00312431	0.00707323	0.00900388	0.0151228	0.0261966	0.0438486	0.110103	0.129718	0.161749	0.163437	0.159279	0.168268
a61	0.00219333	0.00239558	0.00538714	0.00682521	0.00943648	0.0187796	0.0339261	0.086734	0.114243	0.158533	0.179578	0.188249	0.19372
a34	0.00181753	0.00209703	0.00474137	0.00575635	0.00766643	0.0176141	0.0307402	0.0703589	0.0948453	0.146177	0.181097	0.209802	0.227286
a93	0.00105772	0.0011562	0.0022267	0.00288421	0.004148	0.0121919	0.0242829	0.0569378	0.0767874	0.137311	0.184755	0.230179	0.266082
a70	0.000713838	0.000723716	0.00168149	0.00195952	0.00259448	0.00792264	0.0170694	0.0456684	0.0645562	0.107819	0.163883	0.237907	0.3475
a13	0.000954824	0.000804501	0.00179909	0.00189087	0.00238621	0.00644034	0.0120709	0.0297508	0.0421883	0.073613	0.14673	0.262547	0.418825
a99	0.00550534	0.00446905	0.00790742	0.00496229	0.00439151	0.015848	0.0379003	0.0792519	0.0717359	0.0973332	0.143931	0.213397	0.313367
a87	0.0222268	0.0180729	0.039572	0.0301503	0.0184845	0.035551	0.0517956	0.0861921	0.0773078	0.0905415	0.11801	0.160907	0.251188
a23	0.133459	0.0798351	0.116341	0.0771049	0.0366201	0.0377603	0.0443051	0.0587537	0.051545	0.0623263	0.0737369	0.0976414	0.130571
a87	0.0382371	0.0244811	0.0309777	0.0172206	0.00692027	0.00671505	0.00965226	0.0217178	0.039623	0.0773768	0.150409	0.246823	0.329846
</S>	0.0112675	0.00753495	0.00902472	0.00712545	0.00279081	0.00377444	0.00694471	0.0249565	0.0361761	0.0574223	0.116133	0.250019	0.46683
