 	il	aime	manger	la	sauce	d'	arachide	</S>
a23	0.217009	0.174482	0.185826	0.147158	0.11601	0.0690433	0.0500922	0.0403797
a85	0.347242	0.205958	0.144216	0.0789848	0.0554838	0.0467963	0.0636485	0.0576711
a87	0.323494	0.227203	0.116904	0.0575145	0.0530956	0.0548293	0.0748253	0.0921339
a23	0.290702	0.219703	0.102837	0.0568982	0.0532677	0.0724023	0.0900972	0.114094
a20	0.220878	0.140695	0.0645012	0.0437538	0.0762701	0.110091	0.154164	0.189647
a73	0.402211	0.258469	0.139023	0.0660919	0.055981	0.0298548	0.0264312	0.0219392
a26	0.293556	0.29187	0.221173	0.106403	0.0433262	0.0192387	0.0130924	0.0113398
a43	0.247085	0.276619	0.240473	0.123072	0.0524854	0.0251339	0.0183472	0.0167845
a32	0.212139	0.251552	0.239075	0.152094	0.0685891	0.0330872	0.0228264	0.0206376
a54	0.183332	0.226032	0.230729	0.181007	0.0888508	0.0402527	0.0261883	0.0236082
a73	0.185111	0.235645	0.225537	0.160135	0.0836484	0.0467702	0.033723	0.0294308
a84	0.155761	0.212419	0.23255	0.179343	0.0903345	0.0522141	0.0395885	0.0377895
a76	0.0911776	0.118515	0.142127	0.145151	0.114364	0.111238	0.125721	0.151706
a32	0.131284	0.192583	0.208664	0.13965	0.0937679	0.0830313	0.0742811	0.0767394
a76	0.0810091	0.121659	0.151768	0.160831	0.168077	0.127755	0.103375	0.0855257
a94	0.0636409	0.0909202	0.118352	0.150764	0.161485	0.147504	0.143275	0.12406
a58	0.0502992	0.0604062	0.0762898	0.113676	0.168767	0.171319	0.194861	0.164381
a38	0.031951	0.0329802	0.0450633	0.0894437	0.173442	0.202759	0.228631	0.19573
a75	0.0252765	0.0248882	0.0276302	0.0587783	0.139271	0.219691	0.260949	0.243515
a41	0.0166181	0.0167393	0.0203767	0.0434112	0.115123	0.208942	0.297082	0.281707
a35	0.0107167	0.0119431	0.0159069	0.0365709	0.10691	0.219254	0.300617	0.298081
a94	0.0106603	0.0127065	0.0167138	0.0376345	0.106297	0.224646	0.305227	0.286115
a71	0.0126872	0.0128023	0.0148478	0.0302449	0.0910845	0.194118	0.292651	0.351564
a76	0.0114374	0.0116274	0.0129497	0.0213522	0.0542982	0.147535	0.277411	0.463389
a69	0.00511131	0.00465122	0.00548989	0.0115455	0.0360749	0.132035	0.325326	0.479766
a58	0.00669816	0.00653193	0.00814065	0.014524	0.0376534	0.111198	0.302638	0.512616
a38	0.00467758	0.00441362	0.00505556	0.00937934	0.0286456	0.0934992	0.284311	0.570018
a76	0.00245626	0.00231052	0.00272982	0.00584221	0.022263	0.091909	0.302304	0.570185
a69	0.00144181	0.00139879	0.00201861	0.00554541	0.0260321	0.11383	0.331089	0.518643
a58	0.00312296	0.00315609	0.0037349	0.00642888	0.0201053	0.0781901	0.273218	0.612044
a82	0.00363217	0.00344938	0.00427443	0.00747443	0.0228818	0.0818262	0.280126	0.596336
a87	0.00184632	0.00171202	0.00261047	0.00557405	0.0221645	0.0929492	0.294922	0.578221
</S>	0.00338	0.0026234	0.00435387	0.0104505	0.0356698	0.124526	0.323404	0.495592
