 	la	condition	d'	orphelin	donne	des	soucis	</S>
a66	0.356058	0.223128	0.137624	0.0776518	0.081571	0.0514126	0.0435561	0.0289985
a87	0.307149	0.189894	0.121943	0.136788	0.112378	0.0669918	0.0440649	0.0207906
a23	0.357128	0.205995	0.131183	0.132631	0.0905144	0.0382916	0.031842	0.012416
a87	0.385721	0.176525	0.106074	0.114566	0.0791243	0.0474961	0.0599667	0.0305266
a23	0.416496	0.185399	0.107525	0.105149	0.0754881	0.0415758	0.0437025	0.0246637
a20	0.363942	0.125227	0.0591545	0.0891951	0.120049	0.0859348	0.0947236	0.0617738
a69	0.282362	0.249343	0.168629	0.116712	0.0947576	0.0399111	0.0247795	0.0235057
a7	0.123407	0.172242	0.208652	0.190786	0.14045	0.0840619	0.0506567	0.029744
a75	0.0759642	0.141866	0.237003	0.210311	0.115243	0.0817771	0.0695799	0.0682564
a85	0.0771272	0.131403	0.237081	0.209101	0.106419	0.0789979	0.0733287	0.0865423
a6	0.0777063	0.150929	0.239249	0.165928	0.0970173	0.0848346	0.0766261	0.107711
a37	0.101524	0.108169	0.144955	0.132816	0.0991873	0.11332	0.120058	0.17997
a90	0.0905038	0.0694261	0.0824736	0.0933151	0.105105	0.14481	0.17067	0.243697
a69	0.0503559	0.0338284	0.0441639	0.0677831	0.101552	0.181619	0.219116	0.301583
a75	0.0211152	0.0128315	0.019497	0.041007	0.0869685	0.200769	0.254752	0.36306
a5	0.0106223	0.00636976	0.00950561	0.0208217	0.0491932	0.150256	0.271723	0.481508
a18	0.00575899	0.00394098	0.00489995	0.00894762	0.0289838	0.121149	0.262926	0.563394
a27	0.00316481	0.00217543	0.00293325	0.00505169	0.0115161	0.0654933	0.220818	0.688847
a30	0.00516052	0.00486536	0.0062927	0.0101558	0.0164333	0.058705	0.217741	0.680646
a57	0.0197748	0.013934	0.0127531	0.0199835	0.029844	0.0868641	0.238003	0.578844
a87	0.104908	0.0495031	0.0371055	0.0398639	0.0425097	0.0843966	0.188909	0.452804
a23	0.084527	0.0715107	0.0612627	0.0879478	0.0824609	0.136223	0.20153	0.274538
a87	0.0540794	0.0317148	0.02943	0.0464222	0.0573697	0.1376	0.276202	0.367182
a10	0.0321059	0.0222937	0.0230657	0.0384731	0.047772	0.129285	0.258523	0.448481
</S>	0.0405824	0.0345878	0.0350328	0.0443114	0.0514975	0.134266	0.254666	0.405056
