 	c'	est	un	homme	d'	une	grande	bonté	</S>
a23	0.282979	0.183342	0.122516	0.0884088	0.0711362	0.0692488	0.064743	0.0617352	0.0558904
a53	0.29144	0.196616	0.131202	0.111586	0.0765354	0.0606407	0.0495497	0.0455186	0.0369115
a15	0.365663	0.238224	0.141469	0.0785162	0.0529999	0.0389994	0.0280823	0.0299293	0.0261171
a92	0.390535	0.265575	0.163413	0.0776528	0.0408761	0.0237729	0.0140777	0.0129843	0.0111131
a37	0.316751	0.237586	0.172932	0.102464	0.0636081	0.0399723	0.0254032	0.0216979	0.0195853
a75	0.270286	0.219481	0.180048	0.113092	0.0696616	0.0495528	0.0348984	0.0294166	0.0335632
a61	0.23637	0.187529	0.161695	0.113103	0.0808435	0.0672488	0.0546957	0.047837	0.0506782
a75	0.179682	0.159574	0.16983	0.144217	0.106726	0.0810426	0.0553416	0.0474416	0.0561447
a25	0.10695	0.0931762	0.106008	0.103536	0.106255	0.116186	0.115652	0.113983	0.138255
a56	0.0824359	0.0743542	0.0915138	0.0997752	0.120665	0.140208	0.130842	0.123428	0.136778
a75	0.0608141	0.0539719	0.0659754	0.0779495	0.116999	0.164165	0.156766	0.145573	0.157786
a25	0.0496713	0.0435013	0.0499573	0.0558582	0.0782295	0.120233	0.157289	0.181034	0.264227
a56	0.0356262	0.0315287	0.0350704	0.0395431	0.0589845	0.109012	0.172105	0.224767	0.293363
a21	0.0240093	0.0211042	0.0239613	0.0281531	0.0474599	0.0978947	0.179761	0.248973	0.328684
a61	0.0274489	0.0246478	0.0251189	0.0264089	0.0365228	0.0664892	0.133979	0.252891	0.406494
a83	0.00913168	0.00752223	0.00893678	0.0106444	0.0211656	0.0500167	0.117962	0.247145	0.527476
a9	0.00197657	0.00157623	0.00195327	0.0027261	0.00760507	0.0282057	0.0908753	0.219121	0.645961
a87	0.0198761	0.0144052	0.0143827	0.0171885	0.0325342	0.0626551	0.119149	0.200672	0.519137
a23	0.169367	0.109174	0.0812568	0.0716453	0.0695212	0.0772089	0.0988493	0.122756	0.200221
a87	0.0538615	0.0307301	0.0239859	0.0252006	0.040574	0.0762501	0.160841	0.249238	0.339318
</S>	0.021383	0.0134295	0.0127101	0.0150739	0.0318487	0.0750217	0.172443	0.295802	0.362288
