 	parmi	vous	qui	surveille	mes	activités	</S>
a66	0.530981	0.322108	0.094297	0.0252211	0.0117511	0.00865603	0.00698644
a87	0.376901	0.240464	0.167581	0.136374	0.0482208	0.0197102	0.0107491
a23	0.431716	0.314464	0.140045	0.0578453	0.0242368	0.0215175	0.0101766
a79	0.388632	0.28371	0.175004	0.0472503	0.0212147	0.0359133	0.0482754
a37	0.39523	0.292961	0.191815	0.0507182	0.0281087	0.0228617	0.0183052
a61	0.318328	0.298643	0.226159	0.0783727	0.0333054	0.0298609	0.0153316
a21	0.174737	0.232752	0.311295	0.146674	0.0686435	0.0436097	0.0222883
a5	0.119065	0.179309	0.31288	0.204557	0.0973562	0.0598174	0.0270155
a12	0.100296	0.164493	0.269514	0.244362	0.122961	0.0703019	0.0280724
a61	0.132083	0.181414	0.270924	0.222972	0.101456	0.0582802	0.0328709
a75	0.0870522	0.112017	0.161742	0.227707	0.171993	0.142301	0.0971875
a85	0.0268734	0.0341793	0.058098	0.232837	0.240347	0.248043	0.159622
a6	0.00564149	0.00548881	0.0106205	0.0631691	0.201205	0.4118	0.302075
a0	0.0051524	0.00417522	0.00684307	0.0411893	0.130044	0.446893	0.365703
a75	0.000905356	0.000397247	0.00060207	0.0066451	0.0383788	0.341108	0.611963
a6	0.000794088	0.00069261	0.00128739	0.0102946	0.0493018	0.331239	0.60639
a37	0.000527405	0.000402852	0.000748172	0.00634726	0.0298569	0.280687	0.681431
a61	0.000882903	0.000531917	0.000871638	0.00901268	0.0526266	0.369146	0.566929
a12	0.00134135	0.00126142	0.00237307	0.0167245	0.0735364	0.390478	0.514286
a62	0.00204628	0.00171834	0.00296561	0.0191333	0.0821604	0.424479	0.467497
a61	0.0032828	0.00317405	0.0057758	0.0311653	0.108174	0.424539	0.423889
a41	0.00189685	0.00143846	0.00311643	0.025834	0.101943	0.404922	0.460849
a43	0.00132496	0.00117063	0.00240696	0.0172451	0.0717732	0.303387	0.602692
a27	0.00296567	0.00297198	0.00623484	0.03616	0.102898	0.333489	0.515281
a10	0.0101984	0.0133451	0.0157472	0.0370451	0.141178	0.400357	0.38213
a87	0.137857	0.0649601	0.0303954	0.0468508	0.151695	0.301095	0.267145
a23	0.416581	0.264175	0.112567	0.0709152	0.0528215	0.0469732	0.0359671
a87	0.190757	0.100603	0.0560541	0.0693672	0.100685	0.246158	0.236376
</S>	0.0200722	0.0120177	0.00909642	0.0363694	0.136134	0.372552	0.413759
