 	le	forgeron	redresse	le	fer	</S>
a66	0.289479	0.370407	0.283484	0.0466383	0.00494022	0.00505154
a87	0.37824	0.351906	0.168929	0.0551033	0.02784	0.0179823
a23	0.401221	0.358415	0.106028	0.0749236	0.041014	0.0183972
a57	0.437278	0.309032	0.131565	0.0643473	0.0286857	0.0290919
a82	0.414535	0.31765	0.152945	0.054582	0.0284808	0.0318081
a57	0.291248	0.279007	0.250052	0.119122	0.0357258	0.0248449
a53	0.281324	0.314661	0.25633	0.104429	0.0281309	0.0151243
a54	0.193565	0.258091	0.221402	0.214162	0.071253	0.0415269
a92	0.131005	0.124369	0.304916	0.295171	0.111843	0.0326957
a85	0.0600271	0.0554307	0.239182	0.366539	0.22488	0.0539414
a6	0.038954	0.0321512	0.144328	0.329058	0.312748	0.142761
a0	0.0468315	0.0402415	0.155679	0.256809	0.35055	0.149889
a12	0.0305858	0.0202611	0.0150719	0.12437	0.527832	0.281879
a31	0.00597874	0.00481122	0.00631916	0.049649	0.382357	0.550885
a43	0.00249705	0.00181014	0.00218706	0.0158457	0.199405	0.778256
a21	0.00178617	0.000811467	0.00103629	0.00622318	0.0872457	0.902897
a47	0.00175054	0.00142672	0.00364761	0.0088789	0.0832782	0.901018
a88	0.00215572	0.0015941	0.00575541	0.0136411	0.103971	0.872882
a70	0.000978543	0.000858441	0.00424713	0.0124099	0.0927437	0.888762
a66	0.0037613	0.00364149	0.0136835	0.0411955	0.262291	0.675427
a9	0.0152941	0.019674	0.0292015	0.0456763	0.271769	0.618385
a87	0.252315	0.277177	0.0580352	0.0336362	0.123094	0.255742
a23	0.336547	0.366287	0.15228	0.0492345	0.051044	0.044608
a87	0.165592	0.135936	0.146632	0.0874919	0.144797	0.319551
</S>	0.0200686	0.0168117	0.0172179	0.0244801	0.14965	0.771772
