 	le	fruit	sauvage	lengyé	est	utilisé	comme	appât	pour	prendre	le	blaireau	</S>
a87	0.186251	0.129315	0.138811	0.12479	0.0958593	0.0855682	0.0649934	0.0560242	0.0549898	0.0241771	0.0160334	0.0116766	0.0115102
a23	0.221318	0.149102	0.071722	0.0448188	0.0631749	0.0653512	0.0470728	0.0559105	0.0631422	0.0531062	0.0547233	0.0528569	0.0577014
a50	0.120822	0.104074	0.109378	0.0711121	0.0790986	0.0764281	0.0347341	0.0279173	0.0333451	0.0379848	0.0590026	0.0869983	0.159105
a12	0.305154	0.234106	0.114713	0.0676286	0.055682	0.031179	0.0248504	0.0197618	0.0203951	0.020653	0.0260222	0.0321201	0.0477349
a83	0.363486	0.29689	0.133658	0.0607168	0.041647	0.0292522	0.0165307	0.00957571	0.00867194	0.00780225	0.00870357	0.0100413	0.0130244
a24	0.255153	0.263914	0.155534	0.101108	0.0635945	0.0429017	0.0198512	0.0137589	0.0160931	0.0156655	0.0157748	0.0162292	0.0204229
a62	0.153001	0.198893	0.162488	0.154381	0.0988073	0.0763599	0.029654	0.022185	0.0241918	0.0216531	0.0193731	0.018001	0.0210126
a21	0.0839205	0.130599	0.17699	0.18789	0.144155	0.117987	0.0400527	0.027579	0.0241892	0.0191906	0.015909	0.0149174	0.0166208
a44	0.0946725	0.149987	0.176776	0.179521	0.155272	0.126071	0.0409591	0.0248215	0.0159989	0.0107088	0.00821756	0.00800363	0.0089911
a54	0.0504906	0.0888459	0.184757	0.214212	0.188941	0.137513	0.0414873	0.0269361	0.0187685	0.0137389	0.0110787	0.0109338	0.0122979
a73	0.0320994	0.0555583	0.146429	0.204066	0.202085	0.112065	0.0691022	0.0531924	0.0332809	0.0240343	0.0198096	0.0216085	0.0266697
a84	0.0288515	0.0437123	0.126051	0.168842	0.183972	0.130613	0.0996924	0.0722781	0.0387338	0.0257361	0.0222898	0.0262698	0.0329577
a53	0.0202613	0.0317233	0.12236	0.200188	0.210495	0.100243	0.0727487	0.0586481	0.0374037	0.0326942	0.0312993	0.0356023	0.046334
