 	cet	enfant	est	en	train	de	provoquer	le	fou	</S>
a66	0.371495	0.172822	0.118118	0.0830192	0.0710477	0.0620801	0.0476265	0.0290934	0.0248689	0.0198297
a87	0.0910705	0.0534061	0.0567327	0.0779479	0.0920619	0.108339	0.0956032	0.162175	0.131361	0.131303
a97	0.141593	0.0750485	0.061783	0.0496572	0.059017	0.0866627	0.126418	0.140048	0.126644	0.133129
a23	0.132219	0.0743688	0.0677456	0.0574139	0.0858785	0.120463	0.168088	0.116985	0.0960038	0.0808346
a53	0.115876	0.0768356	0.0671992	0.0612208	0.0853805	0.133746	0.172615	0.133592	0.0852983	0.0682374
a15	0.281272	0.150688	0.0849736	0.059009	0.0728232	0.0940138	0.111403	0.0542417	0.0434326	0.0481431
a47	0.223101	0.172573	0.137635	0.0949552	0.081984	0.0981964	0.0737271	0.0489945	0.0340175	0.0348161
a92	0.170618	0.165693	0.167546	0.117279	0.080392	0.0999003	0.0702003	0.0522817	0.0370358	0.0390538
a25	0.20253	0.191442	0.181873	0.127428	0.0794166	0.0879612	0.0463438	0.0367096	0.023808	0.0224874
a90	0.151536	0.1772	0.192755	0.14645	0.0912606	0.0735388	0.0454949	0.0464937	0.035562	0.0397096
a25	0.0985274	0.134958	0.177173	0.152809	0.113357	0.088394	0.0657439	0.0587724	0.0503719	0.0598933
a98	0.0827577	0.0970191	0.126009	0.133683	0.118486	0.10117	0.0712766	0.0873347	0.0776513	0.104613
a47	0.0427002	0.0637296	0.10011	0.111282	0.122377	0.109201	0.0921908	0.105826	0.106257	0.146326
a36	0.0212106	0.0328548	0.0608207	0.08625	0.119373	0.108907	0.0916587	0.117499	0.138187	0.223239
a44	0.0116274	0.0138505	0.0255023	0.043849	0.0664607	0.0634221	0.0651233	0.113853	0.170781	0.425531
a94	0.010294	0.0118961	0.020707	0.0406329	0.0697608	0.0712962	0.0765831	0.125998	0.1948	0.378032
a56	0.00329295	0.00346283	0.00633948	0.0141326	0.0302512	0.036213	0.0480639	0.103491	0.208117	0.546636
a75	0.00407962	0.004182	0.0066821	0.0136092	0.0262612	0.0322904	0.0413161	0.103556	0.21962	0.548404
a47	0.000831123	0.00107886	0.00224858	0.0060467	0.0146505	0.020376	0.0266384	0.0798252	0.201542	0.646763
a96	0.000576419	0.000750855	0.00154914	0.00416926	0.0103565	0.0170958	0.0289235	0.0914359	0.22243	0.622713
a53	0.00145679	0.00140087	0.00246232	0.0063909	0.0178072	0.0296345	0.0499237	0.137362	0.242948	0.510613
a69	0.00177836	0.00184878	0.003304	0.00838824	0.0185034	0.0278994	0.0392493	0.126638	0.238695	0.533695
a58	0.00124891	0.00118033	0.00210741	0.00581829	0.0124403	0.0200534	0.0339896	0.128014	0.240144	0.555004
a82	0.00730354	0.0061532	0.00856708	0.0189721	0.0405911	0.0781995	0.169617	0.214224	0.216633	0.239739
a10	0.0251237	0.0134513	0.0135689	0.0224794	0.0441768	0.0897138	0.159711	0.202917	0.208626	0.220233
a87	0.0236523	0.0127026	0.0119021	0.0184042	0.0340806	0.0682324	0.119901	0.215851	0.234185	0.261089
a97	0.027041	0.0131587	0.0131334	0.0210894	0.0429373	0.0747144	0.127245	0.19873	0.223814	0.258136
</S>	0.0113175	0.00628495	0.00664418	0.0101791	0.0230539	0.0451842	0.0691441	0.152751	0.235838	0.439603
