 	ce	gateau	d'	abeille	est	plein	de	miel	</S>
a66	0.319432	0.127978	0.138326	0.153891	0.108668	0.0537061	0.0345337	0.0304125	0.0330525
a87	0.148316	0.14848	0.219837	0.18027	0.121061	0.0663639	0.0413025	0.0357436	0.0386269
a79	0.323361	0.279843	0.128733	0.0569443	0.0438041	0.0443158	0.0384991	0.0404943	0.0440058
a5	0.329727	0.381353	0.110777	0.0457255	0.027757	0.0225	0.022089	0.0237579	0.0363144
a12	0.376802	0.197837	0.0776225	0.0692358	0.0469585	0.039188	0.0479999	0.0578407	0.0865148
a21	0.367368	0.312203	0.106212	0.0699619	0.033067	0.0223977	0.0246132	0.026469	0.037708
a85	0.353356	0.358523	0.111275	0.0530187	0.0239896	0.0163406	0.018969	0.0228335	0.0416936
a92	0.259402	0.219354	0.156007	0.092262	0.0599471	0.0415057	0.0400913	0.0530273	0.0784038
a37	0.152943	0.256522	0.222193	0.147879	0.0667717	0.0397631	0.0328099	0.0335951	0.0475231
a79	0.17862	0.282143	0.225577	0.126405	0.055635	0.0347455	0.0280569	0.0304814	0.0383357
a21	0.0824152	0.150473	0.200928	0.179554	0.103959	0.0690035	0.0586639	0.067239	0.0877646
a5	0.0658844	0.131448	0.205824	0.17353	0.106842	0.0738657	0.0682874	0.0789552	0.0953634
a43	0.0226327	0.047497	0.16192	0.193927	0.134724	0.0999725	0.0932275	0.113189	0.132911
a24	0.0250186	0.039691	0.17767	0.226827	0.146114	0.0941552	0.0803206	0.092488	0.117716
a47	0.0177593	0.0328704	0.178405	0.215375	0.163022	0.113849	0.0859309	0.0881258	0.104663
a31	0.0215105	0.028305	0.157555	0.218657	0.173208	0.113076	0.0859766	0.0919401	0.109772
a21	0.00966444	0.0154418	0.0805589	0.160478	0.205426	0.161104	0.114371	0.113678	0.139277
a5	0.00666195	0.0101409	0.0474798	0.115396	0.183215	0.169162	0.136277	0.140858	0.19081
a23	0.00692346	0.0081714	0.0363245	0.0779583	0.132558	0.139905	0.158187	0.178168	0.261805
a12	0.00190648	0.00278884	0.0151171	0.0502302	0.110798	0.16309	0.183673	0.190091	0.282305
a88	0.00160101	0.00244623	0.0120981	0.0361593	0.0843159	0.154783	0.207386	0.213408	0.287804
a61	0.00185713	0.0020401	0.0103047	0.0307688	0.0705235	0.136242	0.211343	0.251435	0.285486
a75	0.00135017	0.00163119	0.00897232	0.0249251	0.0539365	0.109825	0.213623	0.274247	0.311489
a85	0.000353414	0.000605193	0.0032636	0.00979561	0.028255	0.0768397	0.20475	0.300045	0.376092
a47	0.000181664	0.000244822	0.00130623	0.00495882	0.0212634	0.0636028	0.180164	0.307271	0.421007
a79	0.000188679	0.000235364	0.00135922	0.00507756	0.0209778	0.0656561	0.187346	0.312585	0.406575
a56	0.000113092	0.000230348	0.00164901	0.00524614	0.0205904	0.0630176	0.177448	0.298974	0.432732
a92	0.000157765	0.000208829	0.00139845	0.00534649	0.0239519	0.069444	0.199072	0.303137	0.397283
a36	9.74066e-05	0.000116877	0.000946225	0.00399423	0.0180069	0.0491628	0.169139	0.305674	0.452862
a26	0.000197862	0.000327813	0.00171863	0.00529695	0.0186971	0.0513801	0.168215	0.288043	0.466123
a57	0.0129935	0.00782187	0.0153605	0.0266869	0.0564989	0.0947679	0.168346	0.26163	0.355895
a87	0.0542268	0.0297652	0.0413788	0.0473268	0.0752532	0.111665	0.164903	0.217116	0.258365
a23	0.0680424	0.0426423	0.0730449	0.0748675	0.108051	0.14614	0.163826	0.161861	0.161525
a99	0.0134886	0.00965959	0.0275953	0.032644	0.0712909	0.164948	0.231667	0.238597	0.21011
a97	0.013327	0.0124619	0.0381288	0.0415853	0.0690393	0.139902	0.205388	0.237285	0.242883
</S>	0.00462588	0.00447033	0.0176591	0.0225945	0.044401	0.103165	0.18635	0.249546	0.367188
