 	cette	parcelle-ci	est	la	mienne	</S>
a66	0.475522	0.233958	0.0952374	0.0803761	0.0644276	0.0504787
a87	0.392945	0.213062	0.12461	0.122652	0.0847542	0.0619768
a23	0.412586	0.332628	0.166378	0.0538178	0.0222384	0.012352
a87	0.456644	0.327525	0.144218	0.0428773	0.0168024	0.0119331
a23	0.548485	0.27588	0.112396	0.0369942	0.0152636	0.0109814
a87	0.492258	0.272358	0.136904	0.05077	0.0251104	0.022599
a23	0.524257	0.257152	0.129633	0.0475458	0.0229265	0.0184858
a99	0.414539	0.282059	0.155067	0.067929	0.0419612	0.0384449
a38	0.335767	0.327546	0.195076	0.0718654	0.0373691	0.0323768
a83	0.20869	0.301771	0.278608	0.114341	0.050979	0.0456112
a99	0.127074	0.222889	0.325905	0.196315	0.0772733	0.0505437
a50	0.108004	0.192113	0.319023	0.212484	0.100775	0.0676011
a62	0.0519629	0.0742378	0.163812	0.229722	0.251236	0.229028
a24	0.0360775	0.049908	0.135656	0.23013	0.269812	0.278417
a5	0.0457874	0.0378276	0.1192	0.257891	0.270836	0.268457
a96	0.0629401	0.0388547	0.105539	0.269453	0.272049	0.251164
a93	0.0261889	0.0111384	0.0298232	0.150544	0.334364	0.447941
a70	0.0203012	0.00861502	0.024035	0.132469	0.317315	0.497265
a96	0.00446297	0.00198885	0.00691451	0.0695731	0.325293	0.591768
a37	0.00247818	0.00109243	0.00386416	0.0403486	0.2822	0.670017
a66	0.00257051	0.00169349	0.00633451	0.0389027	0.256867	0.693631
a38	0.00532926	0.00446596	0.0130606	0.0510768	0.258738	0.66733
a82	0.0255489	0.0145751	0.0275663	0.0685668	0.228393	0.63535
a9	0.0717597	0.0350625	0.0452695	0.0859966	0.226574	0.535338
a10	0.108386	0.0410957	0.0371699	0.0648938	0.200322	0.548133
a97	0.19509	0.0855739	0.0753171	0.0946217	0.182801	0.366596
a87	0.305844	0.133498	0.0807023	0.084191	0.162076	0.23369
a23	0.301369	0.142106	0.0882482	0.0979218	0.169515	0.20084
a87	0.101501	0.10083	0.102299	0.148257	0.25261	0.294502
a23	0.127959	0.0814308	0.0830665	0.148208	0.257137	0.302199
</S>	0.1065	0.100779	0.110418	0.181946	0.254921	0.245435
