 	il	est	parti	au-devant	</S>
a23	0.444016	0.15759	0.101862	0.132891	0.163641
a20	0.310182	0.179158	0.135395	0.161784	0.213481
a30	0.524669	0.220734	0.119217	0.0804307	0.0549496
a37	0.532508	0.248114	0.124275	0.0637649	0.0313383
a24	0.428717	0.238669	0.162193	0.11357	0.0568519
a61	0.264132	0.192807	0.202242	0.220556	0.120262
a66	0.237934	0.185374	0.193769	0.241324	0.1416
a9	0.12838	0.118515	0.173662	0.324425	0.255018
a38	0.0738137	0.0781181	0.133349	0.335896	0.378823
a73	0.0509641	0.0608661	0.126937	0.365973	0.39526
a94	0.0372284	0.0565047	0.143361	0.369152	0.393755
a90	0.0303485	0.0385854	0.0911759	0.322826	0.517065
a98	0.0248919	0.0340663	0.0821334	0.326609	0.5323
a0	0.0161973	0.0275049	0.0796451	0.293324	0.583328
a75	0.0151309	0.0209933	0.0596647	0.256858	0.647353
a90	0.0154743	0.0265908	0.0811295	0.251147	0.625658
a9	0.0270832	0.0404289	0.0972866	0.266179	0.569022
a87	0.0112854	0.0167471	0.0445841	0.19536	0.732024
</S>	0.0072301	0.0111751	0.0331742	0.205157	0.743264
