 	le	manche	est	mis	</S>
a66	0.328235	0.144464	0.138115	0.167932	0.221254
a87	0.275989	0.128135	0.170981	0.187496	0.237398
a23	0.508853	0.166983	0.12145	0.101823	0.100891
a40	0.458996	0.155912	0.130494	0.120701	0.133896
a6	0.437524	0.13636	0.120133	0.148649	0.157334
a5	0.616618	0.144373	0.0854389	0.0785564	0.0750138
a36	0.396524	0.173423	0.16758	0.134848	0.127625
a6	0.216301	0.173146	0.214733	0.200984	0.194836
a47	0.121538	0.140565	0.209807	0.259062	0.269028
a36	0.0772757	0.119178	0.171011	0.286206	0.346329
a6	0.0404529	0.0918834	0.112167	0.289804	0.465693
a36	0.0418281	0.102365	0.144428	0.282695	0.428684
a26	0.0218923	0.0715264	0.0980001	0.269439	0.539142
a57	0.0272771	0.0657585	0.0980627	0.242076	0.566826
a87	0.109784	0.134407	0.153362	0.246364	0.356084
a23	0.320272	0.185891	0.134426	0.170095	0.189316
a87	0.199146	0.188614	0.146136	0.223338	0.242766
</S>	0.0739622	0.120061	0.128901	0.275173	0.401903
