 	cet	enfant	est	trompeur	</S>
a66	0.4903	0.251767	0.17913	0.0534566	0.0253477
a87	0.373713	0.26747	0.213162	0.0945648	0.0510904
a23	0.50011	0.20729	0.165481	0.0815065	0.045612
a99	0.575744	0.206921	0.12746	0.056177	0.0336983
a97	0.507331	0.226322	0.157726	0.0651375	0.0434834
a87	0.459272	0.247221	0.215942	0.0536651	0.0238995
a99	0.530459	0.234528	0.17876	0.0421026	0.0141505
a83	0.558858	0.228568	0.151383	0.0435081	0.0176824
a98	0.480428	0.236353	0.182423	0.0660461	0.0347504
a92	0.372615	0.223801	0.202949	0.11175	0.0888854
a98	0.288919	0.233749	0.328732	0.0901288	0.0584706
a6	0.201852	0.227869	0.344228	0.124856	0.101195
a92	0.170112	0.204883	0.34738	0.127355	0.150271
a12	0.150776	0.2003	0.364928	0.144626	0.13937
a47	0.195506	0.251451	0.302832	0.11569	0.13452
a96	0.154156	0.221827	0.301148	0.15687	0.165999
a88	0.132624	0.194861	0.275631	0.190751	0.206133
a66	0.0356767	0.0540782	0.120228	0.280646	0.509371
a93	0.0312284	0.0372031	0.0815512	0.219753	0.630265
a56	0.0436157	0.0475984	0.0773496	0.217331	0.614105
a98	0.014186	0.0155828	0.0323557	0.164024	0.773852
a47	0.00307518	0.00387005	0.00997004	0.10038	0.882704
a36	0.0010227	0.00157278	0.00515607	0.0817979	0.910451
a26	0.0239137	0.0417168	0.0537296	0.113898	0.766742
a57	0.161733	0.158338	0.116563	0.115648	0.447717
a10	0.267642	0.183667	0.150362	0.167643	0.230687
a87	0.238721	0.190855	0.198428	0.162777	0.209218
a99	0.162207	0.144379	0.212758	0.250668	0.229988
a97	0.0811021	0.0687043	0.0857343	0.187858	0.576602
a99	0.0906289	0.0696435	0.121684	0.150279	0.567764
</S>	0.0645638	0.0584677	0.114506	0.153715	0.608748
