 	la	fraîcheur	provoque	les	maladies	</S>
a66	0.25818	0.260771	0.253059	0.148198	0.0534526	0.026339
a87	0.264593	0.221698	0.220122	0.13997	0.0716394	0.0819786
a97	0.338588	0.315208	0.195821	0.0919561	0.0313395	0.0270875
a10	0.368979	0.331499	0.186423	0.0667328	0.0246667	0.0217007
a97	0.366854	0.323829	0.194025	0.0633627	0.0284534	0.0234754
a87	0.335366	0.335443	0.215524	0.0649973	0.0260766	0.0225935
a97	0.322144	0.323685	0.223979	0.0712737	0.0311389	0.0277786
a62	0.282337	0.331309	0.264389	0.0788547	0.0249207	0.0181891
a31	0.339088	0.357635	0.217969	0.059469	0.0162595	0.00957982
a21	0.376003	0.344946	0.20554	0.0478862	0.0152617	0.0103625
a47	0.366453	0.335482	0.207668	0.0575291	0.0201774	0.0126901
a62	0.258369	0.323441	0.262716	0.0951159	0.0367308	0.0236272
a21	0.279114	0.328995	0.253153	0.0889067	0.0295362	0.0202947
a41	0.292642	0.312519	0.225281	0.0936102	0.0425638	0.0333835
a43	0.192807	0.212585	0.241643	0.137242	0.100682	0.115042
a75	0.137253	0.143125	0.203773	0.17079	0.143773	0.201286
a85	0.0617351	0.0712838	0.118261	0.165753	0.235999	0.346969
a6	0.0455831	0.0519403	0.0974634	0.155551	0.229769	0.419694
a37	0.0358876	0.0374389	0.0649551	0.096176	0.197415	0.568127
a85	0.0197372	0.0162736	0.0204145	0.0408237	0.185191	0.71756
a47	0.00529887	0.00474672	0.00992377	0.0352922	0.199088	0.74565
a36	0.0107539	0.00939599	0.0158267	0.0387397	0.194409	0.730875
a2	0.0296587	0.0295441	0.0374193	0.0409241	0.171898	0.690556
a57	0.121967	0.101512	0.0771961	0.0839083	0.180362	0.435055
a97	0.168978	0.162646	0.106557	0.087779	0.145218	0.328823
a3	0.207816	0.204542	0.137759	0.109216	0.151088	0.189579
a97	0.138091	0.182047	0.174587	0.169995	0.15578	0.1795
a99	0.127603	0.173431	0.186807	0.162923	0.147089	0.202147
a97	0.101441	0.110085	0.116591	0.145763	0.20215	0.323969
a99	0.103593	0.152018	0.179084	0.156228	0.170764	0.238313
a97	0.117188	0.162935	0.180798	0.156342	0.160877	0.22186
a23	0.163536	0.226184	0.208428	0.133714	0.118133	0.150004
a99	0.0599668	0.0873709	0.134287	0.166742	0.207961	0.343672
a87	0.0663543	0.0872766	0.10492	0.123562	0.194506	0.423382
</S>	0.0813469	0.0898922	0.102218	0.119668	0.184958	0.421916
