 	le	juge	traditionnel	est	noblement	assis	</S>
a66	0.435715	0.23337	0.184743	0.0933132	0.0305165	0.0129977	0.00934474
a87	0.378164	0.199048	0.1721	0.0971534	0.0533821	0.0517787	0.0483737
a23	0.180324	0.142443	0.181441	0.22921	0.098136	0.0819866	0.0864593
a3	0.248443	0.193281	0.231861	0.173639	0.053516	0.046167	0.0530936
a97	0.238912	0.191555	0.214048	0.173641	0.068009	0.0551168	0.0587179
a99	0.252798	0.192947	0.236435	0.157893	0.0609057	0.0492494	0.0497716
a97	0.400442	0.217363	0.199807	0.0735584	0.0291776	0.0353501	0.0443024
a87	0.371718	0.218004	0.208214	0.0796485	0.0342723	0.0410639	0.0470799
a97	0.294665	0.202885	0.233043	0.115139	0.0499875	0.0520766	0.0522039
a23	0.273214	0.197456	0.211999	0.118825	0.0540293	0.0684812	0.0759953
a44	0.433656	0.182623	0.15043	0.063465	0.033872	0.0564296	0.0795239
a54	0.349432	0.226275	0.165267	0.0937858	0.0389782	0.0535551	0.0727074
a92	0.240021	0.186329	0.135709	0.126612	0.0837703	0.100652	0.126906
a5	0.260912	0.227357	0.197286	0.165596	0.0542547	0.0436649	0.0509298
a18	0.145992	0.192495	0.260325	0.271461	0.0707114	0.0304753	0.0285411
a75	0.0669376	0.11384	0.20843	0.337779	0.138466	0.0665348	0.0680129
a47	0.0578476	0.128618	0.232616	0.289472	0.13665	0.0784191	0.0763776
a6	0.0240684	0.0574658	0.150196	0.290254	0.203163	0.123674	0.151179
a36	0.0267202	0.058497	0.119181	0.191599	0.237135	0.162783	0.204085
a44	0.0126229	0.0201237	0.0422143	0.109627	0.285117	0.214764	0.315531
a4	0.0175756	0.0236566	0.0358357	0.104374	0.354158	0.22124	0.243161
a13	0.0124516	0.0192326	0.0281324	0.0687283	0.30796	0.244964	0.318531
a4	0.00284385	0.00398911	0.00874932	0.0272393	0.178907	0.285515	0.492757
a13	0.00174343	0.00354171	0.00748023	0.0220803	0.162112	0.322964	0.480078
a3	0.000363367	0.000481172	0.0012474	0.00422904	0.0607381	0.279149	0.653792
a97	0.00519939	0.00621136	0.0104379	0.0189719	0.149653	0.288595	0.520932
a87	0.0666844	0.063022	0.0677304	0.0747941	0.197313	0.223129	0.307327
a97	0.0920666	0.088965	0.10544	0.119213	0.207892	0.195785	0.190638
a87	0.0394548	0.0405319	0.0604236	0.0929659	0.267371	0.250224	0.249029
a97	0.0242779	0.0297644	0.0480681	0.0685348	0.200615	0.274909	0.353831
a99	0.0239464	0.0350845	0.0670239	0.0969245	0.165143	0.25374	0.358137
a97	0.0173675	0.0284093	0.0507106	0.0657302	0.122667	0.267425	0.44769
a87	0.0446911	0.0690275	0.11781	0.121249	0.110904	0.194648	0.34167
a97	0.0505358	0.0755776	0.111761	0.112321	0.108742	0.199641	0.341421
</S>	0.0384854	0.0628281	0.10008	0.112885	0.120131	0.213867	0.351723
