 	le	hanneton	se	tortille	dans	l'	assiette	</S>
a66	0.201378	0.172282	0.234613	0.192863	0.117872	0.0510658	0.01925	0.0106763
a87	0.104635	0.0979668	0.130441	0.23377	0.197147	0.123371	0.0644742	0.0481939
a10	0.242572	0.150949	0.149218	0.194395	0.102433	0.0636224	0.0514622	0.0453484
a83	0.349556	0.191029	0.183527	0.150738	0.0594561	0.0294194	0.0193284	0.0169458
a21	0.34218	0.173243	0.180179	0.144827	0.0663461	0.0344391	0.028724	0.0300622
a5	0.393423	0.268796	0.165662	0.0622341	0.0382392	0.021663	0.022812	0.0271695
a18	0.345028	0.292082	0.186282	0.0578814	0.04626	0.0255353	0.0234117	0.0235191
a90	0.220253	0.202057	0.151849	0.0919057	0.0950321	0.0716054	0.0736271	0.0936698
a92	0.131633	0.153455	0.136689	0.100239	0.122325	0.102766	0.108244	0.144649
a56	0.20147	0.254239	0.225606	0.10917	0.0787892	0.0470717	0.0386813	0.0449737
a0	0.158839	0.209811	0.203444	0.127958	0.107959	0.0684573	0.0575385	0.065994
a31	0.125348	0.15338	0.145282	0.108008	0.110895	0.0959015	0.108591	0.152593
a88	0.0817822	0.0994237	0.106296	0.118586	0.141631	0.142346	0.14504	0.164895
a62	0.0641639	0.0834396	0.109926	0.128326	0.151398	0.154277	0.14414	0.16433
a31	0.0363455	0.0449986	0.0653524	0.105068	0.149479	0.185106	0.203767	0.209883
a21	0.0336307	0.0377925	0.0617703	0.119684	0.166204	0.198339	0.196894	0.185686
a5	0.0334782	0.0359427	0.0604642	0.13958	0.180008	0.206104	0.180688	0.163735
a75	0.0241917	0.0261683	0.0403162	0.0994717	0.14953	0.205687	0.225957	0.228678
a56	0.01309	0.0135176	0.0199147	0.0507865	0.0897062	0.163077	0.274384	0.375524
a75	0.00568824	0.00594842	0.00901061	0.025926	0.0569947	0.129048	0.283101	0.484283
a85	0.00557298	0.0057487	0.00767901	0.0200164	0.0395204	0.09663	0.279502	0.54533
a92	0.00321422	0.00354616	0.00458764	0.0122766	0.0289915	0.0797752	0.281176	0.586433
a36	0.00191734	0.00240486	0.00392277	0.0124295	0.027057	0.0702894	0.25773	0.624249
a26	0.000481588	0.000432429	0.000566332	0.00256256	0.00882133	0.0375322	0.236706	0.712898
a57	0.0124904	0.00743057	0.00714648	0.0233821	0.0517616	0.111553	0.269164	0.517071
a97	0.0687259	0.0342044	0.0337173	0.0608757	0.0924903	0.147051	0.224292	0.338644
a87	0.0685184	0.0408949	0.0402497	0.083925	0.125429	0.174144	0.222439	0.244399
a57	0.0691559	0.0484086	0.0549531	0.0915215	0.119396	0.153607	0.217548	0.24541
a87	0.0827239	0.0643723	0.0774019	0.0908289	0.0968914	0.105947	0.189683	0.292152
a99	0.062041	0.051537	0.0715803	0.0928203	0.0969668	0.107989	0.193114	0.323952
a3	0.043215	0.0351102	0.0461993	0.0640613	0.0794006	0.0988521	0.207498	0.425663
a99	0.0839975	0.0791601	0.101507	0.11559	0.101362	0.100871	0.157436	0.260077
a97	0.0526666	0.0440641	0.0610603	0.087236	0.0934994	0.10792	0.192751	0.360802
a87	0.0726453	0.0667148	0.0994037	0.133096	0.113538	0.109288	0.156049	0.249265
a97	0.0870011	0.0713457	0.100162	0.127129	0.111744	0.107059	0.149509	0.24605
</S>	0.0999672	0.0849863	0.115928	0.139665	0.113199	0.0996728	0.133558	0.213024
