 	le	voleur	a	vidé	sa	maison	</S>
a66	0.485193	0.218639	0.0979212	0.0660592	0.0524372	0.0463533	0.0333967
a87	0.409776	0.177996	0.125947	0.0547411	0.0681559	0.0956791	0.067705
a23	0.506996	0.26904	0.090471	0.0275602	0.0279839	0.0451417	0.032807
a87	0.571299	0.22798	0.0806616	0.0280479	0.0255553	0.0346095	0.0318465
a97	0.581359	0.207265	0.07822	0.0350436	0.0305779	0.0365058	0.0310282
a23	0.56382	0.186101	0.0763779	0.0457986	0.0418315	0.0455825	0.0404882
a97	0.623295	0.16631	0.0721705	0.0399747	0.0323535	0.0339461	0.0319506
a38	0.532388	0.197314	0.114299	0.0635507	0.0400532	0.0279154	0.0244793
a94	0.362922	0.211093	0.169785	0.093725	0.0666572	0.047522	0.0482961
a90	0.216683	0.291601	0.245497	0.100937	0.0654093	0.0442302	0.0356431
a94	0.154347	0.288124	0.245453	0.102317	0.0892998	0.0658643	0.054596
a53	0.109391	0.199566	0.181624	0.0982582	0.124884	0.144334	0.141943
a90	0.0852358	0.157017	0.162289	0.121528	0.151793	0.160037	0.1621
a79	0.0781566	0.131688	0.156042	0.127315	0.159036	0.174551	0.173211
a44	0.069603	0.108297	0.164515	0.144055	0.165147	0.171312	0.17707
a12	0.0183623	0.0246031	0.0509545	0.0988062	0.199322	0.285073	0.32288
a62	0.0064968	0.00767813	0.0236003	0.0794935	0.186489	0.30615	0.390092
a88	0.00153613	0.00149916	0.00607355	0.0407845	0.134294	0.317319	0.498494
a9	0.000738891	0.000659445	0.00257924	0.024742	0.113826	0.305302	0.552152
a3	0.00186412	0.00148437	0.00439129	0.0274436	0.102982	0.243789	0.618046
a99	0.139736	0.0502505	0.0374878	0.0656998	0.123878	0.195762	0.387186
a97	0.190445	0.0627483	0.0391064	0.0505889	0.115898	0.222162	0.319052
a3	0.122773	0.0486375	0.0425314	0.0576856	0.130236	0.264781	0.333356
a97	0.0588109	0.0334595	0.0455837	0.0532564	0.13054	0.274376	0.403973
a99	0.125797	0.0646621	0.0674373	0.060575	0.122728	0.2218	0.337001
a97	0.0641417	0.0504421	0.0685644	0.0632365	0.142589	0.252556	0.358471
</S>	0.120924	0.0790362	0.0708434	0.055987	0.124824	0.224946	0.32344
