 	il	n'	est	pas	aussi	gros	que	lui	</S>
a23	0.325871	0.193169	0.112158	0.0961251	0.0758446	0.0606351	0.045423	0.0450422	0.0457324
a20	0.417037	0.252789	0.133881	0.0737001	0.0344916	0.0226913	0.0188797	0.0206707	0.0258592
a44	0.353297	0.175208	0.102634	0.0769985	0.0642018	0.0588588	0.055005	0.0544544	0.0593425
a26	0.509715	0.26528	0.105166	0.0448192	0.0230474	0.0161874	0.0117704	0.0118224	0.0121925
a76	0.479798	0.292131	0.122924	0.0444513	0.0175137	0.011707	0.00945316	0.0102682	0.0117531
a90	0.23662	0.217573	0.162076	0.114812	0.0783992	0.057848	0.0462524	0.0415806	0.0448382
a57	0.274364	0.260623	0.171868	0.0988893	0.0566087	0.0379303	0.0317139	0.0318451	0.0361585
a38	0.266543	0.250508	0.186962	0.11123	0.0603246	0.0333776	0.0272963	0.0291127	0.034646
a73	0.178148	0.205195	0.183519	0.1317	0.0887014	0.0539379	0.0477439	0.0509257	0.06013
a20	0.2009	0.2156	0.171702	0.128027	0.0913923	0.0628826	0.0467434	0.0402507	0.0425016
a69	0.166511	0.18721	0.163087	0.136862	0.109172	0.0827092	0.0618509	0.0472384	0.045359
a94	0.137086	0.16236	0.156782	0.142908	0.118433	0.0928135	0.0748728	0.0587006	0.0560445
a41	0.0893565	0.115349	0.141052	0.157914	0.140304	0.112764	0.0881175	0.0754174	0.0797251
a94	0.0576271	0.0716664	0.0952512	0.14789	0.169363	0.143689	0.113188	0.096161	0.105164
a38	0.0559287	0.0634579	0.0816978	0.132369	0.162849	0.145331	0.119883	0.10973	0.128753
a98	0.0427218	0.046761	0.0600879	0.110395	0.163898	0.154801	0.136962	0.129135	0.155238
a73	0.0293628	0.0337144	0.0485338	0.10379	0.166705	0.166102	0.151875	0.138458	0.161459
a69	0.0309393	0.0346777	0.0470732	0.0955282	0.162292	0.165987	0.157388	0.142629	0.163487
a15	0.0295566	0.0301694	0.0374939	0.0735941	0.14332	0.142422	0.153591	0.16446	0.225393
a44	0.0150668	0.0175706	0.0246508	0.0511905	0.105812	0.132279	0.169498	0.207133	0.276801
a94	0.0185664	0.0217313	0.0295048	0.0535646	0.0979516	0.126904	0.179996	0.207111	0.264671
a76	0.0134051	0.0148883	0.0203413	0.0380636	0.070654	0.103676	0.181124	0.239711	0.318136
a69	0.0183602	0.0204767	0.0275866	0.0477243	0.0833956	0.120552	0.182763	0.223971	0.275171
a58	0.0145654	0.0156279	0.019479	0.0320376	0.0523189	0.0829575	0.156741	0.253158	0.373115
a40	0.00759022	0.00842754	0.0109901	0.0203158	0.0332918	0.0566986	0.126203	0.266538	0.469945
a98	0.0178572	0.0186702	0.023594	0.0398726	0.0580502	0.0893101	0.151	0.241888	0.359759
a73	0.0150028	0.0169042	0.0219862	0.0371502	0.0600593	0.0928774	0.152432	0.247961	0.355627
a84	0.00632201	0.00627125	0.00780885	0.0133083	0.0275288	0.0510193	0.120272	0.286155	0.481314
a87	0.00499483	0.00494058	0.00604748	0.0103696	0.01982	0.035881	0.09612	0.267032	0.554794
</S>	0.0075204	0.005268	0.00530217	0.0111748	0.0284276	0.0657292	0.138567	0.275325	0.462686
