 	il	fabrique	un	balai	</S>
a23	0.604254	0.206027	0.0831904	0.0541565	0.0523721
a53	0.570322	0.187874	0.102447	0.0715568	0.0678006
a20	0.509107	0.234614	0.123342	0.062563	0.070374
a73	0.439034	0.315576	0.154871	0.0529443	0.0375754
a35	0.415688	0.348395	0.161086	0.0476376	0.027193
a30	0.318304	0.306641	0.205806	0.0985427	0.070706
a73	0.330803	0.311911	0.208238	0.0882419	0.0608056
a26	0.318773	0.267371	0.195669	0.118635	0.099552
a76	0.251053	0.238456	0.219151	0.163811	0.12753
a94	0.21612	0.210025	0.213657	0.202091	0.158107
a66	0.110725	0.105374	0.161862	0.284872	0.337168
a35	0.0479381	0.0496068	0.0983986	0.271783	0.532274
a41	0.0327144	0.0345318	0.0723446	0.253311	0.607098
a94	0.0230876	0.02915	0.0722811	0.260168	0.615313
a76	0.0165189	0.0210586	0.05312	0.206596	0.702706
a35	0.0147764	0.0218433	0.0601195	0.23055	0.672711
a66	0.0118434	0.0147391	0.0454943	0.195454	0.732469
a4	0.00939587	0.0105488	0.028407	0.150942	0.800706
a58	0.00967566	0.0101393	0.0283204	0.151056	0.800809
a82	0.0188413	0.0167139	0.0360641	0.164908	0.763472
a87	0.028677	0.0321462	0.045983	0.160251	0.732943
</S>	0.0734985	0.0888536	0.0790128	0.166581	0.592054
