 	des	troncs	d'	arbres	barrent	la	rivière	</S>
a85	0.500161	0.146463	0.0693548	0.101482	0.0909447	0.0457404	0.0284118	0.0174428
a10	0.31629	0.195286	0.133048	0.103161	0.098897	0.0652456	0.0487037	0.0393691
a87	0.311807	0.229149	0.163534	0.0871167	0.0452678	0.0376466	0.0534149	0.0720635
a23	0.222875	0.21703	0.169991	0.11877	0.0656493	0.0661269	0.068193	0.0713655
a24	0.343378	0.342658	0.133517	0.0661572	0.0314159	0.0245673	0.0296794	0.0286267
a9	0.423965	0.369845	0.140882	0.0447979	0.00823624	0.00467953	0.00421603	0.00337852
a24	0.339561	0.324997	0.186205	0.0884479	0.0241687	0.0135876	0.0119734	0.0110594
a5	0.271079	0.294646	0.202509	0.133711	0.038988	0.0224908	0.0188613	0.0177143
a18	0.287194	0.375332	0.183993	0.0833819	0.0211771	0.0152831	0.0167267	0.0169126
a12	0.185025	0.203286	0.21286	0.211291	0.0713203	0.04275	0.0368722	0.0365949
a88	0.202692	0.227066	0.212719	0.18312	0.0671954	0.0428562	0.0329911	0.0313596
a71	0.111643	0.11606	0.220218	0.284373	0.112806	0.0631785	0.0464957	0.0452268
a20	0.0621127	0.0450825	0.145453	0.26793	0.180803	0.130384	0.0934164	0.0748185
a73	0.0742298	0.042035	0.151799	0.311707	0.209794	0.106	0.0549857	0.0494503
a44	0.0848789	0.048247	0.164881	0.278197	0.201479	0.110969	0.0540062	0.0573424
a58	0.0466155	0.0275336	0.102259	0.237208	0.209131	0.15855	0.0942969	0.124405
a76	0.0377512	0.0270833	0.0871822	0.180182	0.194202	0.176457	0.111793	0.185349
a73	0.0496351	0.0276344	0.0642359	0.139049	0.175714	0.191811	0.147545	0.204376
a7	0.0400993	0.0186219	0.0598559	0.130251	0.192482	0.214181	0.171303	0.173206
a26	0.0263827	0.013891	0.0340372	0.076392	0.134801	0.213386	0.21067	0.29044
a24	0.0164804	0.00861761	0.0218375	0.0493667	0.0934956	0.205912	0.252041	0.35225
a31	0.0181401	0.0103928	0.0191077	0.02687	0.052263	0.137394	0.292882	0.442951
a24	0.0199086	0.0106262	0.0171471	0.0288477	0.056201	0.147673	0.294536	0.425061
a25	0.0136913	0.00644057	0.011472	0.0184918	0.0425816	0.130371	0.309222	0.467729
a38	0.0218561	0.00929519	0.0145764	0.031263	0.0693515	0.145909	0.269547	0.438201
a73	0.0195427	0.00744676	0.0122257	0.0199488	0.0352745	0.107392	0.271607	0.526562
a94	0.0228455	0.00909837	0.0139602	0.0168399	0.0299648	0.109594	0.289178	0.508519
a53	0.00926858	0.00340673	0.00686193	0.00752055	0.0141676	0.065643	0.25834	0.634791
a76	0.0147402	0.00441035	0.00823853	0.0116668	0.0223258	0.0822115	0.27993	0.576477
a69	0.0217604	0.00895131	0.0131239	0.0149213	0.0266171	0.091733	0.297366	0.525527
a58	0.0197176	0.00695416	0.0135968	0.0156287	0.0211736	0.0736782	0.268454	0.580797
a11	0.0110074	0.00427051	0.00860838	0.0126065	0.0235395	0.0647761	0.213253	0.661938
a24	0.0134341	0.00571096	0.00880998	0.00864321	0.0193715	0.0685182	0.238245	0.637267
a12	0.0142575	0.00379332	0.00712161	0.00833495	0.0213477	0.0681328	0.228543	0.648469
a96	0.0170274	0.00575582	0.0129037	0.0152635	0.0317154	0.0853459	0.237622	0.594366
a43	0.0110456	0.0046168	0.0107177	0.012503	0.0287358	0.0837231	0.232405	0.616253
a32	0.0167945	0.00487647	0.0116651	0.0143609	0.0316767	0.0882351	0.231792	0.600599
a24	0.0197213	0.00720567	0.00920537	0.00944232	0.0239177	0.0783106	0.227235	0.624962
a9	0.0134704	0.00489583	0.0061773	0.0063816	0.0155054	0.0611731	0.214535	0.677862
a87	0.0159038	0.00631302	0.00894594	0.00916461	0.0253614	0.0781478	0.229904	0.626259
</S>	0.0136031	0.00422832	0.00520254	0.00581671	0.0284504	0.0878972	0.246275	0.608527
