 	il	lui	arrache	son	couteau	</S>
a23	0.340347	0.16935	0.0942126	0.119196	0.121954	0.154941
a87	0.386026	0.178708	0.0874717	0.0926439	0.11084	0.14431
a23	0.290266	0.156122	0.138083	0.13891	0.141016	0.135602
a79	0.208901	0.0967201	0.0897779	0.145529	0.184474	0.274598
a20	0.372759	0.195336	0.11846	0.106291	0.0930231	0.114131
a30	0.520135	0.273144	0.0972232	0.049873	0.0318294	0.027795
a2	0.435983	0.316327	0.123751	0.055767	0.0364479	0.0317244
a30	0.309076	0.252287	0.161058	0.104148	0.0808311	0.092599
a73	0.191713	0.179381	0.170576	0.146239	0.137444	0.174647
a30	0.34851	0.28864	0.145264	0.0825056	0.0631515	0.071928
a2	0.3069	0.297015	0.170635	0.0915007	0.0630225	0.0709274
a38	0.1676	0.170237	0.174105	0.143473	0.133247	0.211339
a24	0.221991	0.226817	0.185177	0.12291	0.101486	0.141619
a94	0.175579	0.159248	0.152928	0.15456	0.160302	0.197384
a24	0.178575	0.194691	0.196962	0.160769	0.131359	0.137645
a71	0.0860771	0.0959739	0.159245	0.192797	0.209832	0.256076
a9	0.0892632	0.089876	0.148444	0.19094	0.212093	0.269384
a38	0.0736786	0.0772015	0.1265	0.172092	0.206188	0.34434
a14	0.0410783	0.0406748	0.0884655	0.164766	0.230876	0.434138
a41	0.0177379	0.0251727	0.080476	0.182107	0.262904	0.431603
a73	0.0126406	0.0188936	0.0664907	0.171617	0.280667	0.449691
a20	0.0124888	0.0185339	0.0629476	0.153402	0.263622	0.489006
a84	0.0135745	0.0174561	0.0512858	0.129125	0.256408	0.53215
a57	0.00350759	0.00583761	0.0276025	0.0945257	0.227441	0.641085
a87	0.0116788	0.0119077	0.0348547	0.114528	0.277808	0.549223
</S>	0.0170271	0.0206791	0.0661191	0.166238	0.287626	0.442311
