 	apporte-	moi	une	aiguille	</S>
a66	0.512817	0.143886	0.124658	0.121219	0.09742
a87	0.429081	0.247063	0.203836	0.0831095	0.0369102
a23	0.540751	0.318488	0.0920087	0.0307617	0.0179903
a83	0.674734	0.235014	0.0392638	0.0244283	0.0265599
a5	0.749824	0.0708044	0.0345208	0.0683792	0.0764717
a36	0.504291	0.232637	0.123987	0.0864338	0.052651
a6	0.216821	0.241695	0.264719	0.187963	0.0888013
a37	0.109447	0.188274	0.336571	0.255932	0.109777
a85	0.130868	0.222976	0.262392	0.239697	0.144067
a5	0.0617609	0.1775	0.267322	0.294983	0.198434
a96	0.142947	0.227369	0.226449	0.218939	0.184297
a75	0.0642132	0.145802	0.216336	0.291701	0.281948
a92	0.0173593	0.0473159	0.151646	0.349734	0.433945
a56	0.0120461	0.0328091	0.113469	0.318158	0.523518
a94	0.00352838	0.0116835	0.0545941	0.243086	0.687108
a69	0.00213419	0.00460551	0.0248686	0.161368	0.807024
a58	0.0004874	0.00174067	0.014355	0.135238	0.848179
a57	0.0115759	0.0139932	0.0467322	0.189178	0.738521
a82	0.200111	0.0995144	0.107682	0.180676	0.412016
a87	0.435733	0.182921	0.0945705	0.108649	0.178127
a23	0.366927	0.283867	0.150588	0.0916257	0.106992
a87	0.109468	0.175765	0.147346	0.189559	0.377862
a23	0.0280484	0.046363	0.0789407	0.203713	0.642935
a97	0.0554588	0.151902	0.166787	0.209732	0.41612
a87	0.0160322	0.0510955	0.104691	0.220194	0.607988
</S>	0.0375343	0.0642812	0.104498	0.234516	0.55917
