 	elle	était	au	bord	des	larmes	</S>
a87	0.370119	0.206534	0.120029	0.0833699	0.0731827	0.0631883	0.0835777
a23	0.160657	0.106545	0.10203	0.123542	0.16407	0.171386	0.17177
a40	0.325847	0.190578	0.116131	0.0897895	0.0962095	0.0860282	0.0954177
a7	0.237888	0.148825	0.134298	0.140444	0.115887	0.118086	0.104573
a26	0.440595	0.275619	0.154909	0.0709511	0.0267092	0.0180823	0.0131339
a24	0.33586	0.260817	0.174732	0.105188	0.0541226	0.0380951	0.0311864
a35	0.29184	0.250915	0.175086	0.116374	0.0718708	0.0529908	0.0409235
a30	0.278066	0.260661	0.182192	0.115067	0.0709369	0.0515665	0.0415102
a41	0.250118	0.238915	0.171239	0.121166	0.0848965	0.0725625	0.0611034
a24	0.152104	0.161151	0.141587	0.138136	0.132023	0.142494	0.132504
a41	0.109201	0.126654	0.132073	0.14162	0.141042	0.170862	0.178548
a32	0.0617795	0.0657913	0.0766879	0.11481	0.156472	0.24344	0.281019
a94	0.0310402	0.0337803	0.0483096	0.0896212	0.149061	0.27845	0.369738
a76	0.0168565	0.0179818	0.0271384	0.0554418	0.119338	0.278192	0.485051
a41	0.00532656	0.00653693	0.0137633	0.038949	0.108659	0.300208	0.526558
a35	0.00641491	0.00680567	0.0123713	0.0336322	0.104918	0.294905	0.540953
a47	0.00688973	0.00680519	0.0120445	0.0313548	0.095087	0.273845	0.573974
a24	0.00412366	0.00453228	0.00952151	0.0280591	0.0981033	0.272044	0.583616
a41	0.00368056	0.00396384	0.00911177	0.0288822	0.0971954	0.260268	0.596898
a30	0.00359582	0.00375848	0.00953329	0.0303082	0.101076	0.234576	0.617152
a2	0.00961711	0.0096304	0.019487	0.0413526	0.107279	0.223925	0.588708
a57	0.0197318	0.0209828	0.0370194	0.0705002	0.122156	0.231264	0.498346
a87	0.0140139	0.0158918	0.0271097	0.0618613	0.132702	0.267521	0.480901
</S>	0.0187432	0.0199434	0.0337621	0.0818146	0.170899	0.27465	0.400188
